manacus_vitellinus ENSMVIG00005003316
lepidothrix_coronata ENSLCOG00000006113
lonchura_striata_domestica ENSLSDG00000017723
taeniopygia_guttata ENSTGUG00000008973
lonchura_striata_domestica ENSLSDG00000004063
taeniopygia_guttata ENSTGUG00000018124
taeniopygia_guttata ENSTGUG00000018401
taeniopygia_guttata ENSTGUG00000018494
serinus_canaria ENSSCAG00000004139
taeniopygia_guttata ENSTGUG00000018411
junco_hyemalis ENSJHYG00000012696
zonotrichia_albicollis ENSZALG00000000877
parus_major ENSPMJG00000003083
cyanistes_caeruleus ENSCCEG00000019497
ficedula_albicollis ENSFALG00000000215
gallus_gallus ENSGALG00000004480
meleagris_gallopavo ENSMGAG00000005366
coturnix_japonica ENSCJPG00005014391
numida_meleagris ENSNMEG00000018454
gallus_gallus ENSGALG00000032428
coturnix_japonica ENSCJPG00005014389
numida_meleagris ENSNMEG00000018453
calidris_pygmaea ENSCPGG00000001499
calidris_pugnax ENSCPUG00000011064
anser_brachyrhynchus ENSABRG00000014936
anas_platyrhynchos_platyrhynchos ENSAPLG00000019442
melopsittacus_undulatus ENSMUNG00000014811
melopsittacus_undulatus ENSMUNG00000014810
apteryx_haastii ENSAHAG00000015886
apteryx_haastii ENSAHAG00000015882
apteryx_owenii ENSAOWG00000015738
apteryx_rowi ENSARWG00000015033
dromaius_novaehollandiae ENSDNVG00000000064
nothoprocta_perdicaria ENSNPEG00000012700
crocodylus_porosus ENSCPRG00005004100
pogona_vitticeps ENSPVIG00000003973
pogona_vitticeps ENSPVIG00000002276
anolis_carolinensis ENSACAG00000014834
notechis_scutatus ENSNSUG00000012714
notechis_scutatus ENSNSUG00000004085
pogona_vitticeps ENSPVIG00000010278
pogona_vitticeps ENSPVIG00000000991
anolis_carolinensis ENSACAG00000014827
salvator_merianae ENSSMRG00000017192
sphenodon_punctatus ENSSPUG00000007286
chelonoidis_abingdonii ENSCABG00000003227
gopherus_agassizii ENSGAGG00000009009
chrysemys_picta_bellii ENSCPBG00000016137
pelodiscus_sinensis ENSPSIG00000016276
sphenodon_punctatus ENSSPUG00000007292
notamacropus_eugenii ENSMEUG00000009267
notamacropus_eugenii ENSMEUG00000006384
phascolarctos_cinereus ENSPCIG00000034142
sarcophilus_harrisii ENSSHAG00000016204
monodelphis_domestica ENSMODG00000012696
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0030697
mus_spicilegus ENSMSIG00000028833
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000054676
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0029598
