cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001011003
cricetulus_griseus_crigri_1.0 ENSCGRG00000019420
cricetulus_griseus_crigri-picr ENSCGRG00015027350
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0019641
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0018758
oryctolagus_cuniculus ENSOCUG00000021843
theropithecus_gelada ENSTGEG00000012981
canis_lupus_familiaris ENSCAFG00000004716
canis_lupus_familiaris ENSCAFG00000028825
canis_lupus_familiaris ENSCAFG00000003391
canis_lupus_familiaris ENSCAFG00000015308
canis_lupus_familiaris ENSCAFG00000009706
canis_lupus_familiaris ENSCAFG00000006700
ailuropoda_melanoleuca ENSAMEG00000005208
canis_lupus_familiaris ENSCAFG00000014107
equus_asinus_asinus ENSEASG00005003371
dasypus_novemcinctus ENSDNOG00000041286
dasypus_novemcinctus ENSDNOG00000038314
dasypus_novemcinctus ENSDNOG00000039276
