marmota_marmota_marmota ENSMMMG00000005911
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100012764
cricetulus_griseus_crigri_1.0 ENSCGRG00000015521
cercocebus_atys ENSCATG00000024952
theropithecus_gelada ENSTGEG00000018812
papio_anubis ENSPANG00000022043
macaca_nemestrina ENSMNEG00000029751
piliocolobus_tephrosceles ENSPTEG00000039846
rhinopithecus_roxellana ENSRROG00000033267
rhinopithecus_roxellana ENSRROG00000018684
rhinopithecus_bieti ENSRBIG00000033304
pan_paniscus ENSPPAG00000043041
pan_troglodytes ENSPTRG00000047151
gorilla_gorilla ENSGGOG00000009874
nomascus_leucogenys ENSNLEG00000014135
canis_lupus_dingo ENSCAFG00020023164
colobus_angolensis_palliatus ENSCANG00000043146
papio_anubis ENSPANG00000032802
mandrillus_leucophaeus ENSMLEG00000028947
macaca_fascicularis ENSMFAG00000031087
macaca_mulatta ENSMMUG00000012140
rhinopithecus_bieti ENSRBIG00000032164
pan_troglodytes ENSPTRG00000052506
aotus_nancymaae ENSANAG00000031256
castor_canadensis ENSCCNG00000022143
panthera_tigris_altaica ENSPTIG00000011509
panthera_pardus ENSPPRG00000013713
ailuropoda_melanoleuca ENSAMEG00000016287
jaculus_jaculus ENSJJAG00000011760
cavia_porcellus ENSCPOG00000022634
ictidomys_tridecemlineatus ENSSTOG00000029496
ictidomys_tridecemlineatus ENSSTOG00000010449
theropithecus_gelada ENSTGEG00000001009
theropithecus_gelada ENSTGEG00000017697
macaca_mulatta ENSMMUG00000030178
piliocolobus_tephrosceles ENSPTEG00000005571
colobus_angolensis_palliatus ENSCANG00000006198
gorilla_gorilla ENSGGOG00000040764
aotus_nancymaae ENSANAG00000036295
cebus_capucinus_imitator ENSCCAG00000025294
prolemur_simus ENSPSMG00000018900
bos_mutus ENSBMUG00000025827
bison_bison_bison ENSBBBG00000014898
neovison_vison ENSNVIG00000003158
cavia_aperea ENSCAPG00000017494
tursiops_truncatus ENSTTRG00000009156
tupaia_belangeri ENSTBEG00000017161
procavia_capensis ENSPCAG00000000300
choloepus_hoffmanni ENSCHOG00000006234
