chelonoidis_abingdonii ENSCABG00000010850
gopherus_agassizii ENSGAGG00000005200
chrysemys_picta_bellii ENSCPBG00000004568
pelodiscus_sinensis ENSPSIG00000015238
anolis_carolinensis ENSACAG00000015667
salvator_merianae ENSSMRG00000002635
notechis_scutatus ENSNSUG00000000518
pogona_vitticeps ENSPVIG00000009423
sphenodon_punctatus ENSSPUG00000013910
apteryx_rowi ENSARWG00000017006
phascolarctos_cinereus ENSPCIG00000001099
notamacropus_eugenii ENSMEUG00000000663
capra_hircus ENSCHIG00000022150
ovis_aries ENSOARG00000011967
bos_mutus ENSBMUG00000016282
bos_taurus ENSBTAG00000006754
bison_bison_bison ENSBBBG00000011042
tursiops_truncatus ENSTTRG00000008191
sus_scrofa ENSSSCG00000003148
pteropus_vampyrus ENSPVAG00000009528
ursus_maritimus ENSUMAG00000000698
ursus_americanus ENSUAMG00000010669
ailuropoda_melanoleuca ENSAMEG00000014843
neovison_vison ENSNVIG00000012215
mustela_putorius_furo ENSMPUG00000003854
canis_lupus_dingo ENSCAFG00020026357
canis_lupus_familiaris ENSCAFG00000003928
vulpes_vulpes ENSVVUG00000023166
panthera_pardus ENSPPRG00000001134
panthera_tigris_altaica ENSPTIG00000017735
felis_catus ENSFCAG00000030886
equus_caballus ENSECAG00000014275
equus_asinus_asinus ENSEASG00005004667
sorex_araneus ENSSARG00000002881
pan_paniscus ENSPPAG00000036181
pan_troglodytes ENSPTRG00000011247
homo_sapiens ENSG00000105516
gorilla_gorilla ENSGGOG00000001444
nomascus_leucogenys ENSNLEG00000004551
rhinopithecus_roxellana ENSRROG00000032004
rhinopithecus_bieti ENSRBIG00000043502
colobus_angolensis_palliatus ENSCANG00000033656
piliocolobus_tephrosceles ENSPTEG00000039400
theropithecus_gelada ENSTGEG00000025053
cercocebus_atys ENSCATG00000035077
papio_anubis ENSPANG00000015471
macaca_fascicularis ENSMFAG00000041575
macaca_mulatta ENSMMUG00000022160
macaca_nemestrina ENSMNEG00000040063
mandrillus_leucophaeus ENSMLEG00000043248
chlorocebus_sabaeus ENSCSAG00000002831
cebus_capucinus_imitator ENSCCAG00000027309
saimiri_boliviensis_boliviensis ENSSBOG00000023229
callithrix_jacchus ENSCJAG00000000360
aotus_nancymaae ENSANAG00000027789
carlito_syrichta ENSTSYG00000033501
propithecus_coquereli ENSPCOG00000016955
microcebus_murinus ENSMICG00000016323
otolemur_garnettii ENSOGAG00000034399
dipodomys_ordii ENSDORG00000010599
castor_canadensis ENSCCNG00000022369
urocitellus_parryii ENSUPAG00010012719
ictidomys_tridecemlineatus ENSSTOG00000024246
spermophilus_dauricus ENSSDAG00000005087
peromyscus_maniculatus_bairdii ENSPEMG00000004731
microtus_ochrogaster ENSMOCG00000020895
cricetulus_griseus_crigri-picr ENSCGRG00015016337
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001022543
cricetulus_griseus_crigri_1.0 ENSCGRG00000001715
mesocricetus_auratus ENSMAUG00000000757
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0030836
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000059824
mus_spicilegus ENSMSIG00000018345
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0029738
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0012963
rattus_norvegicus ENSRNOG00000021027
meriones_unguiculatus ENSMUGG00000004379
nannospalax_galili ENSNGAG00000018435
jaculus_jaculus ENSJJAG00000013345
octodon_degus ENSODEG00000017321
chinchilla_lanigera ENSCLAG00000010719
cavia_aperea ENSCAPG00000003709
cavia_porcellus ENSCPOG00000019616
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000016218
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100018807
fukomys_damarensis ENSFDAG00000019339
procavia_capensis ENSPCAG00000003000
procavia_capensis ENSPCAG00000011426
loxodonta_africana ENSLAFG00000013079
dasypus_novemcinctus ENSDNOG00000016868
ornithorhynchus_anatinus ENSOANG00000002210
xenopus_tropicalis ENSXETG00000003160
latimeria_chalumnae ENSLACG00000006062
