mustela_putorius_furo ENSMPUG00000003067
neovison_vison ENSNVIG00000018548
ursus_maritimus ENSUMAG00000006675
ursus_americanus ENSUAMG00000023624
ailuropoda_melanoleuca ENSAMEG00000006474
canis_lupus_familiaris ENSCAFG00000010001
canis_lupus_dingo ENSCAFG00020000518
vulpes_vulpes ENSVVUG00000018065
panthera_pardus ENSPPRG00000016709
panthera_tigris_altaica ENSPTIG00000012056
felis_catus ENSFCAG00000042254
pteropus_vampyrus ENSPVAG00000006708
ovis_aries ENSOARG00000017004
capra_hircus ENSCHIG00000026888
bos_taurus ENSBTAG00000008720
bos_mutus ENSBMUG00000000213
bison_bison_bison ENSBBBG00000007267
sus_scrofa ENSSSCG00000002839
equus_caballus ENSECAG00000000159
equus_asinus_asinus ENSEASG00005014539
sorex_araneus ENSSARG00000000509
erinaceus_europaeus ENSEEUG00000012309
dipodomys_ordii ENSDORG00000001017
castor_canadensis ENSCCNG00000029511
urocitellus_parryii ENSUPAG00010005243
ictidomys_tridecemlineatus ENSSTOG00000005303
marmota_marmota_marmota ENSMMMG00000014403
mus_spicilegus ENSMSIG00000014743
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000069971
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0032469
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0031351
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0022952
rattus_norvegicus ENSRNOG00000024182
meriones_unguiculatus ENSMUGG00000005022
microtus_ochrogaster ENSMOCG00000020575
peromyscus_maniculatus_bairdii ENSPEMG00000016843
cricetulus_griseus_crigri_1.0 ENSCGRG00000017143
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001021069
cricetulus_griseus_crigri-picr ENSCGRG00015027062
mesocricetus_auratus ENSMAUG00000017355
nannospalax_galili ENSNGAG00000012355
jaculus_jaculus ENSJJAG00000013910
octodon_degus ENSODEG00000001942
cavia_porcellus ENSCPOG00000020523
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000008302
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100012592
chinchilla_lanigera ENSCLAG00000011514
oryctolagus_cuniculus ENSOCUG00000002911
ochotona_princeps ENSOPRG00000010633
pan_paniscus ENSPPAG00000030795
pan_troglodytes ENSPTRG00000008098
homo_sapiens ENSG00000166152
gorilla_gorilla ENSGGOG00000008081
pongo_abelii ENSPPYG00000007333
nomascus_leucogenys ENSNLEG00000027879
macaca_fascicularis ENSMFAG00000001439
macaca_mulatta ENSMMUG00000019881
macaca_nemestrina ENSMNEG00000044619
papio_anubis ENSPANG00000022694
theropithecus_gelada ENSTGEG00000019766
cercocebus_atys ENSCATG00000021615
mandrillus_leucophaeus ENSMLEG00000035013
chlorocebus_sabaeus ENSCSAG00000005410
rhinopithecus_bieti ENSRBIG00000028896
rhinopithecus_roxellana ENSRROG00000030945
colobus_angolensis_palliatus ENSCANG00000033953
piliocolobus_tephrosceles ENSPTEG00000017778
saimiri_boliviensis_boliviensis ENSSBOG00000024244
cebus_capucinus_imitator ENSCCAG00000036138
callithrix_jacchus ENSCJAG00000012672
aotus_nancymaae ENSANAG00000027492
carlito_syrichta ENSTSYG00000025967
propithecus_coquereli ENSPCOG00000021897
prolemur_simus ENSPSMG00000021035
microcebus_murinus ENSMICG00000000865
otolemur_garnettii ENSOGAG00000012618
tupaia_belangeri ENSTBEG00000013889
dasypus_novemcinctus ENSDNOG00000034295
choloepus_hoffmanni ENSCHOG00000005931
echinops_telfairi ENSETEG00000003061
sarcophilus_harrisii ENSSHAG00000018055
ornithorhynchus_anatinus ENSOANG00000030661
