cricetulus_griseus_crigri-picr ENSCGRG00015009564
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001022632
cricetulus_griseus_crigri_1.0 ENSCGRG00000014975
mesocricetus_auratus ENSMAUG00000020536
microtus_ochrogaster ENSMOCG00000018333
peromyscus_maniculatus_bairdii ENSPEMG00000002271
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0018254
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000020739
mus_spicilegus ENSMSIG00000028322
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0017409
rattus_norvegicus ENSRNOG00000003673
meriones_unguiculatus ENSMUGG00000022624
nannospalax_galili ENSNGAG00000011000
jaculus_jaculus ENSJJAG00000000528
dipodomys_ordii ENSDORG00000005137
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100018908
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000011048
fukomys_damarensis ENSFDAG00000017024
chinchilla_lanigera ENSCLAG00000005075
octodon_degus ENSODEG00000011190
cavia_porcellus ENSCPOG00000001185
cavia_aperea ENSCAPG00000008178
urocitellus_parryii ENSUPAG00010023987
ictidomys_tridecemlineatus ENSSTOG00000015175
spermophilus_dauricus ENSSDAG00000005270
marmota_marmota_marmota ENSMMMG00000010923
oryctolagus_cuniculus ENSOCUG00000006648
ochotona_princeps ENSOPRG00000010899
microcebus_murinus ENSMICG00000007562
prolemur_simus ENSPSMG00000001484
propithecus_coquereli ENSPCOG00000005578
otolemur_garnettii ENSOGAG00000001612
cebus_capucinus_imitator ENSCCAG00000030795
saimiri_boliviensis_boliviensis ENSSBOG00000024111
callithrix_jacchus ENSCJAG00000014508
aotus_nancymaae ENSANAG00000032152
pan_paniscus ENSPPAG00000017632
pan_troglodytes ENSPTRG00000009637
homo_sapiens ENSG00000125450
gorilla_gorilla ENSGGOG00000006439
pongo_abelii ENSPPYG00000008621
nomascus_leucogenys ENSNLEG00000000651
mandrillus_leucophaeus ENSMLEG00000036306
cercocebus_atys ENSCATG00000033341
theropithecus_gelada ENSTGEG00000000045
macaca_fascicularis ENSMFAG00000041786
macaca_mulatta ENSMMUG00000018018
macaca_nemestrina ENSMNEG00000044484
papio_anubis ENSPANG00000020187
chlorocebus_sabaeus ENSCSAG00000004716
rhinopithecus_bieti ENSRBIG00000006462
rhinopithecus_roxellana ENSRROG00000034070
piliocolobus_tephrosceles ENSPTEG00000039799
colobus_angolensis_palliatus ENSCANG00000043882
carlito_syrichta ENSTSYG00000010481
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0018539
loxodonta_africana ENSLAFG00000002866
procavia_capensis ENSPCAG00000015658
sorex_araneus ENSSARG00000008043
cavia_porcellus ENSCPOG00000040037
cavia_aperea ENSCAPG00000013257
castor_canadensis ENSCCNG00000025193
tupaia_belangeri ENSTBEG00000002209
myotis_lucifugus ENSMLUG00000015211
erinaceus_europaeus ENSEEUG00000015676
equus_asinus_asinus ENSEASG00005000412
equus_caballus ENSECAG00000019159
ursus_maritimus ENSUMAG00000008643
ursus_americanus ENSUAMG00000010511
ailuropoda_melanoleuca ENSAMEG00000009192
mustela_putorius_furo ENSMPUG00000013951
neovison_vison ENSNVIG00000010508
canis_lupus_familiaris ENSCAFG00000004729
canis_lupus_dingo ENSCAFG00020000147
vulpes_vulpes ENSVVUG00000011209
panthera_pardus ENSPPRG00000021452
panthera_tigris_altaica ENSPTIG00000016127
felis_catus ENSFCAG00000014513
vicugna_pacos ENSVPAG00000011848
