pan_troglodytes ENSPTRG00000018266
pan_paniscus ENSPPAG00000030543
homo_sapiens ENSG00000177684
pongo_abelii ENSPPYG00000016695
rhinopithecus_bieti ENSRBIG00000042286
rhinopithecus_roxellana ENSRROG00000041237
piliocolobus_tephrosceles ENSPTEG00000008622
colobus_angolensis_palliatus ENSCANG00000038656
macaca_mulatta ENSMMUG00000004191
macaca_nemestrina ENSMNEG00000028375
macaca_fascicularis ENSMFAG00000039532
papio_anubis ENSPANG00000009022
theropithecus_gelada ENSTGEG00000000216
mandrillus_leucophaeus ENSMLEG00000039285
cercocebus_atys ENSCATG00000033669
chlorocebus_sabaeus ENSCSAG00000012897
callithrix_jacchus ENSCJAG00000011608
saimiri_boliviensis_boliviensis ENSSBOG00000036180
cebus_capucinus_imitator ENSCCAG00000027397
aotus_nancymaae ENSANAG00000028900
carlito_syrichta ENSTSYG00000010220
castor_canadensis ENSCCNG00000007389
marmota_marmota_marmota ENSMMMG00000024623
ochotona_princeps ENSOPRG00000014226
microcebus_murinus ENSMICG00000044264
propithecus_coquereli ENSPCOG00000022287
prolemur_simus ENSPSMG00000015897
tupaia_belangeri ENSTBEG00000016547
pteropus_vampyrus ENSPVAG00000004556
myotis_lucifugus ENSMLUG00000011206
canis_lupus_dingo ENSCAFG00020012990
vulpes_vulpes ENSVVUG00000029340
neovison_vison ENSNVIG00000004427
ursus_maritimus ENSUMAG00000004596
ursus_americanus ENSUAMG00000018877
ailuropoda_melanoleuca ENSAMEG00000008754
panthera_pardus ENSPPRG00000024231
panthera_tigris_altaica ENSPTIG00000013188
felis_catus ENSFCAG00000039120
bos_mutus ENSBMUG00000011780
bos_taurus ENSBTAG00000054219
bison_bison_bison ENSBBBG00000005405
capra_hircus ENSCHIG00000020648
sus_scrofa ENSSSCG00000001741
echinops_telfairi ENSETEG00000000122
procavia_capensis ENSPCAG00000012627
dasypus_novemcinctus ENSDNOG00000006376
