gopherus_agassizii ENSGAGG00000018017
chelonoidis_abingdonii ENSCABG00000019041
chrysemys_picta_bellii ENSCPBG00000015706
pelodiscus_sinensis ENSPSIG00000013320
sphenodon_punctatus ENSSPUG00000007588
notechis_scutatus ENSNSUG00000012511
notechis_scutatus ENSNSUG00000002380
pogona_vitticeps ENSPVIG00000014622
anolis_carolinensis ENSACAG00000007906
salvator_merianae ENSSMRG00000016689
crocodylus_porosus ENSCPRG00005005832
phascolarctos_cinereus ENSPCIG00000019517
notamacropus_eugenii ENSMEUG00000012882
sarcophilus_harrisii ENSSHAG00000005576
monodelphis_domestica ENSMODG00000017236
oryctolagus_cuniculus ENSOCUG00000017759
tupaia_belangeri ENSTBEG00000002545
callithrix_jacchus ENSCJAG00000004172
saimiri_boliviensis_boliviensis ENSSBOG00000024379
cebus_capucinus_imitator ENSCCAG00000036548
aotus_nancymaae ENSANAG00000021877
pan_paniscus ENSPPAG00000041746
pan_troglodytes ENSPTRG00000021684
gorilla_gorilla ENSGGOG00000007293
homo_sapiens ENSG00000165195
pongo_abelii ENSPPYG00000020142
nomascus_leucogenys ENSNLEG00000009352
macaca_mulatta ENSMMUG00000015737
macaca_nemestrina ENSMNEG00000044009
macaca_fascicularis ENSMFAG00000046118
cercocebus_atys ENSCATG00000040303
mandrillus_leucophaeus ENSMLEG00000043831
theropithecus_gelada ENSTGEG00000016324
papio_anubis ENSPANG00000012428
chlorocebus_sabaeus ENSCSAG00000014975
colobus_angolensis_palliatus ENSCANG00000012496
piliocolobus_tephrosceles ENSPTEG00000002917
rhinopithecus_roxellana ENSRROG00000034148
pan_troglodytes ENSPTRG00000051429
pan_paniscus ENSPPAG00000042869
gorilla_gorilla ENSGGOG00000038498
nomascus_leucogenys ENSNLEG00000028974
mandrillus_leucophaeus ENSMLEG00000040317
cercocebus_atys ENSCATG00000035203
macaca_nemestrina ENSMNEG00000034160
carlito_syrichta ENSTSYG00000008042
microcebus_murinus ENSMICG00000003170
propithecus_coquereli ENSPCOG00000025117
prolemur_simus ENSPSMG00000003719
otolemur_garnettii ENSOGAG00000003300
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000031381
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0034733
mus_spicilegus ENSMSIG00000009053
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0033562
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0032102
rattus_norvegicus ENSRNOG00000003554
meriones_unguiculatus ENSMUGG00000019806
microtus_ochrogaster ENSMOCG00000008546
peromyscus_maniculatus_bairdii ENSPEMG00000012032
cricetulus_griseus_crigri-picr ENSCGRG00015015871
cricetulus_griseus_crigri_1.0 ENSCGRG00000006758
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001018246
mesocricetus_auratus ENSMAUG00000019758
peromyscus_maniculatus_bairdii ENSPEMG00000029436
cricetulus_griseus_crigri_1.0 ENSCGRG00000003730
cricetulus_griseus_crigri_1.0 ENSCGRG00000004054
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001013811
cricetulus_griseus_crigri-picr ENSCGRG00015017281
meriones_unguiculatus ENSMUGG00000011582
nannospalax_galili ENSNGAG00000000665
jaculus_jaculus ENSJJAG00000019855
cavia_porcellus ENSCPOG00000004028
cavia_aperea ENSCAPG00000011227
chinchilla_lanigera ENSCLAG00000001031
octodon_degus ENSODEG00000003813
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000001235
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100005632
fukomys_damarensis ENSFDAG00000010135
dipodomys_ordii ENSDORG00000008038
spermophilus_dauricus ENSSDAG00000008089
ictidomys_tridecemlineatus ENSSTOG00000006497
urocitellus_parryii ENSUPAG00010013048
marmota_marmota_marmota ENSMMMG00000004786
macaca_fascicularis ENSMFAG00000041164
papio_anubis ENSPANG00000030143
rhinopithecus_bieti ENSRBIG00000039933
rhinopithecus_roxellana ENSRROG00000033315
rhinopithecus_bieti ENSRBIG00000015317
cebus_capucinus_imitator ENSCCAG00000005418
castor_canadensis ENSCCNG00000005835
ursus_americanus ENSUAMG00000023576
dasypus_novemcinctus ENSDNOG00000008215
choloepus_hoffmanni ENSCHOG00000006415
canis_lupus_dingo ENSCAFG00020003498
canis_lupus_dingo ENSCAFG00020003536
canis_lupus_familiaris ENSCAFG00000031217
vulpes_vulpes ENSVVUG00000009527
mustela_putorius_furo ENSMPUG00000002640
neovison_vison ENSNVIG00000020263
ursus_americanus ENSUAMG00000023575
ursus_maritimus ENSUMAG00000005672
ailuropoda_melanoleuca ENSAMEG00000017109
panthera_pardus ENSPPRG00000002288
panthera_tigris_altaica ENSPTIG00000021424
felis_catus ENSFCAG00000010727
equus_asinus_asinus ENSEASG00005000481
equus_caballus ENSECAG00000010167
bos_mutus ENSBMUG00000000174
bos_taurus ENSBTAG00000007646
ovis_aries ENSOARG00000012059
capra_hircus ENSCHIG00000018186
tursiops_truncatus ENSTTRG00000006763
sus_scrofa ENSSSCG00000012134
vicugna_pacos ENSVPAG00000010182
pteropus_vampyrus ENSPVAG00000012493
myotis_lucifugus ENSMLUG00000017698
erinaceus_europaeus ENSEEUG00000010548
sorex_araneus ENSSARG00000001092
loxodonta_africana ENSLAFG00000004695
procavia_capensis ENSPCAG00000002926
echinops_telfairi ENSETEG00000008146
ochotona_princeps ENSOPRG00000015381
ornithorhynchus_anatinus ENSOANG00000002593
apteryx_haastii ENSAHAG00000002441
apteryx_owenii ENSAOWG00000018362
apteryx_rowi ENSARWG00000011388
dromaius_novaehollandiae ENSDNVG00000015914
nothoprocta_perdicaria ENSNPEG00000011581
manacus_vitellinus ENSMVIG00005015542
lepidothrix_coronata ENSLCOG00000002574
lonchura_striata_domestica ENSLSDG00000000936
taeniopygia_guttata ENSTGUG00000008098
serinus_canaria ENSSCAG00000013555
zonotrichia_albicollis ENSZALG00000009040
junco_hyemalis ENSJHYG00000007591
ficedula_albicollis ENSFALG00000004407
parus_major ENSPMJG00000011495
cyanistes_caeruleus ENSCCEG00000006855
melopsittacus_undulatus ENSMUNG00000003265
calidris_pugnax ENSCPUG00000007424
calidris_pygmaea ENSCPGG00000005778
gallus_gallus ENSGALG00000016559
coturnix_japonica ENSCJPG00005018155
meleagris_gallopavo ENSMGAG00000014693
numida_meleagris ENSNMEG00000015614
anser_brachyrhynchus ENSABRG00000010387
anas_platyrhynchos_platyrhynchos ENSAPLG00000018586
xenopus_tropicalis ENSXETG00000008525
latimeria_chalumnae ENSLACG00000008237
xiphophorus_couchianus ENSXCOG00000018893
periophthalmus_magnuspinnatus ENSPMGG00000010806
seriola_dumerili ENSSDUG00000005426
tetraodon_nigroviridis ENSTNIG00000013911
takifugu_rubripes ENSTRUG00000011115
xiphophorus_maculatus ENSXMAG00000024088
gambusia_affinis ENSGAFG00000021284
poecilia_formosa ENSPFOG00000013968
poecilia_mexicana ENSPMEG00000007680
poecilia_latipinna ENSPLAG00000007663
poecilia_reticulata ENSPREG00000022644
fundulus_heteroclitus ENSFHEG00000000452
cyprinodon_variegatus ENSCVAG00000016095
kryptolebias_marmoratus ENSKMAG00000022099
oryzias_latipes_asm223467v1 ENSORLG00000008932
oryzias_latipes_asm223471v1 ENSORLG00020022511
oryzias_latipes_asm223469v1 ENSORLG00015021348
oryzias_melastigma ENSOMEG00000019320
astatotilapia_calliptera ENSACLG00000003333
pundamilia_nyererei ENSPNYG00000019008
maylandia_zebra ENSMZEG00005022327
haplochromis_burtoni ENSHBUG00000023047
neolamprologus_brichardi ENSNBRG00000006015
oreochromis_niloticus ENSONIG00000014293
amphilophus_citrinellus ENSACIG00000022641
hippocampus_comes ENSHCOG00000013793
cynoglossus_semilaevis ENSCSEG00000003284
monopterus_albus ENSMALG00000006680
mastacembelus_armatus ENSMAMG00000015623
mola_mola ENSMMOG00000019917
neolamprologus_brichardi ENSNBRG00000006025
amphiprion_ocellaris ENSAOCG00000015738
amphiprion_percula ENSAPEG00000001452
acanthochromis_polyacanthus ENSAPOG00000002168
stegastes_partitus ENSSPAG00000005794
anabas_testudineus ENSATEG00000010661
gasterosteus_aculeatus ENSGACG00000003400
labrus_bergylta ENSLBEG00000000785
seriola_lalandi_dorsalis ENSSLDG00000019387
scophthalmus_maximus ENSSMAG00000019112
gadus_morhua ENSGMOG00000003190
esox_lucius ENSELUG00000018660
pygocentrus_nattereri ENSPNAG00000007777
astyanax_mexicanus ENSAMXG00000001948
ictalurus_punctatus ENSIPUG00000023831
danio_rerio ENSDARG00000041040
scleropages_formosus ENSSFOG00015002619
paramormyrops_kingsleyae ENSPKIG00000021344
lepisosteus_oculatus ENSLOCG00000007789
eptatretus_burgeri ENSEBUG00000012335
ciona_savignyi ENSCSAVG00000005197
ciona_intestinalis ENSCING00000008558
caenorhabditis_elegans_strain_n2 WBGene00008431
drosophila_melanogaster FBgn0034270
piliocolobus_tephrosceles ENSPTEG00000030847
piliocolobus_tephrosceles ENSPTEG00000007911
saccharomyces_cerevisiae_strain_s288c YPL175W
