myotis_lucifugus ENSMLUG00000003659
pteropus_vampyrus ENSPVAG00000013121
sorex_araneus ENSSARG00000006445
ursus_maritimus ENSUMAG00000011148
ursus_maritimus ENSUMAG00000018156
ursus_americanus ENSUAMG00000011842
ursus_americanus ENSUAMG00000015307
ursus_maritimus ENSUMAG00000000549
ailuropoda_melanoleuca ENSAMEG00000019645
canis_lupus_dingo ENSCAFG00020006491
canis_lupus_familiaris ENSCAFG00000032359
vulpes_vulpes ENSVVUG00000009149
panthera_pardus ENSPPRG00000022402
panthera_tigris_altaica ENSPTIG00000012381
felis_catus ENSFCAG00000041167
equus_caballus ENSECAG00000007598
equus_caballus ENSECAG00000037840
ovis_aries ENSOARG00000001542
bos_mutus ENSBMUG00000004368
tursiops_truncatus ENSTTRG00000004927
vicugna_pacos ENSVPAG00000011660
sus_scrofa ENSSSCG00000016449
pan_troglodytes ENSPTRG00000028357
pan_troglodytes ENSPTRG00000052806
pan_paniscus ENSPPAG00000009720
homo_sapiens ENSG00000106560
gorilla_gorilla ENSGGOG00000022230
pongo_abelii ENSPPYG00000018172
nomascus_leucogenys ENSNLEG00000003839
cercocebus_atys ENSCATG00000040151
chlorocebus_sabaeus ENSCSAG00000006873
macaca_fascicularis ENSMFAG00000041785
macaca_mulatta ENSMMUG00000017008
macaca_nemestrina ENSMNEG00000029559
theropithecus_gelada ENSTGEG00000003779
papio_anubis ENSPANG00000033198
mandrillus_leucophaeus ENSMLEG00000033388
colobus_angolensis_palliatus ENSCANG00000019169
piliocolobus_tephrosceles ENSPTEG00000029140
rhinopithecus_roxellana ENSRROG00000036634
rhinopithecus_bieti ENSRBIG00000034688
cebus_capucinus_imitator ENSCCAG00000037175
callithrix_jacchus ENSCJAG00000043924
aotus_nancymaae ENSANAG00000030707
carlito_syrichta ENSTSYG00000009562
propithecus_coquereli ENSPCOG00000024391
microcebus_murinus ENSMICG00000008145
prolemur_simus ENSPSMG00000014707
otolemur_garnettii ENSOGAG00000002649
oryctolagus_cuniculus ENSOCUG00000029428
tupaia_belangeri ENSTBEG00000013777
