sphenodon_punctatus ENSSPUG00000008275
salvator_merianae ENSSMRG00000002605
chrysemys_picta_bellii ENSCPBG00000028232
gopherus_agassizii ENSGAGG00000001891
pelodiscus_sinensis ENSPSIG00000016692
taeniopygia_guttata ENSTGUG00000012489
lonchura_striata_domestica ENSLSDG00000009612
serinus_canaria ENSSCAG00000005999
parus_major ENSPMJG00000011093
cyanistes_caeruleus ENSCCEG00000012063
ficedula_albicollis ENSFALG00000009594
zonotrichia_albicollis ENSZALG00000012989
junco_hyemalis ENSJHYG00000013116
lepidothrix_coronata ENSLCOG00000012731
calidris_pygmaea ENSCPGG00000003489
calidris_pugnax ENSCPUG00000019545
melopsittacus_undulatus ENSMUNG00000005925
meleagris_gallopavo ENSMGAG00000013511
gallus_gallus ENSGALG00000050257
apteryx_owenii ENSAOWG00000009809
apteryx_haastii ENSAHAG00000019205
apteryx_rowi ENSARWG00000010427
dromaius_novaehollandiae ENSDNVG00000005351
apteryx_owenii ENSAOWG00000002376
apteryx_haastii ENSAHAG00000008412
apteryx_rowi ENSARWG00000010412
dromaius_novaehollandiae ENSDNVG00000005528
nothoprocta_perdicaria ENSNPEG00000000418
lepidothrix_coronata ENSLCOG00000012717
manacus_vitellinus ENSMVIG00005012615
manacus_vitellinus ENSMVIG00005012622
junco_hyemalis ENSJHYG00000013388
zonotrichia_albicollis ENSZALG00000004121
serinus_canaria ENSSCAG00000006231
taeniopygia_guttata ENSTGUG00000012430
lonchura_striata_domestica ENSLSDG00000009568
parus_major ENSPMJG00000011041
ficedula_albicollis ENSFALG00000009551
calidris_pygmaea ENSCPGG00000003225
calidris_pugnax ENSCPUG00000019529
melopsittacus_undulatus ENSMUNG00000005263
anas_platyrhynchos_platyrhynchos ENSAPLG00000013751
anser_brachyrhynchus ENSABRG00000014011
coturnix_japonica ENSCJPG00005018309
meleagris_gallopavo ENSMGAG00000013530
gallus_gallus ENSGALG00000013072
numida_meleagris ENSNMEG00000009445
anolis_carolinensis ENSACAG00000011816
pogona_vitticeps ENSPVIG00000009881
