amphiprion_percula ENSAPEG00000021847
acanthochromis_polyacanthus ENSAPOG00000018336
maylandia_zebra ENSMZEG00005023192
monopterus_albus ENSMALG00000006984
oryzias_latipes_asm223469v1 ENSORLG00015005181
pundamilia_nyererei ENSPNYG00000024043
oreochromis_niloticus ENSONIG00000005852
neolamprologus_brichardi ENSNBRG00000017854
amphilophus_citrinellus ENSACIG00000001583
fundulus_heteroclitus ENSFHEG00000007820
poecilia_reticulata ENSPREG00000002391
monopterus_albus ENSMALG00000021825
pygocentrus_nattereri ENSPNAG00000026312
pygocentrus_nattereri ENSPNAG00000005120
esox_lucius ENSELUG00000009357
seriola_dumerili ENSSDUG00000015430
pygocentrus_nattereri ENSPNAG00000000457
stegastes_partitus ENSSPAG00000011136
acanthochromis_polyacanthus ENSAPOG00000006966
xiphophorus_maculatus ENSXMAG00000029982
xiphophorus_couchianus ENSXCOG00000011194
poecilia_formosa ENSPFOG00000023677
amphilophus_citrinellus ENSACIG00000023464
seriola_dumerili ENSSDUG00000023773
acanthochromis_polyacanthus ENSAPOG00000006885
chrysemys_picta_bellii ENSCPBG00000009863
gopherus_agassizii ENSGAGG00000018915
pelodiscus_sinensis ENSPSIG00000000505
chrysemys_picta_bellii ENSCPBG00000009857
xenopus_tropicalis ENSXETG00000027891
xenopus_tropicalis ENSXETG00000012994
