scophthalmus_maximus ENSSMAG00000010552
cynoglossus_semilaevis ENSCSEG00000009845
kryptolebias_marmoratus ENSKMAG00000011323
mastacembelus_armatus ENSMAMG00000022157
gasterosteus_aculeatus ENSGACG00000009321
seriola_dumerili ENSSDUG00000022640
seriola_lalandi_dorsalis ENSSLDG00000000728
amphiprion_percula ENSAPEG00000002699
amphiprion_ocellaris ENSAOCG00000010448
acanthochromis_polyacanthus ENSAPOG00000005821
stegastes_partitus ENSSPAG00000007687
takifugu_rubripes ENSTRUG00000022814
tetraodon_nigroviridis ENSTNIG00000003015
mola_mola ENSMMOG00000020851
labrus_bergylta ENSLBEG00000006177
anabas_testudineus ENSATEG00000000181
monopterus_albus ENSMALG00000009306
poecilia_formosa ENSPFOG00000007842
poecilia_latipinna ENSPLAG00000002394
poecilia_mexicana ENSPMEG00000000631
poecilia_reticulata ENSPREG00000008730
xiphophorus_couchianus ENSXCOG00000017380
xiphophorus_maculatus ENSXMAG00000008447
gambusia_affinis ENSGAFG00000002547
cyprinodon_variegatus ENSCVAG00000012706
fundulus_heteroclitus ENSFHEG00000013677
oryzias_latipes_asm223467v1 ENSORLG00000002960
oryzias_latipes_asm223471v1 ENSORLG00020010074
oryzias_latipes_asm223469v1 ENSORLG00015002752
oryzias_melastigma ENSOMEG00000021718
pundamilia_nyererei ENSPNYG00000012720
haplochromis_burtoni ENSHBUG00000007301
astatotilapia_calliptera ENSACLG00000000922
maylandia_zebra ENSMZEG00005022925
neolamprologus_brichardi ENSNBRG00000020245
oreochromis_niloticus ENSONIG00000000890
amphilophus_citrinellus ENSACIG00000008975
hippocampus_comes ENSHCOG00000017576
esox_lucius ENSELUG00000016864
pygocentrus_nattereri ENSPNAG00000002310
astyanax_mexicanus ENSAMXG00000031771
ictalurus_punctatus ENSIPUG00000023232
danio_rerio ENSDARG00000035719
scleropages_formosus ENSSFOG00015023529
paramormyrops_kingsleyae ENSPKIG00000021727
