gallus_gallus ENSGALG00000035157
coturnix_japonica ENSCJPG00005019421
anser_brachyrhynchus ENSABRG00000016690
ficedula_albicollis ENSFALG00000015205
manacus_vitellinus ENSMVIG00005011833
lepidothrix_coronata ENSLCOG00000003313
lonchura_striata_domestica ENSLSDG00000002818
taeniopygia_guttata ENSTGUG00000011206
parus_major ENSPMJG00000013140
melopsittacus_undulatus ENSMUNG00000012779
calidris_pygmaea ENSCPGG00000007787
gopherus_agassizii ENSGAGG00000009126
chelonoidis_abingdonii ENSCABG00000010871
sphenodon_punctatus ENSSPUG00000011297
phascolarctos_cinereus ENSPCIG00000007896
notamacropus_eugenii ENSMEUG00000004068
monodelphis_domestica ENSMODG00000009321
sarcophilus_harrisii ENSSHAG00000016704
chinchilla_lanigera ENSCLAG00000002844
aotus_nancymaae ENSANAG00000034249
ailuropoda_melanoleuca ENSAMEG00000010234
choloepus_hoffmanni ENSCHOG00000012015
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001001959
microtus_ochrogaster ENSMOCG00000011400
mus_spicilegus ENSMSIG00000025390
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0020490
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000061517
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0019593
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0030610
nannospalax_galili ENSNGAG00000007556
castor_canadensis ENSCCNG00000006689
bos_taurus ENSBTAG00000022484
bison_bison_bison ENSBBBG00000008862
capra_hircus ENSCHIG00000019582
sus_scrofa ENSSSCG00000009494
panthera_pardus ENSPPRG00000015272
felis_catus ENSFCAG00000042881
neovison_vison ENSNVIG00000016192
canis_lupus_familiaris ENSCAFG00000028798
ovis_aries ENSOARG00000000906
canis_lupus_dingo ENSCAFG00020024003
equus_caballus ENSECAG00000032014
equus_asinus_asinus ENSEASG00005013605
propithecus_coquereli ENSPCOG00000025773
prolemur_simus ENSPSMG00000015568
microcebus_murinus ENSMICG00000030929
gorilla_gorilla ENSGGOG00000003177
homo_sapiens ENSG00000125285
pongo_abelii ENSPPYG00000005446
macaca_nemestrina ENSMNEG00000008735
macaca_mulatta ENSMMUG00000046362
macaca_fascicularis ENSMFAG00000044720
cercocebus_atys ENSCATG00000007563
theropithecus_gelada ENSTGEG00000009375
chlorocebus_sabaeus ENSCSAG00000000226
piliocolobus_tephrosceles ENSPTEG00000008214
piliocolobus_tephrosceles ENSPTEG00000007124
callithrix_jacchus ENSCJAG00000046080
cebus_capucinus_imitator ENSCCAG00000031766
otolemur_garnettii ENSOGAG00000034277
urocitellus_parryii ENSUPAG00010008161
mustela_putorius_furo ENSMPUG00000011830
meriones_unguiculatus ENSMUGG00000014337
jaculus_jaculus ENSJJAG00000013313
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000020575
octodon_degus ENSODEG00000019452
dasypus_novemcinctus ENSDNOG00000044507
notechis_scutatus ENSNSUG00000010434
anolis_carolinensis ENSACAG00000002492
salvator_merianae ENSSMRG00000016272
xenopus_tropicalis ENSXETG00000010955
pygocentrus_nattereri ENSPNAG00000004006
astyanax_mexicanus ENSAMXG00000030890
paramormyrops_kingsleyae ENSPKIG00000006125
scleropages_formosus ENSSFOG00015003428
paramormyrops_kingsleyae ENSPKIG00000019293
hippocampus_comes ENSHCOG00000014821
periophthalmus_magnuspinnatus ENSPMGG00000012006
kryptolebias_marmoratus ENSKMAG00000017132
gasterosteus_aculeatus ENSGACG00000004124
poecilia_mexicana ENSPMEG00000001137
poecilia_formosa ENSPFOG00000020152
poecilia_latipinna ENSPLAG00000022288
poecilia_reticulata ENSPREG00000002355
xiphophorus_maculatus ENSXMAG00000019573
xiphophorus_couchianus ENSXCOG00000019072
gambusia_affinis ENSGAFG00000001523
fundulus_heteroclitus ENSFHEG00000000544
cyprinodon_variegatus ENSCVAG00000011521
scophthalmus_maximus ENSSMAG00000016669
takifugu_rubripes ENSTRUG00000005725
cynoglossus_semilaevis ENSCSEG00000005421
amphiprion_percula ENSAPEG00000023775
amphiprion_ocellaris ENSAOCG00000015089
acanthochromis_polyacanthus ENSAPOG00000022593
stegastes_partitus ENSSPAG00000005790
maylandia_zebra ENSMZEG00005003041
astatotilapia_calliptera ENSACLG00000007603
pundamilia_nyererei ENSPNYG00000011088
haplochromis_burtoni ENSHBUG00000022173
neolamprologus_brichardi ENSNBRG00000009565
oreochromis_niloticus ENSONIG00000021103
amphilophus_citrinellus ENSACIG00000018909
oryzias_latipes_asm223471v1 ENSORLG00020018427
oryzias_latipes_asm223467v1 ENSORLG00000017755
oryzias_latipes_asm223469v1 ENSORLG00015012320
oryzias_melastigma ENSOMEG00000006305
mastacembelus_armatus ENSMAMG00000012843
monopterus_albus ENSMALG00000011430
anabas_testudineus ENSATEG00000013931
seriola_lalandi_dorsalis ENSSLDG00000001678
seriola_dumerili ENSSDUG00000002603
esox_lucius ENSELUG00000003620
gadus_morhua ENSGMOG00000019987
danio_rerio ENSDARG00000008540
lepisosteus_oculatus ENSLOCG00000017783
latimeria_chalumnae ENSLACG00000006585
ictalurus_punctatus ENSIPUG00000014840
mola_mola ENSMMOG00000020102
anas_platyrhynchos_platyrhynchos ENSAPLG00000021180
drosophila_melanogaster FBgn0042630
