sphenodon_punctatus ENSSPUG00000000214
notechis_scutatus ENSNSUG00000014161
chelonoidis_abingdonii ENSCABG00000013192
gopherus_agassizii ENSGAGG00000025155
chrysemys_picta_bellii ENSCPBG00000027009
pelodiscus_sinensis ENSPSIG00000005583
serinus_canaria ENSSCAG00000015289
lonchura_striata_domestica ENSLSDG00000004839
parus_major ENSPMJG00000008781
lepidothrix_coronata ENSLCOG00000007508
manacus_vitellinus ENSMVIG00005004125
junco_hyemalis ENSJHYG00000009999
calidris_pugnax ENSCPUG00000008527
anas_platyrhynchos_platyrhynchos ENSAPLG00000014652
anser_brachyrhynchus ENSABRG00000000129
gallus_gallus ENSGALG00000051266
coturnix_japonica ENSCJPG00005006678
numida_meleagris ENSNMEG00000016519
melopsittacus_undulatus ENSMUNG00000011229
calidris_pygmaea ENSCPGG00000006200
apteryx_haastii ENSAHAG00000012710
apteryx_owenii ENSAOWG00000000590
apteryx_rowi ENSARWG00000009609
dromaius_novaehollandiae ENSDNVG00000002524
crocodylus_porosus ENSCPRG00005005185
scleropages_formosus ENSSFOG00015011747
paramormyrops_kingsleyae ENSPKIG00000003652
pygocentrus_nattereri ENSPNAG00000011892
astyanax_mexicanus ENSAMXG00000006733
ictalurus_punctatus ENSIPUG00000004082
danio_rerio ENSDARG00000095897
lepisosteus_oculatus ENSLOCG00000006308
xiphophorus_maculatus ENSXMAG00000029555
xiphophorus_couchianus ENSXCOG00000003283
poecilia_latipinna ENSPLAG00000008974
poecilia_mexicana ENSPMEG00000005880
poecilia_reticulata ENSPREG00000001430
gambusia_affinis ENSGAFG00000019096
cyprinodon_variegatus ENSCVAG00000001905
fundulus_heteroclitus ENSFHEG00000001814
cynoglossus_semilaevis ENSCSEG00000019709
anabas_testudineus ENSATEG00000010940
mastacembelus_armatus ENSMAMG00000017306
oryzias_latipes_asm223471v1 ENSORLG00020017240
oryzias_latipes_asm223469v1 ENSORLG00015009165
oryzias_latipes_asm223467v1 ENSORLG00000022838
oryzias_melastigma ENSOMEG00000005797
kryptolebias_marmoratus ENSKMAG00000012123
amphiprion_ocellaris ENSAOCG00000000055
amphiprion_percula ENSAPEG00000013340
acanthochromis_polyacanthus ENSAPOG00000016259
stegastes_partitus ENSSPAG00000002740
monopterus_albus ENSMALG00000003476
labrus_bergylta ENSLBEG00000006767
takifugu_rubripes ENSTRUG00000025976
mola_mola ENSMMOG00000015457
maylandia_zebra ENSMZEG00005020628
pundamilia_nyererei ENSPNYG00000011082
astatotilapia_calliptera ENSACLG00000021508
haplochromis_burtoni ENSHBUG00000011135
oreochromis_niloticus ENSONIG00000001947
neolamprologus_brichardi ENSNBRG00000002043
amphilophus_citrinellus ENSACIG00000023536
seriola_dumerili ENSSDUG00000020116
seriola_lalandi_dorsalis ENSSLDG00000023311
scophthalmus_maximus ENSSMAG00000015014
periophthalmus_magnuspinnatus ENSPMGG00000014277
hippocampus_comes ENSHCOG00000002833
esox_lucius ENSELUG00000013735
eptatretus_burgeri ENSEBUG00000013718
