chlorocebus_sabaeus ENSCSAG00000018683
theropithecus_gelada ENSTGEG00000025569
rhinopithecus_roxellana ENSRROG00000003097
rhinopithecus_bieti ENSRBIG00000028103
piliocolobus_tephrosceles ENSPTEG00000005573
gorilla_gorilla ENSGGOG00000013094
pan_troglodytes ENSPTRG00000024386
homo_sapiens ENSG00000205670
homo_sapiens ENSG00000273590
pongo_abelii ENSPPYG00000016821
callithrix_jacchus ENSCJAG00000038421
saimiri_boliviensis_boliviensis ENSSBOG00000032382
cebus_capucinus_imitator ENSCCAG00000028538
aotus_nancymaae ENSANAG00000030557
prolemur_simus ENSPSMG00000023102
propithecus_coquereli ENSPCOG00000025984
microcebus_murinus ENSMICG00000011972
prolemur_simus ENSPSMG00000011598
otolemur_garnettii ENSOGAG00000034587
dipodomys_ordii ENSDORG00000026932
urocitellus_parryii ENSUPAG00010002833
ictidomys_tridecemlineatus ENSSTOG00000030093
spermophilus_dauricus ENSSDAG00000000993
spermophilus_dauricus ENSSDAG00000000974
marmota_marmota_marmota ENSMMMG00000002410
castor_canadensis ENSCCNG00000031150
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0021879
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000051989
mus_spicilegus ENSMSIG00000009192
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0020973
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0016678
rattus_norvegicus ENSRNOG00000039877
meriones_unguiculatus ENSMUGG00000014905
peromyscus_maniculatus_bairdii ENSPEMG00000029101
microtus_ochrogaster ENSMOCG00000019388
cricetulus_griseus_crigri_1.0 ENSCGRG00000018283
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001007254
cricetulus_griseus_crigri-picr ENSCGRG00015014483
mesocricetus_auratus ENSMAUG00000011264
nannospalax_galili ENSNGAG00000012901
jaculus_jaculus ENSJJAG00000023396
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100016934
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000009145
fukomys_damarensis ENSFDAG00000010282
chinchilla_lanigera ENSCLAG00000005628
octodon_degus ENSODEG00000003453
cavia_porcellus ENSCPOG00000005591
tupaia_belangeri ENSTBEG00000011728
carlito_syrichta ENSTSYG00000027066
bos_mutus ENSBMUG00000008968
bos_taurus ENSBTAG00000011528
bison_bison_bison ENSBBBG00000018853
capra_hircus ENSCHIG00000002425
ovis_aries ENSOARG00000007650
sus_scrofa ENSSSCG00000012046
equus_asinus_asinus ENSEASG00005006158
equus_caballus ENSECAG00000003617
ursus_americanus ENSUAMG00000028093
ursus_maritimus ENSUMAG00000020161
ailuropoda_melanoleuca ENSAMEG00000019455
neovison_vison ENSNVIG00000006936
canis_lupus_dingo ENSCAFG00020024598
canis_lupus_familiaris ENSCAFG00000030556
vulpes_vulpes ENSVVUG00000022915
panthera_tigris_altaica ENSPTIG00000003688
panthera_pardus ENSPPRG00000011681
felis_catus ENSFCAG00000046320
sorex_araneus ENSSARG00000011892
dasypus_novemcinctus ENSDNOG00000048226
loxodonta_africana ENSLAFG00000032757
echinops_telfairi ENSETEG00000008091
oryctolagus_cuniculus ENSOCUG00000010498
ornithorhynchus_anatinus ENSOANG00000022016
anolis_carolinensis ENSACAG00000020988
pogona_vitticeps ENSPVIG00000004524
notechis_scutatus ENSNSUG00000016688
notechis_scutatus ENSNSUG00000017773
salvator_merianae ENSSMRG00000023022
sphenodon_punctatus ENSSPUG00000019198
dromaius_novaehollandiae ENSDNVG00000010036
apteryx_owenii ENSAOWG00000017851
nothoprocta_perdicaria ENSNPEG00000006076
apteryx_haastii ENSAHAG00000018496
apteryx_rowi ENSARWG00000013617
coturnix_japonica ENSCJPG00005007496
gallus_gallus ENSGALG00000034083
anser_brachyrhynchus ENSABRG00000005319
calidris_pugnax ENSCPUG00000012483
calidris_pygmaea ENSCPGG00000012755
melopsittacus_undulatus ENSMUNG00000008186
zonotrichia_albicollis ENSZALG00000000129
junco_hyemalis ENSJHYG00000003771
serinus_canaria ENSSCAG00000007829
lonchura_striata_domestica ENSLSDG00000015184
lepidothrix_coronata ENSLCOG00000013720
manacus_vitellinus ENSMVIG00005015966
parus_major ENSPMJG00000009285
cyanistes_caeruleus ENSCCEG00000017443
crocodylus_porosus ENSCPRG00005015255
chrysemys_picta_bellii ENSCPBG00000005328
pelodiscus_sinensis ENSPSIG00000017865
maylandia_zebra ENSMZEG00005008894
astatotilapia_calliptera ENSACLG00000003894
haplochromis_burtoni ENSHBUG00000009553
oreochromis_niloticus ENSONIG00000015305
amphilophus_citrinellus ENSACIG00000013227
xiphophorus_maculatus ENSXMAG00000023979
poecilia_reticulata ENSPREG00000012391
kryptolebias_marmoratus ENSKMAG00000012511
amphiprion_percula ENSAPEG00000005703
amphiprion_percula ENSAPEG00000006625
amphiprion_ocellaris ENSAOCG00000011788
acanthochromis_polyacanthus ENSAPOG00000005968
mastacembelus_armatus ENSMAMG00000021950
hippocampus_comes ENSHCOG00000005639
