heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000013800
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100005236
fukomys_damarensis ENSFDAG00000009629
chinchilla_lanigera ENSCLAG00000004440
octodon_degus ENSODEG00000007071
cavia_porcellus ENSCPOG00000001614
cavia_aperea ENSCAPG00000011618
urocitellus_parryii ENSUPAG00010000610
ictidomys_tridecemlineatus ENSSTOG00000009371
marmota_marmota_marmota ENSMMMG00000009655
spermophilus_dauricus ENSSDAG00000009714
castor_canadensis ENSCCNG00000010643
dipodomys_ordii ENSDORG00000008685
mus_spicilegus ENSMSIG00000025422
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000020681
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0018148
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0017305
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0018434
rattus_norvegicus ENSRNOG00000062101
meriones_unguiculatus ENSMUGG00000018073
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001010899
cricetulus_griseus_crigri-picr ENSCGRG00015022680
cricetulus_griseus_crigri_1.0 ENSCGRG00000006738
mesocricetus_auratus ENSMAUG00000015310
peromyscus_maniculatus_bairdii ENSPEMG00000018095
microtus_ochrogaster ENSMOCG00000017839
nannospalax_galili ENSNGAG00000013876
jaculus_jaculus ENSJJAG00000017044
oryctolagus_cuniculus ENSOCUG00000001555
ochotona_princeps ENSOPRG00000014791
prolemur_simus ENSPSMG00000010050
propithecus_coquereli ENSPCOG00000023598
microcebus_murinus ENSMICG00000003785
otolemur_garnettii ENSOGAG00000006842
pan_paniscus ENSPPAG00000028254
pan_troglodytes ENSPTRG00000009513
homo_sapiens ENSG00000159640
gorilla_gorilla ENSGGOG00000000642
pongo_abelii ENSPPYG00000008523
nomascus_leucogenys ENSNLEG00000004491
theropithecus_gelada ENSTGEG00000021696
papio_anubis ENSPANG00000021050
mandrillus_leucophaeus ENSMLEG00000011597
cercocebus_atys ENSCATG00000030707
macaca_fascicularis ENSMFAG00000041823
macaca_mulatta ENSMMUG00000012608
macaca_nemestrina ENSMNEG00000031000
rhinopithecus_roxellana ENSRROG00000029802
rhinopithecus_bieti ENSRBIG00000024860
colobus_angolensis_palliatus ENSCANG00000029340
piliocolobus_tephrosceles ENSPTEG00000010226
cebus_capucinus_imitator ENSCCAG00000022276
saimiri_boliviensis_boliviensis ENSSBOG00000025447
callithrix_jacchus ENSCJAG00000019755
aotus_nancymaae ENSANAG00000023427
loxodonta_africana ENSLAFG00000006295
procavia_capensis ENSPCAG00000015118
echinops_telfairi ENSETEG00000000360
dasypus_novemcinctus ENSDNOG00000000903
pteropus_vampyrus ENSPVAG00000000147
myotis_lucifugus ENSMLUG00000012596
ursus_americanus ENSUAMG00000012710
ursus_maritimus ENSUMAG00000016748
ailuropoda_melanoleuca ENSAMEG00000003736
neovison_vison ENSNVIG00000023299
mustela_putorius_furo ENSMPUG00000014969
canis_lupus_familiaris ENSCAFG00000012998
canis_lupus_dingo ENSCAFG00020026646
vulpes_vulpes ENSVVUG00000005728
panthera_pardus ENSPPRG00000010880
panthera_tigris_altaica ENSPTIG00000013000
felis_catus ENSFCAG00000002078
equus_caballus ENSECAG00000012910
bos_taurus ENSBTAG00000024950
bos_mutus ENSBMUG00000024754
bison_bison_bison ENSBBBG00000013491
capra_hircus ENSCHIG00000012043
ovis_aries ENSOARG00000012958
tursiops_truncatus ENSTTRG00000001667
sus_scrofa ENSSSCG00000017296
sorex_araneus ENSSARG00000008106
erinaceus_europaeus ENSEEUG00000011585
tupaia_belangeri ENSTBEG00000009319
equus_asinus_asinus ENSEASG00005012767
equus_asinus_asinus ENSEASG00005012777
chlorocebus_sabaeus ENSCSAG00000003869
notamacropus_eugenii ENSMEUG00000001831
phascolarctos_cinereus ENSPCIG00000032484
sarcophilus_harrisii ENSSHAG00000010621
