mastacembelus_armatus ENSMAMG00000023773
anabas_testudineus ENSATEG00000009205
anabas_testudineus ENSATEG00000017499
gasterosteus_aculeatus ENSGACG00000001568
scophthalmus_maximus ENSSMAG00000020954
cynoglossus_semilaevis ENSCSEG00000001782
seriola_lalandi_dorsalis ENSSLDG00000023868
seriola_lalandi_dorsalis ENSSLDG00000011079
seriola_dumerili ENSSDUG00000014073
mola_mola ENSMMOG00000021714
takifugu_rubripes ENSTRUG00000022997
labrus_bergylta ENSLBEG00000018454
amphiprion_percula ENSAPEG00000015303
amphiprion_ocellaris ENSAOCG00000009293
acanthochromis_polyacanthus ENSAPOG00000004183
stegastes_partitus ENSSPAG00000016340
astatotilapia_calliptera ENSACLG00000019694
pundamilia_nyererei ENSPNYG00000020826
maylandia_zebra ENSMZEG00005012431
haplochromis_burtoni ENSHBUG00000012705
neolamprologus_brichardi ENSNBRG00000002163
amphilophus_citrinellus ENSACIG00000018256
xiphophorus_maculatus ENSXMAG00000020953
xiphophorus_couchianus ENSXCOG00000004926
gambusia_affinis ENSGAFG00000021540
poecilia_formosa ENSPFOG00000018711
poecilia_latipinna ENSPLAG00000005787
poecilia_mexicana ENSPMEG00000021315
poecilia_reticulata ENSPREG00000008351
fundulus_heteroclitus ENSFHEG00000006487
cyprinodon_variegatus ENSCVAG00000018306
kryptolebias_marmoratus ENSKMAG00000002381
oryzias_latipes_asm223469v1 ENSORLG00015021042
oryzias_latipes_asm223471v1 ENSORLG00020003116
oryzias_melastigma ENSOMEG00000005339
hippocampus_comes ENSHCOG00000007507
periophthalmus_magnuspinnatus ENSPMGG00000002266
gadus_morhua ENSGMOG00000010810
esox_lucius ENSELUG00000009131
pygocentrus_nattereri ENSPNAG00000009311
danio_rerio ENSDARG00000099902
paramormyrops_kingsleyae ENSPKIG00000012369
scleropages_formosus ENSSFOG00015016346
seriola_dumerili ENSSDUG00000001283
seriola_lalandi_dorsalis ENSSLDG00000010393
scophthalmus_maximus ENSSMAG00000013840
anabas_testudineus ENSATEG00000014659
xiphophorus_maculatus ENSXMAG00000023161
gambusia_affinis ENSGAFG00000015978
poecilia_formosa ENSPFOG00000014596
poecilia_mexicana ENSPMEG00000013659
poecilia_latipinna ENSPLAG00000022812
kryptolebias_marmoratus ENSKMAG00000014963
oryzias_latipes_asm223467v1 ENSORLG00000025205
oryzias_latipes_asm223471v1 ENSORLG00020019956
oryzias_latipes_asm223469v1 ENSORLG00015015304
oryzias_melastigma ENSOMEG00000008746
maylandia_zebra ENSMZEG00005025823
haplochromis_burtoni ENSHBUG00000022349
pundamilia_nyererei ENSPNYG00000005617
neolamprologus_brichardi ENSNBRG00000021534
acanthochromis_polyacanthus ENSAPOG00000013781
acanthochromis_polyacanthus ENSAPOG00000000508
amphiprion_ocellaris ENSAOCG00000007909
stegastes_partitus ENSSPAG00000020982
takifugu_rubripes ENSTRUG00000009944
esox_lucius ENSELUG00000018450
pygocentrus_nattereri ENSPNAG00000007864
astyanax_mexicanus ENSAMXG00000037733
ictalurus_punctatus ENSIPUG00000023536
paramormyrops_kingsleyae ENSPKIG00000004219
