pelodiscus_sinensis ENSPSIG00000000728
chrysemys_picta_bellii ENSCPBG00000022503
zonotrichia_albicollis ENSZALG00000011305
melopsittacus_undulatus ENSMUNG00000007189
nothoprocta_perdicaria ENSNPEG00000002479
crocodylus_porosus ENSCPRG00005016102
gallus_gallus ENSGALG00000026631
coturnix_japonica ENSCJPG00005012534
numida_meleagris ENSNMEG00000007775
anser_brachyrhynchus ENSABRG00000010211
parus_major ENSPMJG00000001490
cyanistes_caeruleus ENSCCEG00000005584
lonchura_striata_domestica ENSLSDG00000000785
taeniopygia_guttata ENSTGUG00000002924
serinus_canaria ENSSCAG00000015059
junco_hyemalis ENSJHYG00000005789
ficedula_albicollis ENSFALG00000009427
manacus_vitellinus ENSMVIG00005017589
lepidothrix_coronata ENSLCOG00000001686
calidris_pygmaea ENSCPGG00000004755
calidris_pugnax ENSCPUG00000010832
apteryx_owenii ENSAOWG00000006338
pogona_vitticeps ENSPVIG00000015317
salvator_merianae ENSSMRG00000003005
notamacropus_eugenii ENSMEUG00000001294
monodelphis_domestica ENSMODG00000000463
ovis_aries ENSOARG00000009675
capra_hircus ENSCHIG00000014836
tursiops_truncatus ENSTTRG00000003476
sus_scrofa ENSSSCG00000021204
canis_lupus_familiaris ENSCAFG00000002963
canis_lupus_dingo ENSCAFG00020003608
vulpes_vulpes ENSVVUG00000024786
mustela_putorius_furo ENSMPUG00000004815
ailuropoda_melanoleuca ENSAMEG00000005883
panthera_pardus ENSPPRG00000009005
felis_catus ENSFCAG00000025359
equus_caballus ENSECAG00000012577
equus_asinus_asinus ENSEASG00005022176
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0029392
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000000938
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0028390
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0022140
rattus_norvegicus ENSRNOG00000027246
rattus_norvegicus ENSRNOG00000057650
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001012738
mesocricetus_auratus ENSMAUG00000001122
microtus_ochrogaster ENSMOCG00000011516
castor_canadensis ENSCCNG00000023514
chinchilla_lanigera ENSCLAG00000015066
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000005582
oryctolagus_cuniculus ENSOCUG00000029439
ochotona_princeps ENSOPRG00000010473
tupaia_belangeri ENSTBEG00000011018
pan_troglodytes ENSPTRG00000019019
pan_troglodytes ENSPTRG00000052537
pan_paniscus ENSPPAG00000028221
homo_sapiens ENSG00000253293
gorilla_gorilla ENSGGOG00000002225
rhinopithecus_roxellana ENSRROG00000035720
rhinopithecus_bieti ENSRBIG00000031294
piliocolobus_tephrosceles ENSPTEG00000021429
macaca_fascicularis ENSMFAG00000000953
macaca_mulatta ENSMMUG00000013459
macaca_nemestrina ENSMNEG00000032276
papio_anubis ENSPANG00000021024
cercocebus_atys ENSCATG00000044959
mandrillus_leucophaeus ENSMLEG00000040709
cebus_capucinus_imitator ENSCCAG00000034574
saimiri_boliviensis_boliviensis ENSSBOG00000033844
callithrix_jacchus ENSCJAG00000008173
aotus_nancymaae ENSANAG00000024989
microcebus_murinus ENSMICG00000027113
propithecus_coquereli ENSPCOG00000015186
otolemur_garnettii ENSOGAG00000012385
jaculus_jaculus ENSJJAG00000020521
nannospalax_galili ENSNGAG00000013764
dipodomys_ordii ENSDORG00000029112
octodon_degus ENSODEG00000009794
bos_taurus ENSBTAG00000048562
loxodonta_africana ENSLAFG00000030920
pteropus_vampyrus ENSPVAG00000002499
erinaceus_europaeus ENSEEUG00000009849
procavia_capensis ENSPCAG00000016469
ornithorhynchus_anatinus ENSOANG00000009171
latimeria_chalumnae ENSLACG00000017380
