rhinopithecus_bieti ENSRBIG00000039918
rhinopithecus_roxellana ENSRROG00000037731
piliocolobus_tephrosceles ENSPTEG00000009266
papio_anubis ENSPANG00000035107
cercocebus_atys ENSCATG00000027881
macaca_mulatta ENSMMUG00000046058
macaca_fascicularis ENSMFAG00000036936
macaca_nemestrina ENSMNEG00000045490
homo_sapiens ENSG00000179859
gorilla_gorilla ENSGGOG00000042011
pan_troglodytes ENSPTRG00000043140
pan_paniscus ENSPPAG00000040198
nomascus_leucogenys ENSNLEG00000032354
callithrix_jacchus ENSCJAG00000041018
cebus_capucinus_imitator ENSCCAG00000036242
aotus_nancymaae ENSANAG00000024198
carlito_syrichta ENSTSYG00000008705
propithecus_coquereli ENSPCOG00000014132
prolemur_simus ENSPSMG00000018255
microcebus_murinus ENSMICG00000030993
castor_canadensis ENSCCNG00000002023
dipodomys_ordii ENSDORG00000010719
ictidomys_tridecemlineatus ENSSTOG00000026440
chinchilla_lanigera ENSCLAG00000008516
octodon_degus ENSODEG00000017826
cavia_porcellus ENSCPOG00000027016
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100013469
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000018739
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000043419
mus_spicilegus ENSMSIG00000026421
rattus_norvegicus ENSRNOG00000021540
meriones_unguiculatus ENSMUGG00000014552
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001005462
mesocricetus_auratus ENSMAUG00000014108
microtus_ochrogaster ENSMOCG00000013838
nannospalax_galili ENSNGAG00000021827
oryctolagus_cuniculus ENSOCUG00000017320
canis_lupus_dingo ENSCAFG00020007407
vulpes_vulpes ENSVVUG00000028036
neovison_vison ENSNVIG00000004540
felis_catus ENSFCAG00000042971
equus_asinus_asinus ENSEASG00005019369
equus_caballus ENSECAG00000032885
capra_hircus ENSCHIG00000009394
ovis_aries ENSOARG00000018087
bison_bison_bison ENSBBBG00000012386
bos_taurus ENSBTAG00000051381
sus_scrofa ENSSSCG00000023166
dasypus_novemcinctus ENSDNOG00000043939
phascolarctos_cinereus ENSPCIG00000023784
