cyprinodon_variegatus ENSCVAG00000003110
poecilia_reticulata ENSPREG00000007711
oryzias_latipes_asm223469v1 ENSORLG00015013201
amphilophus_citrinellus ENSACIG00000014449
haplochromis_burtoni ENSHBUG00000016301
stegastes_partitus ENSSPAG00000001340
poecilia_mexicana ENSPMEG00000018831
poecilia_latipinna ENSPLAG00000020198
kryptolebias_marmoratus ENSKMAG00000018405
mastacembelus_armatus ENSMAMG00000004860
astyanax_mexicanus ENSAMXG00000031658
gopherus_agassizii ENSGAGG00000003993
cyanistes_caeruleus ENSCCEG00000019411
notechis_scutatus ENSNSUG00000003136
petromyzon_marinus ENSPMAG00000004111
eptatretus_burgeri ENSEBUG00000004232
petromyzon_marinus ENSPMAG00000003001
eptatretus_burgeri ENSEBUG00000002296
