notechis_scutatus ENSNSUG00000008324
pogona_vitticeps ENSPVIG00000005962
salvator_merianae ENSSMRG00000002647
sphenodon_punctatus ENSSPUG00000012145
meleagris_gallopavo ENSMGAG00000002032
coturnix_japonica ENSCJPG00005009861
gallus_gallus ENSGALG00000000835
numida_meleagris ENSNMEG00000008338
lepidothrix_coronata ENSLCOG00000004906
manacus_vitellinus ENSMVIG00005006475
cyanistes_caeruleus ENSCCEG00000023277
parus_major ENSPMJG00000010601
ficedula_albicollis ENSFALG00000013780
taeniopygia_guttata ENSTGUG00000000302
lonchura_striata_domestica ENSLSDG00000004910
serinus_canaria ENSSCAG00000002343
apteryx_owenii ENSAOWG00000014402
apteryx_haastii ENSAHAG00000011338
anser_brachyrhynchus ENSABRG00000001737
anas_platyrhynchos_platyrhynchos ENSAPLG00000010955
apteryx_rowi ENSARWG00000002850
calidris_pugnax ENSCPUG00000006922
calidris_pygmaea ENSCPGG00000001121
melopsittacus_undulatus ENSMUNG00000012770
nothoprocta_perdicaria ENSNPEG00000013405
crocodylus_porosus ENSCPRG00005009373
gopherus_agassizii ENSGAGG00000003532
chelonoidis_abingdonii ENSCABG00000021519
chrysemys_picta_bellii ENSCPBG00000018567
pelodiscus_sinensis ENSPSIG00000011719
dromaius_novaehollandiae ENSDNVG00000002344
propithecus_coquereli ENSPCOG00000025927
microcebus_murinus ENSMICG00000015433
otolemur_garnettii ENSOGAG00000016478
macaca_fascicularis ENSMFAG00000034618
theropithecus_gelada ENSTGEG00000012778
chlorocebus_sabaeus ENSCSAG00000011738
pongo_abelii ENSPPYG00000009341
castor_canadensis ENSCCNG00000008027
dipodomys_ordii ENSDORG00000024741
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0016419
mus_spicilegus ENSMSIG00000010161
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000035278
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0015601
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0031014
rattus_norvegicus ENSRNOG00000019247
meriones_unguiculatus ENSMUGG00000014072
mesocricetus_auratus ENSMAUG00000016155
mesocricetus_auratus ENSMAUG00000009751
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001024439
cricetulus_griseus_crigri_1.0 ENSCGRG00000010323
cricetulus_griseus_crigri-picr ENSCGRG00015002893
microtus_ochrogaster ENSMOCG00000021610
peromyscus_maniculatus_bairdii ENSPEMG00000022829
nannospalax_galili ENSNGAG00000021814
jaculus_jaculus ENSJJAG00000024092
octodon_degus ENSODEG00000013540
chinchilla_lanigera ENSCLAG00000009663
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000016697
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100000352
fukomys_damarensis ENSFDAG00000012987
ictidomys_tridecemlineatus ENSSTOG00000026258
urocitellus_parryii ENSUPAG00010013219
marmota_marmota_marmota ENSMMMG00000016470
canis_lupus_familiaris ENSCAFG00000031559
vulpes_vulpes ENSVVUG00000002554
neovison_vison ENSNVIG00000005138
canis_lupus_dingo ENSCAFG00020018140
felis_catus ENSFCAG00000045112
myotis_lucifugus ENSMLUG00000004420
bos_taurus ENSBTAG00000001647
bison_bison_bison ENSBBBG00000024440
capra_hircus ENSCHIG00000010795
ovis_aries ENSOARG00000014297
sus_scrofa ENSSSCG00000013453
equus_caballus ENSECAG00000014535
equus_asinus_asinus ENSEASG00005021966
tursiops_truncatus ENSTTRG00000012132
panthera_pardus ENSPPRG00000007711
pteropus_vampyrus ENSPVAG00000001217
pteropus_vampyrus ENSPVAG00000010234
papio_anubis ENSPANG00000019261
mandrillus_leucophaeus ENSMLEG00000025106
piliocolobus_tephrosceles ENSPTEG00000027872
aotus_nancymaae ENSANAG00000038348
saimiri_boliviensis_boliviensis ENSSBOG00000019670
cebus_capucinus_imitator ENSCCAG00000030121
callithrix_jacchus ENSCJAG00000041206
pan_troglodytes ENSPTRG00000010226
pan_paniscus ENSPPAG00000032298
homo_sapiens ENSG00000104886
gorilla_gorilla ENSGGOG00000006605
nomascus_leucogenys ENSNLEG00000002134
colobus_angolensis_palliatus ENSCANG00000031986
rhinopithecus_bieti ENSRBIG00000034379
macaca_nemestrina ENSMNEG00000031778
macaca_mulatta ENSMMUG00000010109
cercocebus_atys ENSCATG00000010390
rhinopithecus_roxellana ENSRROG00000035652
prolemur_simus ENSPSMG00000008831
loxodonta_africana ENSLAFG00000030423
procavia_capensis ENSPCAG00000014483
echinops_telfairi ENSETEG00000017943
dasypus_novemcinctus ENSDNOG00000019503
phascolarctos_cinereus ENSPCIG00000030461
notamacropus_eugenii ENSMEUG00000001047
sarcophilus_harrisii ENSSHAG00000011543
monodelphis_domestica ENSMODG00000004671
ornithorhynchus_anatinus ENSOANG00000013647
xenopus_tropicalis ENSXETG00000024941
latimeria_chalumnae ENSLACG00000008887
astyanax_mexicanus ENSAMXG00000041405
pygocentrus_nattereri ENSPNAG00000027612
ictalurus_punctatus ENSIPUG00000019044
danio_rerio ENSDARG00000025593
takifugu_rubripes ENSTRUG00000024234
tetraodon_nigroviridis ENSTNIG00000015317
mola_mola ENSMMOG00000010660
gasterosteus_aculeatus ENSGACG00000015244
fundulus_heteroclitus ENSFHEG00000002406
cyprinodon_variegatus ENSCVAG00000021361
poecilia_formosa ENSPFOG00000015943
poecilia_mexicana ENSPMEG00000009527
poecilia_latipinna ENSPLAG00000010073
poecilia_reticulata ENSPREG00000017830
gambusia_affinis ENSGAFG00000008486
xiphophorus_maculatus ENSXMAG00000019320
xiphophorus_couchianus ENSXCOG00000008224
kryptolebias_marmoratus ENSKMAG00000006265
oryzias_latipes_asm223469v1 ENSORLG00015017083
oryzias_latipes_asm223471v1 ENSORLG00020017220
oryzias_latipes_asm223467v1 ENSORLG00000015314
oryzias_melastigma ENSOMEG00000020934
monopterus_albus ENSMALG00000020423
seriola_lalandi_dorsalis ENSSLDG00000010898
seriola_dumerili ENSSDUG00000015836
scophthalmus_maximus ENSSMAG00000002605
cynoglossus_semilaevis ENSCSEG00000014322
anabas_testudineus ENSATEG00000015419
labrus_bergylta ENSLBEG00000000642
amphiprion_percula ENSAPEG00000012320
acanthochromis_polyacanthus ENSAPOG00000003933
amphiprion_ocellaris ENSAOCG00000002709
stegastes_partitus ENSSPAG00000004938
astatotilapia_calliptera ENSACLG00000002336
haplochromis_burtoni ENSHBUG00000021808
pundamilia_nyererei ENSPNYG00000006936
maylandia_zebra ENSMZEG00005025608
neolamprologus_brichardi ENSNBRG00000019862
amphilophus_citrinellus ENSACIG00000018173
hippocampus_comes ENSHCOG00000001220
periophthalmus_magnuspinnatus ENSPMGG00000017257
gadus_morhua ENSGMOG00000012181
esox_lucius ENSELUG00000008500
paramormyrops_kingsleyae ENSPKIG00000009464
scleropages_formosus ENSSFOG00015010950
eptatretus_burgeri ENSEBUG00000014328
