fundulus_heteroclitus ENSFHEG00000020117
cyprinodon_variegatus ENSCVAG00000019903
poecilia_mexicana ENSPMEG00000010059
poecilia_formosa ENSPFOG00000024104
poecilia_latipinna ENSPLAG00000013666
poecilia_reticulata ENSPREG00000012845
xiphophorus_couchianus ENSXCOG00000008110
xiphophorus_maculatus ENSXMAG00000028126
gambusia_affinis ENSGAFG00000008127
kryptolebias_marmoratus ENSKMAG00000007721
oryzias_latipes_asm223471v1 ENSORLG00020018393
oryzias_latipes_asm223467v1 ENSORLG00000014572
oryzias_latipes_asm223469v1 ENSORLG00015018648
oryzias_melastigma ENSOMEG00000000516
amphiprion_ocellaris ENSAOCG00000005661
amphiprion_percula ENSAPEG00000017931
acanthochromis_polyacanthus ENSAPOG00000024428
stegastes_partitus ENSSPAG00000005679
astatotilapia_calliptera ENSACLG00000003827
maylandia_zebra ENSMZEG00005000450
haplochromis_burtoni ENSHBUG00000020410
pundamilia_nyererei ENSPNYG00000005123
neolamprologus_brichardi ENSNBRG00000021130
maylandia_zebra ENSMZEG00005000434
haplochromis_burtoni ENSHBUG00000020424
astatotilapia_calliptera ENSACLG00000003812
amphilophus_citrinellus ENSACIG00000015730
labrus_bergylta ENSLBEG00000002167
mastacembelus_armatus ENSMAMG00000007291
monopterus_albus ENSMALG00000021804
anabas_testudineus ENSATEG00000016542
seriola_dumerili ENSSDUG00000014711
seriola_lalandi_dorsalis ENSSLDG00000018010
scophthalmus_maximus ENSSMAG00000003890
scophthalmus_maximus ENSSMAG00000003902
esox_lucius ENSELUG00000006195
scleropages_formosus ENSSFOG00015007540
paramormyrops_kingsleyae ENSPKIG00000015635
