ciona_savignyi ENSCSAVG00000007097
ciona_intestinalis ENSCING00000007459
petromyzon_marinus ENSPMAG00000006149
eptatretus_burgeri ENSEBUG00000012312
petromyzon_marinus ENSPMAG00000003057
amphiprion_ocellaris ENSAOCG00000017070
amphiprion_percula ENSAPEG00000020521
acanthochromis_polyacanthus ENSAPOG00000007621
stegastes_partitus ENSSPAG00000018803
astatotilapia_calliptera ENSACLG00000016244
maylandia_zebra ENSMZEG00005022613
pundamilia_nyererei ENSPNYG00000013587
haplochromis_burtoni ENSHBUG00000013409
neolamprologus_brichardi ENSNBRG00000016618
oreochromis_niloticus ENSONIG00000015414
amphilophus_citrinellus ENSACIG00000003523
seriola_dumerili ENSSDUG00000008301
seriola_lalandi_dorsalis ENSSLDG00000023818
scophthalmus_maximus ENSSMAG00000014965
monopterus_albus ENSMALG00000008119
mastacembelus_armatus ENSMAMG00000006472
anabas_testudineus ENSATEG00000009319
gasterosteus_aculeatus ENSGACG00000004827
labrus_bergylta ENSLBEG00000016057
poecilia_formosa ENSPFOG00000006991
poecilia_mexicana ENSPMEG00000022160
poecilia_latipinna ENSPLAG00000018192
poecilia_reticulata ENSPREG00000010197
xiphophorus_couchianus ENSXCOG00000009344
xiphophorus_maculatus ENSXMAG00000015780
gambusia_affinis ENSGAFG00000020709
fundulus_heteroclitus ENSFHEG00000005072
cyprinodon_variegatus ENSCVAG00000019509
kryptolebias_marmoratus ENSKMAG00000019255
oryzias_latipes_asm223471v1 ENSORLG00020007284
oryzias_latipes_asm223469v1 ENSORLG00015021295
oryzias_latipes_asm223467v1 ENSORLG00000007056
oryzias_melastigma ENSOMEG00000021715
hippocampus_comes ENSHCOG00000014315
periophthalmus_magnuspinnatus ENSPMGG00000001073
cynoglossus_semilaevis ENSCSEG00000006667
takifugu_rubripes ENSTRUG00000014091
tetraodon_nigroviridis ENSTNIG00000008423
mola_mola ENSMMOG00000002918
gadus_morhua ENSGMOG00000008352
esox_lucius ENSELUG00000003084
pygocentrus_nattereri ENSPNAG00000015024
astyanax_mexicanus ENSAMXG00000003207
ictalurus_punctatus ENSIPUG00000021289
danio_rerio ENSDARG00000041429
scleropages_formosus ENSSFOG00015021873
paramormyrops_kingsleyae ENSPKIG00000024198
lepisosteus_oculatus ENSLOCG00000013812
pogona_vitticeps ENSPVIG00000012906
anolis_carolinensis ENSACAG00000004673
notechis_scutatus ENSNSUG00000003780
salvator_merianae ENSSMRG00000021590
sphenodon_punctatus ENSSPUG00000009616
anser_brachyrhynchus ENSABRG00000008861
anas_platyrhynchos_platyrhynchos ENSAPLG00000014064
gallus_gallus ENSGALG00000007491
coturnix_japonica ENSCJPG00005020803
meleagris_gallopavo ENSMGAG00000009693
numida_meleagris ENSNMEG00000023236
taeniopygia_guttata ENSTGUG00000014350
taeniopygia_guttata ENSTGUG00000009182
lonchura_striata_domestica ENSLSDG00000011577
