anabas_testudineus ENSATEG00000010135
monopterus_albus ENSMALG00000003866
scophthalmus_maximus ENSSMAG00000019781
labrus_bergylta ENSLBEG00000028347
xiphophorus_couchianus ENSXCOG00000013933
xiphophorus_maculatus ENSXMAG00000029290
gambusia_affinis ENSGAFG00000017046
cyprinodon_variegatus ENSCVAG00000011704
kryptolebias_marmoratus ENSKMAG00000021815
oryzias_latipes_asm223467v1 ENSORLG00000021992
oryzias_latipes_asm223469v1 ENSORLG00015001008
astatotilapia_calliptera ENSACLG00000003082
maylandia_zebra ENSMZEG00005011896
haplochromis_burtoni ENSHBUG00000004850
pundamilia_nyererei ENSPNYG00000006897
neolamprologus_brichardi ENSNBRG00000023508
oreochromis_niloticus ENSONIG00000016746
amphilophus_citrinellus ENSACIG00000010039
amphiprion_ocellaris ENSAOCG00000006116
acanthochromis_polyacanthus ENSAPOG00000022743
stegastes_partitus ENSSPAG00000016047
tetraodon_nigroviridis ENSTNIG00000000944
gadus_morhua ENSGMOG00000001895
esox_lucius ENSELUG00000003911
pygocentrus_nattereri ENSPNAG00000023490
astyanax_mexicanus ENSAMXG00000039447
ictalurus_punctatus ENSIPUG00000015367
danio_rerio ENSDARG00000071360
lepisosteus_oculatus ENSLOCG00000015771
chelonoidis_abingdonii ENSCABG00000020392
chrysemys_picta_bellii ENSCPBG00000023595
pelodiscus_sinensis ENSPSIG00000016605
apteryx_owenii ENSAOWG00000000728
apteryx_haastii ENSAHAG00000004200
apteryx_rowi ENSARWG00000006202
dromaius_novaehollandiae ENSDNVG00000000612
nothoprocta_perdicaria ENSNPEG00000009745
calidris_pygmaea ENSCPGG00000001445
calidris_pugnax ENSCPUG00000003016
meleagris_gallopavo ENSMGAG00000007460
gallus_gallus ENSGALG00000040307
anas_platyrhynchos_platyrhynchos ENSAPLG00000011332
sphenodon_punctatus ENSSPUG00000006551
anolis_carolinensis ENSACAG00000006222
pogona_vitticeps ENSPVIG00000009657
notechis_scutatus ENSNSUG00000016201
salvator_merianae ENSSMRG00000014930
crocodylus_porosus ENSCPRG00005011260
monodelphis_domestica ENSMODG00000008750
phascolarctos_cinereus ENSPCIG00000020702
sarcophilus_harrisii ENSSHAG00000015584
