meleagris_gallopavo ENSMGAG00000010621
gallus_gallus ENSGALG00000029617
anas_platyrhynchos_platyrhynchos ENSAPLG00000006175
ficedula_albicollis ENSFALG00000008808
taeniopygia_guttata ENSTGUG00000010406
parus_major ENSPMJG00000004922
dromaius_novaehollandiae ENSDNVG00000016375
calidris_pugnax ENSCPUG00000000867
melopsittacus_undulatus ENSMUNG00000009332
junco_hyemalis ENSJHYG00000005116
cyanistes_caeruleus ENSCCEG00000004476
lonchura_striata_domestica ENSLSDG00000005091
manacus_vitellinus ENSMVIG00005000800
apteryx_rowi ENSARWG00000000455
numida_meleagris ENSNMEG00000013535
anser_brachyrhynchus ENSABRG00000007126
pelodiscus_sinensis ENSPSIG00000012186
anolis_carolinensis ENSACAG00000005136
salvator_merianae ENSSMRG00000007725
phascolarctos_cinereus ENSPCIG00000026092
notamacropus_eugenii ENSMEUG00000005237
monodelphis_domestica ENSMODG00000010961
sarcophilus_harrisii ENSSHAG00000017266
castor_canadensis ENSCCNG00000013297
dipodomys_ordii ENSDORG00000009335
mus_spicilegus ENSMSIG00000031440
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0023980
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000025064
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0023059
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0014549
rattus_norvegicus ENSRNOG00000012110
meriones_unguiculatus ENSMUGG00000024906
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001022203
cricetulus_griseus_crigri-picr ENSCGRG00015019593
cricetulus_griseus_crigri_1.0 ENSCGRG00000013538
mesocricetus_auratus ENSMAUG00000013570
peromyscus_maniculatus_bairdii ENSPEMG00000010272
microtus_ochrogaster ENSMOCG00000011193
nannospalax_galili ENSNGAG00000014613
jaculus_jaculus ENSJJAG00000020946
cavia_porcellus ENSCPOG00000000997
octodon_degus ENSODEG00000007918
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000003598
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100010750
urocitellus_parryii ENSUPAG00010020186
ictidomys_tridecemlineatus ENSSTOG00000013352
spermophilus_dauricus ENSSDAG00000021418
marmota_marmota_marmota ENSMMMG00000000492
oryctolagus_cuniculus ENSOCUG00000003049
ochotona_princeps ENSOPRG00000010749
tupaia_belangeri ENSTBEG00000002865
propithecus_coquereli ENSPCOG00000016202
microcebus_murinus ENSMICG00000004394
prolemur_simus ENSPSMG00000012758
otolemur_garnettii ENSOGAG00000017124
rhinopithecus_roxellana ENSRROG00000031066
piliocolobus_tephrosceles ENSPTEG00000022186
colobus_angolensis_palliatus ENSCANG00000037353
rhinopithecus_bieti ENSRBIG00000018038
cercocebus_atys ENSCATG00000043526
chlorocebus_sabaeus ENSCSAG00000005300
macaca_fascicularis ENSMFAG00000038498
macaca_nemestrina ENSMNEG00000030047
mandrillus_leucophaeus ENSMLEG00000020402
papio_anubis ENSPANG00000020929
macaca_mulatta ENSMMUG00000015325
pan_paniscus ENSPPAG00000031577
pan_troglodytes ENSPTRG00000002921
homo_sapiens ENSG00000065618
gorilla_gorilla ENSGGOG00000000510
pongo_abelii ENSPPYG00000002630
nomascus_leucogenys ENSNLEG00000015299
callithrix_jacchus ENSCJAG00000018404
saimiri_boliviensis_boliviensis ENSSBOG00000032158
cebus_capucinus_imitator ENSCCAG00000018668
aotus_nancymaae ENSANAG00000027237
ovis_aries ENSOARG00000005727
capra_hircus ENSCHIG00000013715
bos_mutus ENSBMUG00000006157
bos_taurus ENSBTAG00000002430
bison_bison_bison ENSBBBG00000006107
tursiops_truncatus ENSTTRG00000007475
sus_scrofa ENSSSCG00000010607
erinaceus_europaeus ENSEEUG00000011145
equus_caballus ENSECAG00000007909
mustela_putorius_furo ENSMPUG00000016798
neovison_vison ENSNVIG00000016116
ailuropoda_melanoleuca ENSAMEG00000017991
canis_lupus_dingo ENSCAFG00020011291
vulpes_vulpes ENSVVUG00000004707
canis_lupus_familiaris ENSCAFG00000010547
panthera_pardus ENSPPRG00000009059
panthera_tigris_altaica ENSPTIG00000018541
felis_catus ENSFCAG00000004299
pteropus_vampyrus ENSPVAG00000004189
myotis_lucifugus ENSMLUG00000013328
dasypus_novemcinctus ENSDNOG00000000442
loxodonta_africana ENSLAFG00000011870
procavia_capensis ENSPCAG00000002112
echinops_telfairi ENSETEG00000013972
ornithorhynchus_anatinus ENSOANG00000001623
ornithorhynchus_anatinus ENSOANG00000002447
xenopus_tropicalis ENSXETG00000033563
latimeria_chalumnae ENSLACG00000009765
danio_rerio ENSDARG00000096073
