cricetulus_griseus_crigri-picr ENSCGRG00015023526
cricetulus_griseus_crigri_1.0 ENSCGRG00000002830
nomascus_leucogenys ENSNLEG00000032260
apteryx_owenii ENSAOWG00000001629
apteryx_rowi ENSARWG00000000092
coturnix_japonica ENSCJPG00005003217
poecilia_mexicana ENSPMEG00000018338
poecilia_latipinna ENSPLAG00000012089
poecilia_reticulata ENSPREG00000007203
gambusia_affinis ENSGAFG00000012918
astatotilapia_calliptera ENSACLG00000017917
amphiprion_ocellaris ENSAOCG00000015284
mola_mola ENSMMOG00000010424
