prolemur_simus ENSPSMG00000003864
microcebus_murinus ENSMICG00000035927
propithecus_coquereli ENSPCOG00000019591
otolemur_garnettii ENSOGAG00000000590
oryctolagus_cuniculus ENSOCUG00000007924
ochotona_princeps ENSOPRG00000013888
pan_troglodytes ENSPTRG00000001594
pan_paniscus ENSPPAG00000033359
homo_sapiens ENSG00000081721
gorilla_gorilla ENSGGOG00000004596
pongo_abelii ENSPPYG00000000590
nomascus_leucogenys ENSNLEG00000014515
saimiri_boliviensis_boliviensis ENSSBOG00000023604
callithrix_jacchus ENSCJAG00000004609
cebus_capucinus_imitator ENSCCAG00000022950
aotus_nancymaae ENSANAG00000025813
chlorocebus_sabaeus ENSCSAG00000002716
papio_anubis ENSPANG00000031950
rhinopithecus_bieti ENSRBIG00000043204
otolemur_garnettii ENSOGAG00000033419
marmota_marmota_marmota ENSMMMG00000009988
colobus_angolensis_palliatus ENSCANG00000036363
rhinopithecus_roxellana ENSRROG00000044647
piliocolobus_tephrosceles ENSPTEG00000024461
mandrillus_leucophaeus ENSMLEG00000038194
cercocebus_atys ENSCATG00000033548
theropithecus_gelada ENSTGEG00000008900
macaca_fascicularis ENSMFAG00000043743
macaca_nemestrina ENSMNEG00000041603
carlito_syrichta ENSTSYG00000004102
castor_canadensis ENSCCNG00000020579
dipodomys_ordii ENSDORG00000001604
mus_spicilegus ENSMSIG00000013104
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000026659
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0015649
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0014845
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0028082
rattus_norvegicus ENSRNOG00000003100
meriones_unguiculatus ENSMUGG00000016726
cricetulus_griseus_crigri-picr ENSCGRG00015006610
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001013172
cricetulus_griseus_crigri_1.0 ENSCGRG00000006397
mesocricetus_auratus ENSMAUG00000010755
microtus_ochrogaster ENSMOCG00000008092
peromyscus_maniculatus_bairdii ENSPEMG00000000877
nannospalax_galili ENSNGAG00000013271
jaculus_jaculus ENSJJAG00000019034
jaculus_jaculus ENSJJAG00000019398
spermophilus_dauricus ENSSDAG00000011998
marmota_marmota_marmota ENSMMMG00000004251
ictidomys_tridecemlineatus ENSSTOG00000025153
urocitellus_parryii ENSUPAG00010019574
chinchilla_lanigera ENSCLAG00000010307
octodon_degus ENSODEG00000008746
cavia_porcellus ENSCPOG00000001290
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100004501
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000019475
fukomys_damarensis ENSFDAG00000006737
tupaia_belangeri ENSTBEG00000015805
capra_hircus ENSCHIG00000026959
ovis_aries ENSOARG00000010315
bos_mutus ENSBMUG00000009505
bos_taurus ENSBTAG00000021754
bison_bison_bison ENSBBBG00000005969
capra_hircus ENSCHIG00000009213
tursiops_truncatus ENSTTRG00000012138
sus_scrofa ENSSSCG00000006347
vicugna_pacos ENSVPAG00000004731
pteropus_vampyrus ENSPVAG00000006393
myotis_lucifugus ENSMLUG00000012791
erinaceus_europaeus ENSEEUG00000011251
ursus_maritimus ENSUMAG00000022871
ursus_americanus ENSUAMG00000019804
ailuropoda_melanoleuca ENSAMEG00000001663
panthera_pardus ENSPPRG00000018306
panthera_tigris_altaica ENSPTIG00000001552
felis_catus ENSFCAG00000008168
mustela_putorius_furo ENSMPUG00000003487
neovison_vison ENSNVIG00000024213
vulpes_vulpes ENSVVUG00000009840
canis_lupus_familiaris ENSCAFG00000013058
canis_lupus_dingo ENSCAFG00020001123
equus_asinus_asinus ENSEASG00005013752
equus_caballus ENSECAG00000021937
echinops_telfairi ENSETEG00000006587
loxodonta_africana ENSLAFG00000005550
choloepus_hoffmanni ENSCHOG00000006519
choloepus_hoffmanni ENSCHOG00000004697
dasypus_novemcinctus ENSDNOG00000008214
notamacropus_eugenii ENSMEUG00000014878
phascolarctos_cinereus ENSPCIG00000016253
sarcophilus_harrisii ENSSHAG00000005185
monodelphis_domestica ENSMODG00000000962
salvator_merianae ENSSMRG00000011206
notechis_scutatus ENSNSUG00000018930
anolis_carolinensis ENSACAG00000008356
sphenodon_punctatus ENSSPUG00000005658
gopherus_agassizii ENSGAGG00000020470
chelonoidis_abingdonii ENSCABG00000018254
chrysemys_picta_bellii ENSCPBG00000001520
pelodiscus_sinensis ENSPSIG00000017446
apteryx_owenii ENSAOWG00000015707
apteryx_haastii ENSAHAG00000006751
apteryx_rowi ENSARWG00000009413
dromaius_novaehollandiae ENSDNVG00000007283
nothoprocta_perdicaria ENSNPEG00000009371
anser_brachyrhynchus ENSABRG00000004073
anas_platyrhynchos_platyrhynchos ENSAPLG00000019619
meleagris_gallopavo ENSMGAG00000014242
coturnix_japonica ENSCJPG00005017176
gallus_gallus ENSGALG00000007084
numida_meleagris ENSNMEG00000016930
junco_hyemalis ENSJHYG00000008837
zonotrichia_albicollis ENSZALG00000018026
serinus_canaria ENSSCAG00000011371
lonchura_striata_domestica ENSLSDG00000006621
lepidothrix_coronata ENSLCOG00000001544
taeniopygia_guttata ENSTGUG00000013360
manacus_vitellinus ENSMVIG00005012058
parus_major ENSPMJG00000010349
cyanistes_caeruleus ENSCCEG00000006124
ficedula_albicollis ENSFALG00000005110
melopsittacus_undulatus ENSMUNG00000003184
calidris_pygmaea ENSCPGG00000007984
calidris_pugnax ENSCPUG00000006074
crocodylus_porosus ENSCPRG00005001452
xenopus_tropicalis ENSXETG00000000786
latimeria_chalumnae ENSLACG00000007360
monopterus_albus ENSMALG00000005588
mastacembelus_armatus ENSMAMG00000012018
anabas_testudineus ENSATEG00000003117
scophthalmus_maximus ENSSMAG00000001443
cynoglossus_semilaevis ENSCSEG00000018154
seriola_dumerili ENSSDUG00000013512
seriola_lalandi_dorsalis ENSSLDG00000022399
xiphophorus_couchianus ENSXCOG00000008032
xiphophorus_maculatus ENSXMAG00000018722
gambusia_affinis ENSGAFG00000006994
poecilia_formosa ENSPFOG00000006822
poecilia_mexicana ENSPMEG00000005509
poecilia_latipinna ENSPLAG00000000480
poecilia_reticulata ENSPREG00000014521
cyprinodon_variegatus ENSCVAG00000017311
fundulus_heteroclitus ENSFHEG00000001434
kryptolebias_marmoratus ENSKMAG00000009384
oryzias_melastigma ENSOMEG00000001839
oryzias_melastigma ENSOMEG00000017380
oryzias_latipes_asm223471v1 ENSORLG00020019670
oryzias_latipes_asm223469v1 ENSORLG00015020469
oryzias_latipes_asm223467v1 ENSORLG00000013816
amphiprion_ocellaris ENSAOCG00000021382
amphiprion_percula ENSAPEG00000010728
acanthochromis_polyacanthus ENSAPOG00000010352
stegastes_partitus ENSSPAG00000006654
neolamprologus_brichardi ENSNBRG00000002213
oreochromis_niloticus ENSONIG00000016579
maylandia_zebra ENSMZEG00005010808
astatotilapia_calliptera ENSACLG00000001272
haplochromis_burtoni ENSHBUG00000019816
pundamilia_nyererei ENSPNYG00000013005
amphilophus_citrinellus ENSACIG00000001051
labrus_bergylta ENSLBEG00000024420
gasterosteus_aculeatus ENSGACG00000014849
mola_mola ENSMMOG00000021547
takifugu_rubripes ENSTRUG00000004164
hippocampus_comes ENSHCOG00000015938
periophthalmus_magnuspinnatus ENSPMGG00000018571
gadus_morhua ENSGMOG00000010376
esox_lucius ENSELUG00000019628
pygocentrus_nattereri ENSPNAG00000003589
astyanax_mexicanus ENSAMXG00000043067
ictalurus_punctatus ENSIPUG00000001438
danio_rerio ENSDARG00000076330
paramormyrops_kingsleyae ENSPKIG00000016247
scleropages_formosus ENSSFOG00015006321
lepisosteus_oculatus ENSLOCG00000001308
eptatretus_burgeri ENSEBUG00000003536
eptatretus_burgeri ENSEBUG00000009527
