esox_lucius ENSELUG00000013036
scleropages_formosus ENSSFOG00015016602
astyanax_mexicanus ENSAMXG00000033487
pygocentrus_nattereri ENSPNAG00000018082
ictalurus_punctatus ENSIPUG00000002794
danio_rerio ENSDARG00000011066
scleropages_formosus ENSSFOG00015019945
paramormyrops_kingsleyae ENSPKIG00000009922
xiphophorus_couchianus ENSXCOG00000010700
xiphophorus_maculatus ENSXMAG00000017591
poecilia_formosa ENSPFOG00000009236
poecilia_mexicana ENSPMEG00000022144
poecilia_latipinna ENSPLAG00000023181
poecilia_reticulata ENSPREG00000004199
gambusia_affinis ENSGAFG00000006629
fundulus_heteroclitus ENSFHEG00000017612
oryzias_latipes_asm223469v1 ENSORLG00015022443
oryzias_latipes_asm223471v1 ENSORLG00020021672
oryzias_melastigma ENSOMEG00000012460
amphiprion_ocellaris ENSAOCG00000002111
amphiprion_percula ENSAPEG00000000328
stegastes_partitus ENSSPAG00000023352
acanthochromis_polyacanthus ENSAPOG00000020408
tetraodon_nigroviridis ENSTNIG00000014110
takifugu_rubripes ENSTRUG00000010176
mola_mola ENSMMOG00000013716
mastacembelus_armatus ENSMAMG00000003626
monopterus_albus ENSMALG00000014423
scophthalmus_maximus ENSSMAG00000012602
anabas_testudineus ENSATEG00000002482
cynoglossus_semilaevis ENSCSEG00000015486
gasterosteus_aculeatus ENSGACG00000016251
hippocampus_comes ENSHCOG00000001778
labrus_bergylta ENSLBEG00000002786
astatotilapia_calliptera ENSACLG00000004651
maylandia_zebra ENSMZEG00005013635
pundamilia_nyererei ENSPNYG00000001287
oreochromis_niloticus ENSONIG00000006745
haplochromis_burtoni ENSHBUG00000002241
cyprinodon_variegatus ENSCVAG00000006462
amphilophus_citrinellus ENSACIG00000006609
seriola_lalandi_dorsalis ENSSLDG00000019421
seriola_dumerili ENSSDUG00000004967
periophthalmus_magnuspinnatus ENSPMGG00000022510
gadus_morhua ENSGMOG00000005468
lepisosteus_oculatus ENSLOCG00000013603
propithecus_coquereli ENSPCOG00000013736
microcebus_murinus ENSMICG00000012219
prolemur_simus ENSPSMG00000020114
otolemur_garnettii ENSOGAG00000015483
cebus_capucinus_imitator ENSCCAG00000023624
callithrix_jacchus ENSCJAG00000005246
saimiri_boliviensis_boliviensis ENSSBOG00000024266
aotus_nancymaae ENSANAG00000021533
pan_troglodytes ENSPTRG00000016607
pan_paniscus ENSPPAG00000036427
gorilla_gorilla ENSGGOG00000006359
homo_sapiens ENSG00000145451
nomascus_leucogenys ENSNLEG00000006711
pongo_abelii ENSPPYG00000015213
rhinopithecus_bieti ENSRBIG00000025644
rhinopithecus_roxellana ENSRROG00000034985
colobus_angolensis_palliatus ENSCANG00000038466
piliocolobus_tephrosceles ENSPTEG00000006826
macaca_mulatta ENSMMUG00000008868
macaca_fascicularis ENSMFAG00000034554
macaca_nemestrina ENSMNEG00000035116
cercocebus_atys ENSCATG00000030144
mandrillus_leucophaeus ENSMLEG00000004316
theropithecus_gelada ENSTGEG00000022378
papio_anubis ENSPANG00000019809
chlorocebus_sabaeus ENSCSAG00000003089
carlito_syrichta ENSTSYG00000002931
castor_canadensis ENSCCNG00000004614
dipodomys_ordii ENSDORG00000015747
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100015672
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000010062
fukomys_damarensis ENSFDAG00000006036
