saimiri_boliviensis_boliviensis ENSSBOG00000029647
cebus_capucinus_imitator ENSCCAG00000032542
callithrix_jacchus ENSCJAG00000047235
aotus_nancymaae ENSANAG00000038423
rhinopithecus_bieti ENSRBIG00000030875
rhinopithecus_roxellana ENSRROG00000028664
piliocolobus_tephrosceles ENSPTEG00000029366
mandrillus_leucophaeus ENSMLEG00000032620
theropithecus_gelada ENSTGEG00000003464
cercocebus_atys ENSCATG00000036676
macaca_nemestrina ENSMNEG00000041489
macaca_fascicularis ENSMFAG00000044888
papio_anubis ENSPANG00000035188
pan_troglodytes ENSPTRG00000050497
gorilla_gorilla ENSGGOG00000038193
carlito_syrichta ENSTSYG00000029033
prolemur_simus ENSPSMG00000014738
microcebus_murinus ENSMICG00000043424
propithecus_coquereli ENSPCOG00000015354
spermophilus_dauricus ENSSDAG00000018998
marmota_marmota_marmota ENSMMMG00000006461
equus_asinus_asinus ENSEASG00005020629
equus_caballus ENSECAG00000029532
vulpes_vulpes ENSVVUG00000009168
canis_lupus_dingo ENSCAFG00020006509
neovison_vison ENSNVIG00000002246
neovison_vison ENSNVIG00000002264
ursus_americanus ENSUAMG00000023312
panthera_pardus ENSPPRG00000020228
felis_catus ENSFCAG00000046371
bos_taurus ENSBTAG00000049318
bison_bison_bison ENSBBBG00000018217
gallus_gallus ENSGALG00000049986
coturnix_japonica ENSCJPG00005007947
anas_platyrhynchos_platyrhynchos ENSAPLG00000020800
apteryx_owenii ENSAOWG00000004594
apteryx_haastii ENSAHAG00000000741
