poecilia_mexicana ENSPMEG00000020151
poecilia_reticulata ENSPREG00000000069
poecilia_latipinna ENSPLAG00000010837
xiphophorus_maculatus ENSXMAG00000028030
xiphophorus_couchianus ENSXCOG00000006848
gambusia_affinis ENSGAFG00000013433
fundulus_heteroclitus ENSFHEG00000004592
oryzias_latipes_asm223467v1 ENSORLG00000024788
oryzias_latipes_asm223469v1 ENSORLG00015010206
oryzias_latipes_asm223471v1 ENSORLG00020010861
oryzias_melastigma ENSOMEG00000020104
amphiprion_percula ENSAPEG00000011756
amphiprion_ocellaris ENSAOCG00000002552
acanthochromis_polyacanthus ENSAPOG00000007335
seriola_dumerili ENSSDUG00000015109
seriola_lalandi_dorsalis ENSSLDG00000016143
scophthalmus_maximus ENSSMAG00000000523
labrus_bergylta ENSLBEG00000008578
