erinaceus_europaeus ENSEEUG00000014940
sorex_araneus ENSSARG00000004006
castor_canadensis ENSCCNG00000020436
dipodomys_ordii ENSDORG00000013261
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001019895
cricetulus_griseus_crigri_1.0 ENSCGRG00000017973
cricetulus_griseus_crigri-picr ENSCGRG00015016251
mesocricetus_auratus ENSMAUG00000004460
peromyscus_maniculatus_bairdii ENSPEMG00000011917
microtus_ochrogaster ENSMOCG00000015066
mus_spicilegus ENSMSIG00000012734
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000005465
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0032405
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0031287
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0022893
rattus_norvegicus ENSRNOG00000005747
meriones_unguiculatus ENSMUGG00000014979
nannospalax_galili ENSNGAG00000012078
jaculus_jaculus ENSJJAG00000016724
chinchilla_lanigera ENSCLAG00000013752
octodon_degus ENSODEG00000009893
cavia_porcellus ENSCPOG00000013567
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100007105
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000008513
ictidomys_tridecemlineatus ENSSTOG00000008690
urocitellus_parryii ENSUPAG00010011800
marmota_marmota_marmota ENSMMMG00000021869
oryctolagus_cuniculus ENSOCUG00000014513
ochotona_princeps ENSOPRG00000007515
pan_paniscus ENSPPAG00000037229
pan_troglodytes ENSPTRG00000010578
homo_sapiens ENSG00000104998
gorilla_gorilla ENSGGOG00000011506
pongo_abelii ENSPPYG00000009633
nomascus_leucogenys ENSNLEG00000013354
theropithecus_gelada ENSTGEG00000006777
papio_anubis ENSPANG00000015627
cercocebus_atys ENSCATG00000041637
macaca_fascicularis ENSMFAG00000038013
macaca_mulatta ENSMMUG00000013538
macaca_nemestrina ENSMNEG00000044658
chlorocebus_sabaeus ENSCSAG00000006388
rhinopithecus_bieti ENSRBIG00000030882
rhinopithecus_roxellana ENSRROG00000036450
colobus_angolensis_palliatus ENSCANG00000036227
saimiri_boliviensis_boliviensis ENSSBOG00000034131
cebus_capucinus_imitator ENSCCAG00000025599
callithrix_jacchus ENSCJAG00000004940
aotus_nancymaae ENSANAG00000028857
carlito_syrichta ENSTSYG00000014774
prolemur_simus ENSPSMG00000000656
propithecus_coquereli ENSPCOG00000022860
microcebus_murinus ENSMICG00000003469
otolemur_garnettii ENSOGAG00000002458
bos_mutus ENSBMUG00000018770
bos_taurus ENSBTAG00000016933
bison_bison_bison ENSBBBG00000005137
ovis_aries ENSOARG00000006830
capra_hircus ENSCHIG00000014900
tursiops_truncatus ENSTTRG00000002372
vicugna_pacos ENSVPAG00000003574
sus_scrofa ENSSSCG00000013766
ursus_americanus ENSUAMG00000007215
ursus_maritimus ENSUMAG00000004578
ailuropoda_melanoleuca ENSAMEG00000013118
mustela_putorius_furo ENSMPUG00000003119
neovison_vison ENSNVIG00000006724
canis_lupus_dingo ENSCAFG00020006884
canis_lupus_familiaris ENSCAFG00000016504
vulpes_vulpes ENSVVUG00000026768
panthera_pardus ENSPPRG00000013931
felis_catus ENSFCAG00000003723
pteropus_vampyrus ENSPVAG00000017552
myotis_lucifugus ENSMLUG00000013014
equus_caballus ENSECAG00000011964
equus_asinus_asinus ENSEASG00005015299
loxodonta_africana ENSLAFG00000005271
procavia_capensis ENSPCAG00000001437
echinops_telfairi ENSETEG00000014302
dasypus_novemcinctus ENSDNOG00000032187
phascolarctos_cinereus ENSPCIG00000029770
notamacropus_eugenii ENSMEUG00000009051
sarcophilus_harrisii ENSSHAG00000009701
