ornithorhynchus_anatinus ENSOANG00000014327
anolis_carolinensis ENSACAG00000023286
gopherus_agassizii ENSGAGG00000023502
chelonoidis_abingdonii ENSCABG00000016337
chrysemys_picta_bellii ENSCPBG00000022364
pogona_vitticeps ENSPVIG00000021146
notechis_scutatus ENSNSUG00000019107
salvator_merianae ENSSMRG00000012422
loxodonta_africana ENSLAFG00000013981
procavia_capensis ENSPCAG00000002941
echinops_telfairi ENSETEG00000019169
dasypus_novemcinctus ENSDNOG00000042278
choloepus_hoffmanni ENSCHOG00000001094
ailuropoda_melanoleuca ENSAMEG00000002965
ursus_maritimus ENSUMAG00000013749
neovison_vison ENSNVIG00000006437
mustela_putorius_furo ENSMPUG00000006412
canis_lupus_dingo ENSCAFG00020008070
canis_lupus_familiaris ENSCAFG00000029797
vulpes_vulpes ENSVVUG00000029476
felis_catus ENSFCAG00000028964
panthera_pardus ENSPPRG00000010857
erinaceus_europaeus ENSEEUG00000013612
tursiops_truncatus ENSTTRG00000013829
sus_scrofa ENSSSCG00000005087
bos_mutus ENSBMUG00000025228
bos_taurus ENSBTAG00000012139
bison_bison_bison ENSBBBG00000020577
capra_hircus ENSCHIG00000024896
ovis_aries ENSOARG00000021129
myotis_lucifugus ENSMLUG00000002337
pteropus_vampyrus ENSPVAG00000015306
equus_caballus ENSECAG00000022919
equus_asinus_asinus ENSEASG00005016129
sorex_araneus ENSSARG00000013256
meriones_unguiculatus ENSMUGG00000019571
cavia_aperea ENSCAPG00000014446
cricetulus_griseus_crigri_1.0 ENSCGRG00000005192
cricetulus_griseus_crigri-picr ENSCGRG00015027031
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001016794
mesocricetus_auratus ENSMAUG00000018841
peromyscus_maniculatus_bairdii ENSPEMG00000023303
microtus_ochrogaster ENSMOCG00000000863
mus_spicilegus ENSMSIG00000024807
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0018687
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000051367
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0017840
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0029598
rattus_norvegicus ENSRNOG00000022777
