aotus_nancymaae ENSANAG00000036666
saimiri_boliviensis_boliviensis ENSSBOG00000011388
theropithecus_gelada ENSTGEG00000018305
piliocolobus_tephrosceles ENSPTEG00000026689
cercocebus_atys ENSCATG00000012343
mandrillus_leucophaeus ENSMLEG00000033160
theropithecus_gelada ENSTGEG00000018271
chlorocebus_sabaeus ENSCSAG00000000043
piliocolobus_tephrosceles ENSPTEG00000026730
colobus_angolensis_palliatus ENSCANG00000037543
pan_paniscus ENSPPAG00000020303
pan_troglodytes ENSPTRG00000001337
homo_sapiens ENSG00000163209
gorilla_gorilla ENSGGOG00000006640
pongo_abelii ENSPPYG00000000825
callithrix_jacchus ENSCJAG00000012049
carlito_syrichta ENSTSYG00000036911
microtus_ochrogaster ENSMOCG00000017780
peromyscus_maniculatus_bairdii ENSPEMG00000009049
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001001177
cricetulus_griseus_crigri_1.0 ENSCGRG00000001570
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000045539
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0026212
mus_spicilegus ENSMSIG00000012457
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025266
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0026712
rattus_norvegicus ENSRNOG00000024046
nannospalax_galili ENSNGAG00000020483
urocitellus_parryii ENSUPAG00010016608
spermophilus_dauricus ENSSDAG00000002132
urocitellus_parryii ENSUPAG00010016599
marmota_marmota_marmota ENSMMMG00000018184
chinchilla_lanigera ENSCLAG00000003405
prolemur_simus ENSPSMG00000000307
ochotona_princeps ENSOPRG00000009948
vulpes_vulpes ENSVVUG00000015763
sorex_araneus ENSSARG00000009870
bison_bison_bison ENSBBBG00000003062
