marmota_marmota_marmota ENSMMMG00000000472
ictidomys_tridecemlineatus ENSSTOG00000032830
octodon_degus ENSODEG00000008949
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100008709
cavia_porcellus ENSCPOG00000030066
cavia_aperea ENSCAPG00000005745
peromyscus_maniculatus_bairdii ENSPEMG00000026243
peromyscus_maniculatus_bairdii ENSPEMG00000025297
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001014630
cricetulus_griseus_crigri-picr ENSCGRG00015005391
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000054938
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0030228
mus_spicilegus ENSMSIG00000000686
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0029167
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0021036
rattus_norvegicus ENSRNOG00000015289
meriones_unguiculatus ENSMUGG00000004230
ursus_americanus ENSUAMG00000017745
ursus_maritimus ENSUMAG00000004265
neovison_vison ENSNVIG00000012969
mustela_putorius_furo ENSMPUG00000020185
sus_scrofa ENSSSCG00000039565
bos_taurus ENSBTAG00000054360
equus_caballus ENSECAG00000029579
equus_asinus_asinus ENSEASG00005020448
loxodonta_africana ENSLAFG00000030037
echinops_telfairi ENSETEG00000009024
oryctolagus_cuniculus ENSOCUG00000025583
dasypus_novemcinctus ENSDNOG00000045012
choloepus_hoffmanni ENSCHOG00000006085
