carlito_syrichta ENSTSYG00000003459
tupaia_belangeri ENSTBEG00000006371
otolemur_garnettii ENSOGAG00000006252
peromyscus_maniculatus_bairdii ENSPEMG00000028468
cricetulus_griseus_crigri-picr ENSCGRG00015025115
castor_canadensis ENSCCNG00000011381
marmota_marmota_marmota ENSMMMG00000024653
urocitellus_parryii ENSUPAG00010011722
spermophilus_dauricus ENSSDAG00000003681
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000000397
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100004718
propithecus_coquereli ENSPCOG00000020300
prolemur_simus ENSPSMG00000005939
microcebus_murinus ENSMICG00000009734
pan_paniscus ENSPPAG00000038371
pan_troglodytes ENSPTRG00000021630
homo_sapiens ENSG00000205667
gorilla_gorilla ENSGGOG00000013050
pongo_abelii ENSPPYG00000020095
nomascus_leucogenys ENSNLEG00000030550
colobus_angolensis_palliatus ENSCANG00000034446
piliocolobus_tephrosceles ENSPTEG00000002727
rhinopithecus_bieti ENSRBIG00000035279
rhinopithecus_roxellana ENSRROG00000039400
macaca_nemestrina ENSMNEG00000043860
macaca_fascicularis ENSMFAG00000033934
macaca_mulatta ENSMMUG00000043795
cercocebus_atys ENSCATG00000035369
mandrillus_leucophaeus ENSMLEG00000011210
papio_anubis ENSPANG00000005367
theropithecus_gelada ENSTGEG00000012603
chlorocebus_sabaeus ENSCSAG00000015609
cebus_capucinus_imitator ENSCCAG00000024361
callithrix_jacchus ENSCJAG00000015803
saimiri_boliviensis_boliviensis ENSSBOG00000018987
aotus_nancymaae ENSANAG00000029409
equus_caballus ENSECAG00000012190
equus_asinus_asinus ENSEASG00005018718
capra_hircus ENSCHIG00000021448
ovis_aries ENSOARG00000008660
bos_taurus ENSBTAG00000047161
bos_mutus ENSBMUG00000026656
bison_bison_bison ENSBBBG00000003630
ursus_americanus ENSUAMG00000025923
ursus_maritimus ENSUMAG00000019112
ailuropoda_melanoleuca ENSAMEG00000005400
neovison_vison ENSNVIG00000014924
mustela_putorius_furo ENSMPUG00000001111
canis_lupus_dingo ENSCAFG00020001647
canis_lupus_familiaris ENSCAFG00000024515
vulpes_vulpes ENSVVUG00000007784
panthera_tigris_altaica ENSPTIG00000005340
panthera_pardus ENSPPRG00000022385
felis_catus ENSFCAG00000029487
myotis_lucifugus ENSMLUG00000026044
pteropus_vampyrus ENSPVAG00000016527
loxodonta_africana ENSLAFG00000023063
dasypus_novemcinctus ENSDNOG00000035105
choloepus_hoffmanni ENSCHOG00000005283
sarcophilus_harrisii ENSSHAG00000008305
monodelphis_domestica ENSMODG00000000036
phascolarctos_cinereus ENSPCIG00000003397
notamacropus_eugenii ENSMEUG00000004353
ornithorhynchus_anatinus ENSOANG00000004042
phascolarctos_cinereus ENSPCIG00000003430
notamacropus_eugenii ENSMEUG00000000427
monodelphis_domestica ENSMODG00000000044
microcebus_murinus ENSMICG00000005658
loxodonta_africana ENSLAFG00000002925
dasypus_novemcinctus ENSDNOG00000044124
ornithorhynchus_anatinus ENSOANG00000004043
