cyanistes_caeruleus ENSCCEG00000005424
meleagris_gallopavo ENSMGAG00000006395
serinus_canaria ENSSCAG00000015716
nothoprocta_perdicaria ENSNPEG00000011452
monodelphis_domestica ENSMODG00000003263
sarcophilus_harrisii ENSSHAG00000010359
phascolarctos_cinereus ENSPCIG00000012289
notamacropus_eugenii ENSMEUG00000007752
propithecus_coquereli ENSPCOG00000014383
prolemur_simus ENSPSMG00000025493
microcebus_murinus ENSMICG00000037741
otolemur_garnettii ENSOGAG00000014301
homo_sapiens ENSG00000285188
homo_sapiens ENSG00000105650
gorilla_gorilla ENSGGOG00000010732
pan_troglodytes ENSPTRG00000010699
pan_paniscus ENSPPAG00000032992
pongo_abelii ENSPPYG00000009734
nomascus_leucogenys ENSNLEG00000005948
papio_anubis ENSPANG00000004911
theropithecus_gelada ENSTGEG00000014012
macaca_mulatta ENSMMUG00000005028
macaca_fascicularis ENSMFAG00000041375
mandrillus_leucophaeus ENSMLEG00000043449
macaca_nemestrina ENSMNEG00000018173
cercocebus_atys ENSCATG00000021874
chlorocebus_sabaeus ENSCSAG00000005377
piliocolobus_tephrosceles ENSPTEG00000030430
colobus_angolensis_palliatus ENSCANG00000030764
rhinopithecus_roxellana ENSRROG00000035958
rhinopithecus_bieti ENSRBIG00000028744
saimiri_boliviensis_boliviensis ENSSBOG00000030911
cebus_capucinus_imitator ENSCCAG00000034162
aotus_nancymaae ENSANAG00000020146
ovis_aries ENSOARG00000012952
capra_hircus ENSCHIG00000020852
bos_mutus ENSBMUG00000012275
bos_taurus ENSBTAG00000010652
bison_bison_bison ENSBBBG00000001877
tursiops_truncatus ENSTTRG00000012390
sus_scrofa ENSSSCG00000036363
canis_lupus_familiaris ENSCAFG00000014928
canis_lupus_dingo ENSCAFG00020012094
vulpes_vulpes ENSVVUG00000008178
neovison_vison ENSNVIG00000017617
mustela_putorius_furo ENSMPUG00000015593
ursus_maritimus ENSUMAG00000009070
ursus_americanus ENSUAMG00000027398
ailuropoda_melanoleuca ENSAMEG00000011097
panthera_pardus ENSPPRG00000004111
panthera_tigris_altaica ENSPTIG00000005389
felis_catus ENSFCAG00000007525
equus_asinus_asinus ENSEASG00005006231
equus_caballus ENSECAG00000008059
myotis_lucifugus ENSMLUG00000003985
pteropus_vampyrus ENSPVAG00000015387
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0032280
mus_spicilegus ENSMSIG00000032074
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000031842
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0031162
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0021627
rattus_norvegicus ENSRNOG00000019518
meriones_unguiculatus ENSMUGG00000013884
cricetulus_griseus_crigri-picr ENSCGRG00015000996
cricetulus_griseus_crigri_1.0 ENSCGRG00000012593
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001018842
mesocricetus_auratus ENSMAUG00000016880
microtus_ochrogaster ENSMOCG00000015883
peromyscus_maniculatus_bairdii ENSPEMG00000008172
nannospalax_galili ENSNGAG00000004214
chinchilla_lanigera ENSCLAG00000016330
octodon_degus ENSODEG00000013172
cavia_porcellus ENSCPOG00000030930
cavia_aperea ENSCAPG00000009302
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000002262
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100007983
fukomys_damarensis ENSFDAG00000018931
castor_canadensis ENSCCNG00000026297
urocitellus_parryii ENSUPAG00010018713
ictidomys_tridecemlineatus ENSSTOG00000000320
marmota_marmota_marmota ENSMMMG00000001307
spermophilus_dauricus ENSSDAG00000010062
marmota_marmota_marmota ENSMMMG00000001318
marmota_marmota_marmota ENSMMMG00000001654
callithrix_jacchus ENSCJAG00000042536
canis_lupus_dingo ENSCAFG00020012098
loxodonta_africana ENSLAFG00000013627
procavia_capensis ENSPCAG00000012563
echinops_telfairi ENSETEG00000010886
choloepus_hoffmanni ENSCHOG00000005687
sorex_araneus ENSSARG00000001992
