cyprinodon_variegatus ENSCVAG00000011876
amphiprion_percula ENSAPEG00000006915
amphiprion_ocellaris ENSAOCG00000005163
amphiprion_percula ENSAPEG00000019241
amphiprion_ocellaris ENSAOCG00000021323
oryzias_melastigma ENSOMEG00000019492
oryzias_latipes_asm223469v1 ENSORLG00015013284
oryzias_latipes_asm223469v1 ENSORLG00015013308
oryzias_latipes_asm223467v1 ENSORLG00000026735
oryzias_latipes_asm223467v1 ENSORLG00000023947
neolamprologus_brichardi ENSNBRG00000005138
scophthalmus_maximus ENSSMAG00000014458
fundulus_heteroclitus ENSFHEG00000007813
seriola_lalandi_dorsalis ENSSLDG00000005599
seriola_lalandi_dorsalis ENSSLDG00000008920
periophthalmus_magnuspinnatus ENSPMGG00000017779
ictalurus_punctatus ENSIPUG00000020342
petromyzon_marinus ENSPMAG00000009998
