gorilla_gorilla ENSGGOG00000015205
homo_sapiens ENSG00000102924
pan_paniscus ENSPPAG00000037058
pan_troglodytes ENSPTRG00000008097
pongo_abelii ENSPPYG00000007331
nomascus_leucogenys ENSNLEG00000000675
rhinopithecus_bieti ENSRBIG00000033856
rhinopithecus_roxellana ENSRROG00000043123
colobus_angolensis_palliatus ENSCANG00000039074
piliocolobus_tephrosceles ENSPTEG00000017718
macaca_mulatta ENSMMUG00000022217
macaca_fascicularis ENSMFAG00000003677
macaca_nemestrina ENSMNEG00000039224
papio_anubis ENSPANG00000009450
theropithecus_gelada ENSTGEG00000019736
chlorocebus_sabaeus ENSCSAG00000005415
mandrillus_leucophaeus ENSMLEG00000002999
cercocebus_atys ENSCATG00000042192
saimiri_boliviensis_boliviensis ENSSBOG00000028668
cebus_capucinus_imitator ENSCCAG00000023628
callithrix_jacchus ENSCJAG00000012660
aotus_nancymaae ENSANAG00000027421
propithecus_coquereli ENSPCOG00000016497
microcebus_murinus ENSMICG00000032478
castor_canadensis ENSCCNG00000029515
dipodomys_ordii ENSDORG00000025356
tupaia_belangeri ENSTBEG00000013391
bos_mutus ENSBMUG00000024693
bos_taurus ENSBTAG00000015194
bison_bison_bison ENSBBBG00000017429
capra_hircus ENSCHIG00000016657
ovis_aries ENSOARG00000016998
sus_scrofa ENSSSCG00000040652
tursiops_truncatus ENSTTRG00000000174
vicugna_pacos ENSVPAG00000010193
ursus_americanus ENSUAMG00000023625
ailuropoda_melanoleuca ENSAMEG00000006468
neovison_vison ENSNVIG00000018559
mustela_putorius_furo ENSMPUG00000003041
canis_lupus_dingo ENSCAFG00020000480
canis_lupus_familiaris ENSCAFG00000010008
vulpes_vulpes ENSVVUG00000018057
panthera_pardus ENSPPRG00000016053
panthera_tigris_altaica ENSPTIG00000012479
felis_catus ENSFCAG00000028536
equus_asinus_asinus ENSEASG00005014536
equus_caballus ENSECAG00000000034
pteropus_vampyrus ENSPVAG00000006714
myotis_lucifugus ENSMLUG00000026196
spermophilus_dauricus ENSSDAG00000015074
ictidomys_tridecemlineatus ENSSTOG00000027557
urocitellus_parryii ENSUPAG00010005237
marmota_marmota_marmota ENSMMMG00000014438
chinchilla_lanigera ENSCLAG00000014044
cavia_porcellus ENSCPOG00000035039
octodon_degus ENSODEG00000001925
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000008634
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100011901
fukomys_damarensis ENSFDAG00000007145
prolemur_simus ENSPSMG00000021024
ursus_maritimus ENSUMAG00000006680
erinaceus_europaeus ENSEEUG00000003613
mus_spicilegus ENSMSIG00000014701
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000031654
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0032468
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0031350
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0022951
rattus_norvegicus ENSRNOG00000000010
meriones_unguiculatus ENSMUGG00000004997
cricetulus_griseus_crigri-picr ENSCGRG00015027050
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001018308
cricetulus_griseus_crigri_1.0 ENSCGRG00000016443
mesocricetus_auratus ENSMAUG00000020791
peromyscus_maniculatus_bairdii ENSPEMG00000029511
microtus_ochrogaster ENSMOCG00000003934
nannospalax_galili ENSNGAG00000012727
jaculus_jaculus ENSJJAG00000021584
otolemur_garnettii ENSOGAG00000026093
sorex_araneus ENSSARG00000006077
carlito_syrichta ENSTSYG00000029824
oryctolagus_cuniculus ENSOCUG00000000990
loxodonta_africana ENSLAFG00000026685
procavia_capensis ENSPCAG00000014149
echinops_telfairi ENSETEG00000000157
dasypus_novemcinctus ENSDNOG00000045061
phascolarctos_cinereus ENSPCIG00000031036
notamacropus_eugenii ENSMEUG00000015342
sarcophilus_harrisii ENSSHAG00000017935
monodelphis_domestica ENSMODG00000012983
ornithorhynchus_anatinus ENSOANG00000000583
gallus_gallus ENSGALG00000042664
coturnix_japonica ENSCJPG00005014363
numida_meleagris ENSNMEG00000018362
anser_brachyrhynchus ENSABRG00000002207
junco_hyemalis ENSJHYG00000013057
zonotrichia_albicollis ENSZALG00000008403
parus_major ENSPMJG00000002660
lepidothrix_coronata ENSLCOG00000014300
calidris_pugnax ENSCPUG00000013245
calidris_pygmaea ENSCPGG00000000813
lonchura_striata_domestica ENSLSDG00000008579
ficedula_albicollis ENSFALG00000000098
dromaius_novaehollandiae ENSDNVG00000016988
nothoprocta_perdicaria ENSNPEG00000004671
crocodylus_porosus ENSCPRG00005003876
gopherus_agassizii ENSGAGG00000001314
chelonoidis_abingdonii ENSCABG00000015269
chrysemys_picta_bellii ENSCPBG00000016000
pelodiscus_sinensis ENSPSIG00000011197
pogona_vitticeps ENSPVIG00000008284
notechis_scutatus ENSNSUG00000010659
salvator_merianae ENSSMRG00000005135
anolis_carolinensis ENSACAG00000006094
latimeria_chalumnae ENSLACG00000015579
xenopus_tropicalis ENSXETG00000012950
latimeria_chalumnae ENSLACG00000008352
pygocentrus_nattereri ENSPNAG00000003394
astyanax_mexicanus ENSAMXG00000041854
ictalurus_punctatus ENSIPUG00000020331
danio_rerio ENSDARG00000057296
esox_lucius ENSELUG00000015203
cynoglossus_semilaevis ENSCSEG00000021543
periophthalmus_magnuspinnatus ENSPMGG00000002174
hippocampus_comes ENSHCOG00000016272
scophthalmus_maximus ENSSMAG00000014226
takifugu_rubripes ENSTRUG00000019619
tetraodon_nigroviridis ENSTNIG00000004979
pundamilia_nyererei ENSPNYG00000002992
seriola_dumerili ENSSDUG00000021395
seriola_lalandi_dorsalis ENSSLDG00000005051
monopterus_albus ENSMALG00000008326
labrus_bergylta ENSLBEG00000004530
mola_mola ENSMMOG00000002614
mastacembelus_armatus ENSMAMG00000016734
amphiprion_ocellaris ENSAOCG00000010945
amphiprion_percula ENSAPEG00000022622
acanthochromis_polyacanthus ENSAPOG00000019443
stegastes_partitus ENSSPAG00000009280
astatotilapia_calliptera ENSACLG00000014806
maylandia_zebra ENSMZEG00005016145
haplochromis_burtoni ENSHBUG00000000648
pundamilia_nyererei ENSPNYG00000023301
neolamprologus_brichardi ENSNBRG00000019574
oreochromis_niloticus ENSONIG00000007366
amphilophus_citrinellus ENSACIG00000016213
poecilia_formosa ENSPFOG00000022214
poecilia_latipinna ENSPLAG00000016360
poecilia_mexicana ENSPMEG00000015022
poecilia_reticulata ENSPREG00000018926
xiphophorus_maculatus ENSXMAG00000022295
xiphophorus_couchianus ENSXCOG00000007442
gambusia_affinis ENSGAFG00000015061
fundulus_heteroclitus ENSFHEG00000010284
cyprinodon_variegatus ENSCVAG00000013930
kryptolebias_marmoratus ENSKMAG00000003727
oryzias_latipes_asm223467v1 ENSORLG00000013593
oryzias_latipes_asm223471v1 ENSORLG00020017116
oryzias_latipes_asm223469v1 ENSORLG00015007368
oryzias_melastigma ENSOMEG00000014702
anabas_testudineus ENSATEG00000013261
gadus_morhua ENSGMOG00000012909
paramormyrops_kingsleyae ENSPKIG00000002929
paramormyrops_kingsleyae ENSPKIG00000021941
scleropages_formosus ENSSFOG00015012728
lepisosteus_oculatus ENSLOCG00000007512
eptatretus_burgeri ENSEBUG00000004966
eptatretus_burgeri ENSEBUG00000007753
eptatretus_burgeri ENSEBUG00000002607
