mus_musculus_strain_reference_cl57bl6 ENSMUSG00000070943
mus_spicilegus ENSMSIG00000001333
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0024425
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0023505
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0024960
rattus_norvegicus ENSRNOG00000007962
meriones_unguiculatus ENSMUGG00000002721
cricetulus_griseus_crigri_1.0 ENSCGRG00000005749
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001002375
peromyscus_maniculatus_bairdii ENSPEMG00000024654
marmota_marmota_marmota ENSMMMG00000018559
oryctolagus_cuniculus ENSOCUG00000025208
bos_taurus ENSBTAG00000020660
bison_bison_bison ENSBBBG00000020312
capra_hircus ENSCHIG00000016694
sus_scrofa ENSSSCG00000040530
sus_scrofa ENSSSCG00000005555
ursus_americanus ENSUAMG00000005130
ursus_maritimus ENSUMAG00000003359
ailuropoda_melanoleuca ENSAMEG00000018643
panthera_pardus ENSPPRG00000011440
felis_catus ENSFCAG00000028014
equus_asinus_asinus ENSEASG00005021024
equus_caballus ENSECAG00000005623
equus_caballus ENSECAG00000003270
microcebus_murinus ENSMICG00000033883
otolemur_garnettii ENSOGAG00000030273
loxodonta_africana ENSLAFG00000029288
notamacropus_eugenii ENSMEUG00000006185
monodelphis_domestica ENSMODG00000019703
