numida_meleagris ENSNMEG00000021759
coturnix_japonica ENSCJPG00005000712
anser_brachyrhynchus ENSABRG00000016489
serinus_canaria ENSSCAG00000010543
dromaius_novaehollandiae ENSDNVG00000007036
apteryx_rowi ENSARWG00000006510
neovison_vison ENSNVIG00000022894
canis_lupus_familiaris ENSCAFG00000031670
panthera_pardus ENSPPRG00000007471
panthera_tigris_altaica ENSPTIG00000007551
sus_scrofa ENSSSCG00000038890
bison_bison_bison ENSBBBG00000018599
bos_mutus ENSBMUG00000023877
canis_lupus_dingo ENSCAFG00020005400
pan_troglodytes ENSPTRG00000046070
pan_paniscus ENSPPAG00000028428
homo_sapiens ENSG00000248771
gorilla_gorilla ENSGGOG00000039468
nomascus_leucogenys ENSNLEG00000036078
rhinopithecus_roxellana ENSRROG00000042199
rhinopithecus_bieti ENSRBIG00000038895
piliocolobus_tephrosceles ENSPTEG00000035566
colobus_angolensis_palliatus ENSCANG00000034349
macaca_fascicularis ENSMFAG00000031722
macaca_nemestrina ENSMNEG00000028811
theropithecus_gelada ENSTGEG00000019027
cercocebus_atys ENSCATG00000013550
papio_anubis ENSPANG00000029574
chlorocebus_sabaeus ENSCSAG00000003186
saimiri_boliviensis_boliviensis ENSSBOG00000024620
callithrix_jacchus ENSCJAG00000043535
cebus_capucinus_imitator ENSCCAG00000022798
aotus_nancymaae ENSANAG00000022705
carlito_syrichta ENSTSYG00000029379
propithecus_coquereli ENSPCOG00000016981
microcebus_murinus ENSMICG00000046980
prolemur_simus ENSPSMG00000016007
ictidomys_tridecemlineatus ENSSTOG00000030605
spermophilus_dauricus ENSSDAG00000011485
urocitellus_parryii ENSUPAG00010014544
marmota_marmota_marmota ENSMMMG00000015309
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000074300
mus_spicilegus ENSMSIG00000016375
rattus_norvegicus ENSRNOG00000057966
meriones_unguiculatus ENSMUGG00000010746
peromyscus_maniculatus_bairdii ENSPEMG00000000281
microtus_ochrogaster ENSMOCG00000000768
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001010073
cricetulus_griseus_crigri-picr ENSCGRG00015003872
cricetulus_griseus_crigri_1.0 ENSCGRG00000003102
mesocricetus_auratus ENSMAUG00000011274
dipodomys_ordii ENSDORG00000027013
phascolarctos_cinereus ENSPCIG00000035462
sphenodon_punctatus ENSSPUG00000003958
pogona_vitticeps ENSPVIG00000018865
gopherus_agassizii ENSGAGG00000006735
scleropages_formosus ENSSFOG00015014163
