gambusia_affinis ENSGAFG00000018317
xiphophorus_maculatus ENSXMAG00000009521
poecilia_formosa ENSPFOG00000016133
poecilia_formosa ENSPFOG00000016126
poecilia_reticulata ENSPREG00000011737
xiphophorus_couchianus ENSXCOG00000014919
oryzias_latipes_asm223467v1 ENSORLG00000029411
oryzias_latipes_asm223471v1 ENSORLG00020019032
scophthalmus_maximus ENSSMAG00000000091
poecilia_latipinna ENSPLAG00000010809
poecilia_latipinna ENSPLAG00000004632
cyprinodon_variegatus ENSCVAG00000006883
fundulus_heteroclitus ENSFHEG00000014995
oryzias_melastigma ENSOMEG00000011104
seriola_lalandi_dorsalis ENSSLDG00000011796
anabas_testudineus ENSATEG00000013093
amphilophus_citrinellus ENSACIG00000016773
seriola_lalandi_dorsalis ENSSLDG00000011807
seriola_dumerili ENSSDUG00000006667
labrus_bergylta ENSLBEG00000001182
mastacembelus_armatus ENSMAMG00000009402
monopterus_albus ENSMALG00000016471
amphiprion_ocellaris ENSAOCG00000002132
amphiprion_ocellaris ENSAOCG00000007200
amphiprion_percula ENSAPEG00000015073
amphiprion_ocellaris ENSAOCG00000021238
amphiprion_percula ENSAPEG00000018543
acanthochromis_polyacanthus ENSAPOG00000014182
stegastes_partitus ENSSPAG00000008146
stegastes_partitus ENSSPAG00000018363
stegastes_partitus ENSSPAG00000018350
oryzias_latipes_asm223469v1 ENSORLG00015017470
periophthalmus_magnuspinnatus ENSPMGG00000012100
gasterosteus_aculeatus ENSGACG00000018828
seriola_lalandi_dorsalis ENSSLDG00000011782
gadus_morhua ENSGMOG00000018255
