marmota_marmota_marmota ENSMMMG00000003417
urocitellus_parryii ENSUPAG00010004279
spermophilus_dauricus ENSSDAG00000021487
dipodomys_ordii ENSDORG00000000395
meriones_unguiculatus ENSMUGG00000023335
cavia_porcellus ENSCPOG00000038064
octodon_degus ENSODEG00000011346
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000017855
fukomys_damarensis ENSFDAG00000005784
neovison_vison ENSNVIG00000007818
loxodonta_africana ENSLAFG00000029531
ornithorhynchus_anatinus ENSOANG00000002502
chelonoidis_abingdonii ENSCABG00000020514
gopherus_agassizii ENSGAGG00000004935
