maylandia_zebra ENSMZEG00005002507
astatotilapia_calliptera ENSACLG00000009010
haplochromis_burtoni ENSHBUG00000018983
pundamilia_nyererei ENSPNYG00000006541
neolamprologus_brichardi ENSNBRG00000012587
oreochromis_niloticus ENSONIG00000004312
scophthalmus_maximus ENSSMAG00000006603
mola_mola ENSMMOG00000005612
takifugu_rubripes ENSTRUG00000020076
amphiprion_percula ENSAPEG00000010942
amphiprion_ocellaris ENSAOCG00000012333
acanthochromis_polyacanthus ENSAPOG00000024519
stegastes_partitus ENSSPAG00000022794
amphilophus_citrinellus ENSACIG00000014142
monopterus_albus ENSMALG00000018422
mastacembelus_armatus ENSMAMG00000015018
anabas_testudineus ENSATEG00000003766
seriola_dumerili ENSSDUG00000011923
seriola_lalandi_dorsalis ENSSLDG00000022002
labrus_bergylta ENSLBEG00000021136
xiphophorus_maculatus ENSXMAG00000023956
xiphophorus_couchianus ENSXCOG00000014436
gambusia_affinis ENSGAFG00000016183
poecilia_formosa ENSPFOG00000023192
poecilia_latipinna ENSPLAG00000020055
poecilia_mexicana ENSPMEG00000008239
poecilia_reticulata ENSPREG00000014909
fundulus_heteroclitus ENSFHEG00000007235
cyprinodon_variegatus ENSCVAG00000013271
kryptolebias_marmoratus ENSKMAG00000015939
oryzias_latipes_asm223471v1 ENSORLG00020009402
oryzias_latipes_asm223467v1 ENSORLG00000020437
oryzias_latipes_asm223469v1 ENSORLG00015006055
oryzias_melastigma ENSOMEG00000014383
cynoglossus_semilaevis ENSCSEG00000013356
hippocampus_comes ENSHCOG00000009781
periophthalmus_magnuspinnatus ENSPMGG00000017416
esox_lucius ENSELUG00000014510
astyanax_mexicanus ENSAMXG00000014664
pygocentrus_nattereri ENSPNAG00000024981
ictalurus_punctatus ENSIPUG00000023796
danio_rerio ENSDARG00000043566
scleropages_formosus ENSSFOG00015014189
paramormyrops_kingsleyae ENSPKIG00000013402
lepisosteus_oculatus ENSLOCG00000008667
pan_paniscus ENSPPAG00000041302
pan_troglodytes ENSPTRG00000015225
gorilla_gorilla ENSGGOG00000009273
homo_sapiens ENSG00000163608
pongo_abelii ENSPPYG00000013542
nomascus_leucogenys ENSNLEG00000028945
colobus_angolensis_palliatus ENSCANG00000024722
piliocolobus_tephrosceles ENSPTEG00000023463
rhinopithecus_roxellana ENSRROG00000030295
rhinopithecus_bieti ENSRBIG00000044926
theropithecus_gelada ENSTGEG00000002802
papio_anubis ENSPANG00000006295
mandrillus_leucophaeus ENSMLEG00000038254
cercocebus_atys ENSCATG00000033392
chlorocebus_sabaeus ENSCSAG00000006672
macaca_fascicularis ENSMFAG00000000372
macaca_mulatta ENSMMUG00000014876
macaca_nemestrina ENSMNEG00000042019
saimiri_boliviensis_boliviensis ENSSBOG00000026582
cebus_capucinus_imitator ENSCCAG00000001192
callithrix_jacchus ENSCJAG00000020314
aotus_nancymaae ENSANAG00000027768
carlito_syrichta ENSTSYG00000008332
prolemur_simus ENSPSMG00000014508
microcebus_murinus ENSMICG00000048965
otolemur_garnettii ENSOGAG00000003001
tupaia_belangeri ENSTBEG00000006225
mus_spicilegus ENSMSIG00000003236
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0021668
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000036208
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0020769
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0016469
rattus_norvegicus ENSRNOG00000013721
meriones_unguiculatus ENSMUGG00000024364
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001023754
cricetulus_griseus_crigri-picr ENSCGRG00015015043
cricetulus_griseus_crigri_1.0 ENSCGRG00000003418
peromyscus_maniculatus_bairdii ENSPEMG00000028975
microtus_ochrogaster ENSMOCG00000019289
