crocodylus_porosus ENSCPRG00005013830
cyanistes_caeruleus ENSCCEG00000005558
pogona_vitticeps ENSPVIG00000001031
anolis_carolinensis ENSACAG00000017909
zonotrichia_albicollis ENSZALG00000017704
junco_hyemalis ENSJHYG00000012607
ficedula_albicollis ENSFALG00000003158
serinus_canaria ENSSCAG00000016107
manacus_vitellinus ENSMVIG00005001538
parus_major ENSPMJG00000018525
melopsittacus_undulatus ENSMUNG00000007893
gallus_gallus ENSGALG00000037272
coturnix_japonica ENSCJPG00005017729
meleagris_gallopavo ENSMGAG00000017418
numida_meleagris ENSNMEG00000022228
anser_brachyrhynchus ENSABRG00000002447
calidris_pygmaea ENSCPGG00000017177
calidris_pugnax ENSCPUG00000004990
dromaius_novaehollandiae ENSDNVG00000017467
cyanistes_caeruleus ENSCCEG00000023538
lonchura_striata_domestica ENSLSDG00000010974
lepidothrix_coronata ENSLCOG00000016313
anas_platyrhynchos_platyrhynchos ENSAPLG00000008959
apteryx_rowi ENSARWG00000004678
apteryx_owenii ENSAOWG00000018755
apteryx_haastii ENSAHAG00000007906
nothoprocta_perdicaria ENSNPEG00000015046
gopherus_agassizii ENSGAGG00000002672
chelonoidis_abingdonii ENSCABG00000005456
chrysemys_picta_bellii ENSCPBG00000003524
salvator_merianae ENSSMRG00000018213
notechis_scutatus ENSNSUG00000011219
phascolarctos_cinereus ENSPCIG00000029145
sarcophilus_harrisii ENSSHAG00000016034
monodelphis_domestica ENSMODG00000009593
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100009168
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000003577
fukomys_damarensis ENSFDAG00000009651
cavia_porcellus ENSCPOG00000015005
chinchilla_lanigera ENSCLAG00000011108
octodon_degus ENSODEG00000010496
dipodomys_ordii ENSDORG00000027655
marmota_marmota_marmota ENSMMMG00000023765
ictidomys_tridecemlineatus ENSSTOG00000023453
spermophilus_dauricus ENSSDAG00000015756
urocitellus_parryii ENSUPAG00010020425
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000027102
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0024595
mus_spicilegus ENSMSIG00000006283
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0023672
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0025124
rattus_norvegicus ENSRNOG00000042480
meriones_unguiculatus ENSMUGG00000010744
microtus_ochrogaster ENSMOCG00000022746
peromyscus_maniculatus_bairdii ENSPEMG00000028623
cricetulus_griseus_crigri_1.0 ENSCGRG00000002169
cricetulus_griseus_crigri-picr ENSCGRG00015000271
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001013130
mesocricetus_auratus ENSMAUG00000018092
nannospalax_galili ENSNGAG00000011799
castor_canadensis ENSCCNG00000006507
ochotona_princeps ENSOPRG00000004065
pan_paniscus ENSPPAG00000034189
pan_troglodytes ENSPTRG00000012669
homo_sapiens ENSG00000175879
gorilla_gorilla ENSGGOG00000009898
pongo_abelii ENSPPYG00000012961
nomascus_leucogenys ENSNLEG00000006003
chlorocebus_sabaeus ENSCSAG00000014437
cercocebus_atys ENSCATG00000032148
macaca_nemestrina ENSMNEG00000028133
macaca_mulatta ENSMMUG00000023504
macaca_fascicularis ENSMFAG00000003799
papio_anubis ENSPANG00000031963
theropithecus_gelada ENSTGEG00000021274
mandrillus_leucophaeus ENSMLEG00000042507
colobus_angolensis_palliatus ENSCANG00000023257
rhinopithecus_roxellana ENSRROG00000024611
piliocolobus_tephrosceles ENSPTEG00000039234
saimiri_boliviensis_boliviensis ENSSBOG00000029405
cebus_capucinus_imitator ENSCCAG00000001172
aotus_nancymaae ENSANAG00000026980
carlito_syrichta ENSTSYG00000001418
propithecus_coquereli ENSPCOG00000024233
microcebus_murinus ENSMICG00000004277
prolemur_simus ENSPSMG00000024501
otolemur_garnettii ENSOGAG00000015707
callithrix_jacchus ENSCJAG00000008284
rhinopithecus_bieti ENSRBIG00000036417
tupaia_belangeri ENSTBEG00000011462
ovis_aries ENSOARG00000017491
capra_hircus ENSCHIG00000013371
bos_mutus ENSBMUG00000015587
bos_taurus ENSBTAG00000049845
bison_bison_bison ENSBBBG00000017657
tursiops_truncatus ENSTTRG00000013777
sus_scrofa ENSSSCG00000040349
pteropus_vampyrus ENSPVAG00000017420
myotis_lucifugus ENSMLUG00000028864
ursus_americanus ENSUAMG00000025693
ursus_maritimus ENSUMAG00000015653
ailuropoda_melanoleuca ENSAMEG00000001838
neovison_vison ENSNVIG00000007149
mustela_putorius_furo ENSMPUG00000014060
canis_lupus_dingo ENSCAFG00020006244
canis_lupus_familiaris ENSCAFG00000013450
vulpes_vulpes ENSVVUG00000012714
panthera_tigris_altaica ENSPTIG00000015581
panthera_pardus ENSPPRG00000022672
felis_catus ENSFCAG00000034788
procavia_capensis ENSPCAG00000015753
equus_caballus ENSECAG00000021980
equus_asinus_asinus ENSEASG00005022550
dasypus_novemcinctus ENSDNOG00000036145
dasypus_novemcinctus ENSDNOG00000008112
loxodonta_africana ENSLAFG00000004364
echinops_telfairi ENSETEG00000011076
ornithorhynchus_anatinus ENSOANG00000030212
xenopus_tropicalis ENSXETG00000024424
scleropages_formosus ENSSFOG00015012431
petromyzon_marinus ENSPMAG00000004598
