mus_musculus_strain_reference_cl57bl6 ENSMUSG00000019923
mus_spicilegus ENSMSIG00000028302
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0016244
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0015431
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0030847
rattus_norvegicus ENSRNOG00000048682
meriones_unguiculatus ENSMUGG00000007062
cricetulus_griseus_crigri_1.0 ENSCGRG00000005872
cricetulus_griseus_crigri-picr ENSCGRG00015008732
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001021808
mesocricetus_auratus ENSMAUG00000014328
microtus_ochrogaster ENSMOCG00000004585
peromyscus_maniculatus_bairdii ENSPEMG00000023971
nannospalax_galili ENSNGAG00000010904
jaculus_jaculus ENSJJAG00000021030
dipodomys_ordii ENSDORG00000028117
castor_canadensis ENSCCNG00000000414
cavia_aperea ENSCAPG00000009841
cavia_porcellus ENSCPOG00000009580
chinchilla_lanigera ENSCLAG00000008307
octodon_degus ENSODEG00000013717
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000018770
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100000763
fukomys_damarensis ENSFDAG00000010247
marmota_marmota_marmota ENSMMMG00000012326
marmota_marmota_marmota ENSMMMG00000019294
spermophilus_dauricus ENSSDAG00000002976
urocitellus_parryii ENSUPAG00010010749
ochotona_princeps ENSOPRG00000001002
chlorocebus_sabaeus ENSCSAG00000007269
mandrillus_leucophaeus ENSMLEG00000037394
macaca_fascicularis ENSMFAG00000002436
macaca_mulatta ENSMMUG00000022376
cercocebus_atys ENSCATG00000044437
theropithecus_gelada ENSTGEG00000001919
macaca_nemestrina ENSMNEG00000036404
papio_anubis ENSPANG00000022000
rhinopithecus_bieti ENSRBIG00000036181
rhinopithecus_roxellana ENSRROG00000003222
colobus_angolensis_palliatus ENSCANG00000037788
piliocolobus_tephrosceles ENSPTEG00000039311
pan_paniscus ENSPPAG00000038915
pan_troglodytes ENSPTRG00000002515
gorilla_gorilla ENSGGOG00000007258
homo_sapiens ENSG00000122952
pongo_abelii ENSPPYG00000002434
nomascus_leucogenys ENSNLEG00000011900
saimiri_boliviensis_boliviensis ENSSBOG00000023017
cebus_capucinus_imitator ENSCCAG00000021478
callithrix_jacchus ENSCJAG00000004927
aotus_nancymaae ENSANAG00000029037
carlito_syrichta ENSTSYG00000010283
propithecus_coquereli ENSPCOG00000021585
prolemur_simus ENSPSMG00000018002
microcebus_murinus ENSMICG00000008552
otolemur_garnettii ENSOGAG00000008709
oryctolagus_cuniculus ENSOCUG00000006806
myotis_lucifugus ENSMLUG00000028579
myotis_lucifugus ENSMLUG00000006380
pteropus_vampyrus ENSPVAG00000001933
ursus_americanus ENSUAMG00000013783
ursus_maritimus ENSUMAG00000009645
ailuropoda_melanoleuca ENSAMEG00000005342
neovison_vison ENSNVIG00000024537
mustela_putorius_furo ENSMPUG00000016895
canis_lupus_dingo ENSCAFG00020026601
canis_lupus_familiaris ENSCAFG00000015521
vulpes_vulpes ENSVVUG00000009322
panthera_pardus ENSPPRG00000009847
panthera_tigris_altaica ENSPTIG00000018012
felis_catus ENSFCAG00000029281
sorex_araneus ENSSARG00000000646
capra_hircus ENSCHIG00000015390
ovis_aries ENSOARG00000013084
bos_taurus ENSBTAG00000038893
bos_mutus ENSBMUG00000014969
bison_bison_bison ENSBBBG00000022201
bos_mutus ENSBMUG00000017615
bos_taurus ENSBTAG00000002655
bison_bison_bison ENSBBBG00000013057
tursiops_truncatus ENSTTRG00000002204
sus_scrofa ENSSSCG00000027984
vicugna_pacos ENSVPAG00000009618
equus_asinus_asinus ENSEASG00005013748
equus_caballus ENSECAG00000000633
dasypus_novemcinctus ENSDNOG00000012813
choloepus_hoffmanni ENSCHOG00000000836
loxodonta_africana ENSLAFG00000013482
procavia_capensis ENSPCAG00000010918
echinops_telfairi ENSETEG00000007793
phascolarctos_cinereus ENSPCIG00000027932
pogona_vitticeps ENSPVIG00000002393
anolis_carolinensis ENSACAG00000006403
salvator_merianae ENSSMRG00000019264
pelodiscus_sinensis ENSPSIG00000009114
