anabas_testudineus ENSATEG00000005645
amphilophus_citrinellus ENSACIG00000008571
haplochromis_burtoni ENSHBUG00000007711
astatotilapia_calliptera ENSACLG00000026365
maylandia_zebra ENSMZEG00005005729
pundamilia_nyererei ENSPNYG00000003458
neolamprologus_brichardi ENSNBRG00000006330
kryptolebias_marmoratus ENSKMAG00000007761
amphiprion_percula ENSAPEG00000007062
amphiprion_ocellaris ENSAOCG00000014608
seriola_dumerili ENSSDUG00000012771
takifugu_rubripes ENSTRUG00000007292
tetraodon_nigroviridis ENSTNIG00000014438
mola_mola ENSMMOG00000020844
gasterosteus_aculeatus ENSGACG00000003412
labrus_bergylta ENSLBEG00000027980
scophthalmus_maximus ENSSMAG00000008124
periophthalmus_magnuspinnatus ENSPMGG00000021336
mastacembelus_armatus ENSMAMG00000004244
stegastes_partitus ENSSPAG00000015350
acanthochromis_polyacanthus ENSAPOG00000007978
poecilia_mexicana ENSPMEG00000013003
poecilia_latipinna ENSPLAG00000021120
poecilia_formosa ENSPFOG00000015901
poecilia_reticulata ENSPREG00000010185
lonchura_striata_domestica ENSLSDG00000005055
