ficedula_albicollis ENSFALG00000014206
parus_major ENSPMJG00000000873
serinus_canaria ENSSCAG00000003433
lonchura_striata_domestica ENSLSDG00000014680
zonotrichia_albicollis ENSZALG00000013564
lepidothrix_coronata ENSLCOG00000012907
manacus_vitellinus ENSMVIG00005008553
meleagris_gallopavo ENSMGAG00000010619
numida_meleagris ENSNMEG00000009715
calidris_pygmaea ENSCPGG00000015710
cyanistes_caeruleus ENSCCEG00000002391
melopsittacus_undulatus ENSMUNG00000015008
apteryx_rowi ENSARWG00000003441
dromaius_novaehollandiae ENSDNVG00000003968
nothoprocta_perdicaria ENSNPEG00000009661
notechis_scutatus ENSNSUG00000017709
salvator_merianae ENSSMRG00000006346
ornithorhynchus_anatinus ENSOANG00000031029
