xiphophorus_couchianus ENSXCOG00000017533
xiphophorus_maculatus ENSXMAG00000007851
poecilia_formosa ENSPFOG00000011667
gambusia_affinis ENSGAFG00000002187
cyprinodon_variegatus ENSCVAG00000003690
monopterus_albus ENSMALG00000010183
paramormyrops_kingsleyae ENSPKIG00000024601
mesocricetus_auratus ENSMAUG00000001647
peromyscus_maniculatus_bairdii ENSPEMG00000028728
spermophilus_dauricus ENSSDAG00000024633
spermophilus_dauricus ENSSDAG00000024635
urocitellus_parryii ENSUPAG00010023436
nomascus_leucogenys ENSNLEG00000028978
pan_troglodytes ENSPTRG00000052828
macaca_mulatta ENSMMUG00000043299
piliocolobus_tephrosceles ENSPTEG00000032856
panthera_tigris_altaica ENSPTIG00000016250
panthera_pardus ENSPPRG00000007402
felis_catus ENSFCAG00000042284
ailuropoda_melanoleuca ENSAMEG00000001193
notechis_scutatus ENSNSUG00000014721
nomascus_leucogenys ENSNLEG00000033262
carlito_syrichta ENSTSYG00000034734
urocitellus_parryii ENSUPAG00010000713
mesocricetus_auratus ENSMAUG00000019600
papio_anubis ENSPANG00000031150
macaca_nemestrina ENSMNEG00000043492
nomascus_leucogenys ENSNLEG00000034016
cebus_capucinus_imitator ENSCCAG00000014766
propithecus_coquereli ENSPCOG00000025161
mus_spicilegus ENSMSIG00000015854
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000091537
cricetulus_griseus_crigri-picr ENSCGRG00015014824
cricetulus_griseus_crigri_1.0 ENSCGRG00000005323
spermophilus_dauricus ENSSDAG00000017377
spermophilus_dauricus ENSSDAG00000008920
ictidomys_tridecemlineatus ENSSTOG00000030110
oryctolagus_cuniculus ENSOCUG00000026776
macaca_fascicularis ENSMFAG00000030127
macaca_nemestrina ENSMNEG00000001241
piliocolobus_tephrosceles ENSPTEG00000020116
homo_sapiens ENSG00000232112
theropithecus_gelada ENSTGEG00000009025
aotus_nancymaae ENSANAG00000031756
castor_canadensis ENSCCNG00000020328
mus_spicilegus ENSMSIG00000003010
macaca_mulatta ENSMMUG00000041509
macaca_nemestrina ENSMNEG00000013127
macaca_fascicularis ENSMFAG00000029512
theropithecus_gelada ENSTGEG00000025280
papio_anubis ENSPANG00000030680
chlorocebus_sabaeus ENSCSAG00000018802
microtus_ochrogaster ENSMOCG00000001916
macaca_mulatta ENSMMUG00000042676
rhinopithecus_roxellana ENSRROG00000034517
microtus_ochrogaster ENSMOCG00000016314
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0032716
marmota_marmota_marmota ENSMMMG00000006533
neovison_vison ENSNVIG00000001452
canis_lupus_dingo ENSCAFG00020014860
sus_scrofa ENSSSCG00000011351
bos_mutus ENSBMUG00000011840
colobus_angolensis_palliatus ENSCANG00000040425
piliocolobus_tephrosceles ENSPTEG00000003180
prolemur_simus ENSPSMG00000025975
octodon_degus ENSODEG00000019225
octodon_degus ENSODEG00000019317
octodon_degus ENSODEG00000020489
octodon_degus ENSODEG00000007257
octodon_degus ENSODEG00000018748
octodon_degus ENSODEG00000019201
cavia_porcellus ENSCPOG00000038089
chinchilla_lanigera ENSCLAG00000009744
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100007016
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000014226
fukomys_damarensis ENSFDAG00000019841
dipodomys_ordii ENSDORG00000023764
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0015584
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0033861
rattus_norvegicus ENSRNOG00000047225
peromyscus_maniculatus_bairdii ENSPEMG00000029096
microtus_ochrogaster ENSMOCG00000006544
oryctolagus_cuniculus ENSOCUG00000023586
bos_taurus ENSBTAG00000053755
bos_taurus ENSBTAG00000052152
canis_lupus_dingo ENSCAFG00020020576
neovison_vison ENSNVIG00000023260
canis_lupus_familiaris ENSCAFG00000029439
mandrillus_leucophaeus ENSMLEG00000013301
cercocebus_atys ENSCATG00000043756
rhinopithecus_roxellana ENSRROG00000014558
piliocolobus_tephrosceles ENSPTEG00000013161
cercocebus_atys ENSCATG00000022117
gorilla_gorilla ENSGGOG00000028044
