cyprinodon_variegatus ENSCVAG00000012904
fundulus_heteroclitus ENSFHEG00000008809
poecilia_latipinna ENSPLAG00000000386
poecilia_reticulata ENSPREG00000015914
poecilia_formosa ENSPFOG00000003736
poecilia_mexicana ENSPMEG00000000814
xiphophorus_maculatus ENSXMAG00000019938
gambusia_affinis ENSGAFG00000017273
kryptolebias_marmoratus ENSKMAG00000014482
oryzias_latipes_asm223469v1 ENSORLG00015006978
oryzias_latipes_asm223471v1 ENSORLG00020010787
oryzias_latipes_asm223467v1 ENSORLG00000029139
oryzias_melastigma ENSOMEG00000014215
amphiprion_ocellaris ENSAOCG00000004013
amphiprion_percula ENSAPEG00000020873
acanthochromis_polyacanthus ENSAPOG00000019114
stegastes_partitus ENSSPAG00000017359
maylandia_zebra ENSMZEG00005008979
astatotilapia_calliptera ENSACLG00000025122
haplochromis_burtoni ENSHBUG00000012915
pundamilia_nyererei ENSPNYG00000019948
neolamprologus_brichardi ENSNBRG00000013666
amphilophus_citrinellus ENSACIG00000007181
gasterosteus_aculeatus ENSGACG00000003746
labrus_bergylta ENSLBEG00000026920
seriola_lalandi_dorsalis ENSSLDG00000003246
seriola_dumerili ENSSDUG00000021877
scophthalmus_maximus ENSSMAG00000001607
mastacembelus_armatus ENSMAMG00000009694
monopterus_albus ENSMALG00000015871
anabas_testudineus ENSATEG00000010708
mola_mola ENSMMOG00000006944
hippocampus_comes ENSHCOG00000014719
neolamprologus_brichardi ENSNBRG00000014879
periophthalmus_magnuspinnatus ENSPMGG00000018414
gadus_morhua ENSGMOG00000011944
esox_lucius ENSELUG00000007267
pygocentrus_nattereri ENSPNAG00000004341
astyanax_mexicanus ENSAMXG00000033579
ictalurus_punctatus ENSIPUG00000015096
danio_rerio ENSDARG00000097082
scleropages_formosus ENSSFOG00015005835
paramormyrops_kingsleyae ENSPKIG00000017139
lepisosteus_oculatus ENSLOCG00000005370
