urocitellus_parryii ENSUPAG00010000006
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000000280
oryctolagus_cuniculus ENSOCUG00000006076
propithecus_coquereli ENSPCOG00000020136
microcebus_murinus ENSMICG00000028036
prolemur_simus ENSPSMG00000011437
otolemur_garnettii ENSOGAG00000029257
cebus_capucinus_imitator ENSCCAG00000033663
aotus_nancymaae ENSANAG00000037316
homo_sapiens ENSG00000135045
pan_troglodytes ENSPTRG00000021027
pongo_abelii ENSPPYG00000019297
nomascus_leucogenys ENSNLEG00000001769
pan_paniscus ENSPPAG00000035253
macaca_fascicularis ENSMFAG00000043599
macaca_nemestrina ENSMNEG00000042694
macaca_mulatta ENSMMUG00000031678
chlorocebus_sabaeus ENSCSAG00000007989
theropithecus_gelada ENSTGEG00000026222
papio_anubis ENSPANG00000030522
cercocebus_atys ENSCATG00000042316
colobus_angolensis_palliatus ENSCANG00000010527
rhinopithecus_bieti ENSRBIG00000020651
piliocolobus_tephrosceles ENSPTEG00000038662
loxodonta_africana ENSLAFG00000007065
procavia_capensis ENSPCAG00000016471
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0023725
mus_spicilegus ENSMSIG00000010978
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000047044
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0022806
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0014300
rattus_norvegicus ENSRNOG00000025644
meriones_unguiculatus ENSMUGG00000012571
peromyscus_maniculatus_bairdii ENSPEMG00000025661
microtus_ochrogaster ENSMOCG00000012610
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001015201
cricetulus_griseus_crigri-picr ENSCGRG00015004384
cricetulus_griseus_crigri_1.0 ENSCGRG00000000852
mesocricetus_auratus ENSMAUG00000009324
nannospalax_galili ENSNGAG00000015165
castor_canadensis ENSCCNG00000027902
marmota_marmota_marmota ENSMMMG00000011905
ursus_americanus ENSUAMG00000011938
ailuropoda_melanoleuca ENSAMEG00000019087
neovison_vison ENSNVIG00000012345
canis_lupus_familiaris ENSCAFG00000029729
canis_lupus_dingo ENSCAFG00020025493
felis_catus ENSFCAG00000030577
panthera_pardus ENSPPRG00000012911
equus_asinus_asinus ENSEASG00005007794
equus_caballus ENSECAG00000034238
capra_hircus ENSCHIG00000012544
ovis_aries ENSOARG00000012601
bos_taurus ENSBTAG00000013231
tursiops_truncatus ENSTTRG00000001204
sus_scrofa ENSSSCG00000031382
pteropus_vampyrus ENSPVAG00000006118
dasypus_novemcinctus ENSDNOG00000037915
choloepus_hoffmanni ENSCHOG00000006488
phascolarctos_cinereus ENSPCIG00000003968
phascolarctos_cinereus ENSPCIG00000013895
notamacropus_eugenii ENSMEUG00000011424
sarcophilus_harrisii ENSSHAG00000018456
monodelphis_domestica ENSMODG00000001995
ochotona_princeps ENSOPRG00000014417
ornithorhynchus_anatinus ENSOANG00000021102
