mus_musculus_strain_reference_cl57bl6 ENSMUSG00000028396
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0032338
mus_spicilegus ENSMSIG00000031068
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0026110
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0028448
rattus_norvegicus ENSRNOG00000045733
mus_spicilegus ENSMSIG00000004111
meriones_unguiculatus ENSMUGG00000023924
peromyscus_maniculatus_bairdii ENSPEMG00000011897
microtus_ochrogaster ENSMOCG00000022037
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001024634
cricetulus_griseus_crigri_1.0 ENSCGRG00000008594
cricetulus_griseus_crigri-picr ENSCGRG00015012330
nannospalax_galili ENSNGAG00000019282
spermophilus_dauricus ENSSDAG00000013370
otolemur_garnettii ENSOGAG00000012940
ursus_americanus ENSUAMG00000010561
ailuropoda_melanoleuca ENSAMEG00000004699
ornithorhynchus_anatinus ENSOANG00000010380
apteryx_owenii ENSAOWG00000011789
apteryx_haastii ENSAHAG00000003512
notechis_scutatus ENSNSUG00000009156
