capra_hircus ENSCHIG00000013197
ovis_aries ENSOARG00000018911
bos_mutus ENSBMUG00000022265
bos_taurus ENSBTAG00000003889
bison_bison_bison ENSBBBG00000006876
tursiops_truncatus ENSTTRG00000010313
sus_scrofa ENSSSCG00000017983
equus_caballus ENSECAG00000013291
equus_asinus_asinus ENSEASG00005019491
ursus_maritimus ENSUMAG00000017244
ursus_maritimus ENSUMAG00000017241
ursus_americanus ENSUAMG00000005294
ailuropoda_melanoleuca ENSAMEG00000002633
mustela_putorius_furo ENSMPUG00000008208
neovison_vison ENSNVIG00000004866
canis_lupus_familiaris ENSCAFG00000016984
canis_lupus_dingo ENSCAFG00020007147
vulpes_vulpes ENSVVUG00000028090
panthera_pardus ENSPPRG00000015627
felis_catus ENSFCAG00000015191
myotis_lucifugus ENSMLUG00000003612
pteropus_vampyrus ENSPVAG00000016372
erinaceus_europaeus ENSEEUG00000009292
sorex_araneus ENSSARG00000005605
piliocolobus_tephrosceles ENSPTEG00000008021
colobus_angolensis_palliatus ENSCANG00000028366
rhinopithecus_roxellana ENSRROG00000032724
rhinopithecus_bieti ENSRBIG00000016555
macaca_fascicularis ENSMFAG00000043997
macaca_nemestrina ENSMNEG00000037582
macaca_mulatta ENSMMUG00000021798
mandrillus_leucophaeus ENSMLEG00000034085
cercocebus_atys ENSCATG00000041578
theropithecus_gelada ENSTGEG00000026107
papio_anubis ENSPANG00000023840
chlorocebus_sabaeus ENSCSAG00000010737
pan_paniscus ENSPPAG00000040729
pan_troglodytes ENSPTRG00000008726
homo_sapiens ENSG00000179094
gorilla_gorilla ENSGGOG00000005764
pongo_abelii ENSPPYG00000007949
nomascus_leucogenys ENSNLEG00000009876
cebus_capucinus_imitator ENSCCAG00000037305
saimiri_boliviensis_boliviensis ENSSBOG00000035418
callithrix_jacchus ENSCJAG00000014556
aotus_nancymaae ENSANAG00000022319
carlito_syrichta ENSTSYG00000012377
propithecus_coquereli ENSPCOG00000016795
microcebus_murinus ENSMICG00000013724
prolemur_simus ENSPSMG00000017939
otolemur_garnettii ENSOGAG00000026695
tupaia_belangeri ENSTBEG00000004202
castor_canadensis ENSCCNG00000002428
dipodomys_ordii ENSDORG00000026078
mus_spicilegus ENSMSIG00000009513
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017390
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000020893
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0016554
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0017685
rattus_norvegicus ENSRNOG00000007387
meriones_unguiculatus ENSMUGG00000010914
peromyscus_maniculatus_bairdii ENSPEMG00000018665
peromyscus_maniculatus_bairdii ENSPEMG00000030462
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001019654
cricetulus_griseus_crigri-picr ENSCGRG00015011289
cricetulus_griseus_crigri_1.0 ENSCGRG00000008691
mesocricetus_auratus ENSMAUG00000014411
microtus_ochrogaster ENSMOCG00000017373
nannospalax_galili ENSNGAG00000023133
ictidomys_tridecemlineatus ENSSTOG00000005366
urocitellus_parryii ENSUPAG00010016219
marmota_marmota_marmota ENSMMMG00000020158
spermophilus_dauricus ENSSDAG00000001215
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100014043
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000013259
fukomys_damarensis ENSFDAG00000008330
cavia_aperea ENSCAPG00000003567
cavia_aperea ENSCAPG00000015715
