sphenodon_punctatus ENSSPUG00000014280
notechis_scutatus ENSNSUG00000019870
gopherus_agassizii ENSGAGG00000024188
ursus_maritimus ENSUMAG00000021463
ursus_americanus ENSUAMG00000011094
canis_lupus_dingo ENSCAFG00020014222
canis_lupus_familiaris ENSCAFG00000014114
canis_lupus_dingo ENSCAFG00020014305
vulpes_vulpes ENSVVUG00000002402
vulpes_vulpes ENSVVUG00000013568
felis_catus ENSFCAG00000033624
bison_bison_bison ENSBBBG00000020139
capra_hircus ENSCHIG00000009351
peromyscus_maniculatus_bairdii ENSPEMG00000025747
nannospalax_galili ENSNGAG00000000982
jaculus_jaculus ENSJJAG00000016642
dipodomys_ordii ENSDORG00000028513
fukomys_damarensis ENSFDAG00000007666
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100014152
cavia_porcellus ENSCPOG00000008281
ictidomys_tridecemlineatus ENSSTOG00000015498
oryctolagus_cuniculus ENSOCUG00000024121
cebus_capucinus_imitator ENSCCAG00000021797
cebus_capucinus_imitator ENSCCAG00000035516
saimiri_boliviensis_boliviensis ENSSBOG00000015130
chlorocebus_sabaeus ENSCSAG00000017786
carlito_syrichta ENSTSYG00000036408
prolemur_simus ENSPSMG00000012376
prolemur_simus ENSPSMG00000019870
propithecus_coquereli ENSPCOG00000023455
dasypus_novemcinctus ENSDNOG00000040624
monodelphis_domestica ENSMODG00000021504
phascolarctos_cinereus ENSPCIG00000023578
microcebus_murinus ENSMICG00000044405
otolemur_garnettii ENSOGAG00000015965
pan_paniscus ENSPPAG00000038669
pan_troglodytes ENSPTRG00000009925
homo_sapiens ENSG00000154040
gorilla_gorilla ENSGGOG00000006062
pongo_abelii ENSPPYG00000009069
nomascus_leucogenys ENSNLEG00000006627
nomascus_leucogenys ENSNLEG00000027975
theropithecus_gelada ENSTGEG00000017320
papio_anubis ENSPANG00000007685
macaca_fascicularis ENSMFAG00000007440
macaca_nemestrina ENSMNEG00000034958
macaca_mulatta ENSMMUG00000004346
mandrillus_leucophaeus ENSMLEG00000040361
cercocebus_atys ENSCATG00000033264
rhinopithecus_roxellana ENSRROG00000045735
rhinopithecus_bieti ENSRBIG00000039455
piliocolobus_tephrosceles ENSPTEG00000036933
colobus_angolensis_palliatus ENSCANG00000021548
saimiri_boliviensis_boliviensis ENSSBOG00000019153
saimiri_boliviensis_boliviensis ENSSBOG00000031971
callithrix_jacchus ENSCJAG00000020641
aotus_nancymaae ENSANAG00000033448
cebus_capucinus_imitator ENSCCAG00000026026
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0022922
mus_spicilegus ENSMSIG00000007159
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000024430
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0022008
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0018745
rattus_norvegicus ENSRNOG00000047436
meriones_unguiculatus ENSMUGG00000008236
meriones_unguiculatus ENSMUGG00000007975
cricetulus_griseus_crigri-picr ENSCGRG00015008239
cricetulus_griseus_crigri_1.0 ENSCGRG00000005722
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001010088
mesocricetus_auratus ENSMAUG00000009212
microtus_ochrogaster ENSMOCG00000017399
castor_canadensis ENSCCNG00000003467
chinchilla_lanigera ENSCLAG00000015684
cavia_aperea ENSCAPG00000008556
octodon_degus ENSODEG00000005557
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000007031
urocitellus_parryii ENSUPAG00010012372
spermophilus_dauricus ENSSDAG00000017856
marmota_marmota_marmota ENSMMMG00000009452
ochotona_princeps ENSOPRG00000005127
tupaia_belangeri ENSTBEG00000008010
pteropus_vampyrus ENSPVAG00000001037
myotis_lucifugus ENSMLUG00000015202
bos_mutus ENSBMUG00000021340
bos_taurus ENSBTAG00000005638
ovis_aries ENSOARG00000007514
tursiops_truncatus ENSTTRG00000002789
sus_scrofa ENSSSCG00000003711
neovison_vison ENSNVIG00000018609
mustela_putorius_furo ENSMPUG00000005839
ailuropoda_melanoleuca ENSAMEG00000014040
panthera_pardus ENSPPRG00000004985
panthera_tigris_altaica ENSPTIG00000002843
erinaceus_europaeus ENSEEUG00000001395
sorex_araneus ENSSARG00000001850
equus_asinus_asinus ENSEASG00005004560
equus_caballus ENSECAG00000014148
loxodonta_africana ENSLAFG00000014928
procavia_capensis ENSPCAG00000007618
echinops_telfairi ENSETEG00000005104
notamacropus_eugenii ENSMEUG00000012900
sarcophilus_harrisii ENSSHAG00000006149
apteryx_owenii ENSAOWG00000019336
apteryx_haastii ENSAHAG00000015458
apteryx_rowi ENSARWG00000005653
dromaius_novaehollandiae ENSDNVG00000004937
calidris_pygmaea ENSCPGG00000006930
calidris_pugnax ENSCPUG00000018964
anser_brachyrhynchus ENSABRG00000015984
anas_platyrhynchos_platyrhynchos ENSAPLG00000022835
crocodylus_porosus ENSCPRG00005014296
chelonoidis_abingdonii ENSCABG00000002990
gopherus_agassizii ENSGAGG00000024189
chrysemys_picta_bellii ENSCPBG00000027330
pelodiscus_sinensis ENSPSIG00000007678
pelodiscus_sinensis ENSPSIG00000001320
anolis_carolinensis ENSACAG00000001302
pogona_vitticeps ENSPVIG00000018128
notechis_scutatus ENSNSUG00000019871
salvator_merianae ENSSMRG00000012144
ornithorhynchus_anatinus ENSOANG00000031837
ornithorhynchus_anatinus ENSOANG00000029909
lepisosteus_oculatus ENSLOCG00000006503
