seriola_lalandi_dorsalis ENSSLDG00000017638
seriola_dumerili ENSSDUG00000020401
scophthalmus_maximus ENSSMAG00000016770
mola_mola ENSMMOG00000017134
fundulus_heteroclitus ENSFHEG00000017567
cyprinodon_variegatus ENSCVAG00000023000
poecilia_mexicana ENSPMEG00000018566
poecilia_mexicana ENSPMEG00000009201
poecilia_formosa ENSPFOG00000011553
poecilia_formosa ENSPFOG00000011397
poecilia_latipinna ENSPLAG00000001661
poecilia_reticulata ENSPREG00000021268
xiphophorus_couchianus ENSXCOG00000000975
haplochromis_burtoni ENSHBUG00000007273
astatotilapia_calliptera ENSACLG00000023906
pundamilia_nyererei ENSPNYG00000014456
maylandia_zebra ENSMZEG00005000938
neolamprologus_brichardi ENSNBRG00000008082
oreochromis_niloticus ENSONIG00000013298
amphilophus_citrinellus ENSACIG00000001644
amphiprion_percula ENSAPEG00000024618
amphiprion_ocellaris ENSAOCG00000005589
acanthochromis_polyacanthus ENSAPOG00000000995
anabas_testudineus ENSATEG00000011661
monopterus_albus ENSMALG00000012291
mastacembelus_armatus ENSMAMG00000017366
gasterosteus_aculeatus ENSGACG00000008255
tetraodon_nigroviridis ENSTNIG00000015832
oryzias_latipes_asm223469v1 ENSORLG00015005780
oryzias_latipes_asm223467v1 ENSORLG00000006153
oryzias_latipes_asm223471v1 ENSORLG00020017188
oryzias_melastigma ENSOMEG00000001663
kryptolebias_marmoratus ENSKMAG00000018733
stegastes_partitus ENSSPAG00000023476
cynoglossus_semilaevis ENSCSEG00000014536
periophthalmus_magnuspinnatus ENSPMGG00000018342
gadus_morhua ENSGMOG00000012139
esox_lucius ENSELUG00000015178
hippocampus_comes ENSHCOG00000019848
astyanax_mexicanus ENSAMXG00000031765
pygocentrus_nattereri ENSPNAG00000019769
ictalurus_punctatus ENSIPUG00000020793
danio_rerio ENSDARG00000097803
paramormyrops_kingsleyae ENSPKIG00000001571
scleropages_formosus ENSSFOG00015019122
lepisosteus_oculatus ENSLOCG00000005702
ursus_maritimus ENSUMAG00000004025
ursus_americanus ENSUAMG00000019669
ailuropoda_melanoleuca ENSAMEG00000015144
mustela_putorius_furo ENSMPUG00000001679
neovison_vison ENSNVIG00000021115
canis_lupus_familiaris ENSCAFG00000007512
canis_lupus_dingo ENSCAFG00020016169
vulpes_vulpes ENSVVUG00000027811
panthera_pardus ENSPPRG00000024772
panthera_tigris_altaica ENSPTIG00000011744
felis_catus ENSFCAG00000015328
erinaceus_europaeus ENSEEUG00000007231
equus_asinus_asinus ENSEASG00005012587
equus_caballus ENSECAG00000001057
pteropus_vampyrus ENSPVAG00000015301
myotis_lucifugus ENSMLUG00000007001
bos_mutus ENSBMUG00000013762
bos_taurus ENSBTAG00000020503
bison_bison_bison ENSBBBG00000018517
ovis_aries ENSOARG00000005214
capra_hircus ENSCHIG00000022229
sus_scrofa ENSSSCG00000009774
tursiops_truncatus ENSTTRG00000015880
tupaia_belangeri ENSTBEG00000012500
castor_canadensis ENSCCNG00000016429
dipodomys_ordii ENSDORG00000026069
cricetulus_griseus_crigri_1.0 ENSCGRG00000003037
cricetulus_griseus_crigri-picr ENSCGRG00015023371
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001013424
mesocricetus_auratus ENSMAUG00000010304
microtus_ochrogaster ENSMOCG00000017477
peromyscus_maniculatus_bairdii ENSPEMG00000030785
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000047635
mus_spicilegus ENSMSIG00000009298
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0028745
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0027747
rattus_norvegicus ENSRNOG00000001073
meriones_unguiculatus ENSMUGG00000007342
nannospalax_galili ENSNGAG00000010625
jaculus_jaculus ENSJJAG00000023360
chinchilla_lanigera ENSCLAG00000014329
octodon_degus ENSODEG00000011382
cavia_porcellus ENSCPOG00000007583
cavia_aperea ENSCAPG00000014691
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000010966
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100018631
spermophilus_dauricus ENSSDAG00000018873
ictidomys_tridecemlineatus ENSSTOG00000016463
urocitellus_parryii ENSUPAG00010018429
marmota_marmota_marmota ENSMMMG00000024511
ochotona_princeps ENSOPRG00000011029
oryctolagus_cuniculus ENSOCUG00000011888
propithecus_coquereli ENSPCOG00000021574
microcebus_murinus ENSMICG00000037138
prolemur_simus ENSPSMG00000019727
otolemur_garnettii ENSOGAG00000010778
pan_paniscus ENSPPAG00000029654
pan_troglodytes ENSPTRG00000005595
homo_sapiens ENSG00000130921
gorilla_gorilla ENSGGOG00000012850
pongo_abelii ENSPPYG00000005082
nomascus_leucogenys ENSNLEG00000001470
rhinopithecus_bieti ENSRBIG00000040789
rhinopithecus_roxellana ENSRROG00000031384
piliocolobus_tephrosceles ENSPTEG00000006252
macaca_mulatta ENSMMUG00000031495
macaca_nemestrina ENSMNEG00000044673
theropithecus_gelada ENSTGEG00000026851
chlorocebus_sabaeus ENSCSAG00000002068
cercocebus_atys ENSCATG00000040685
mandrillus_leucophaeus ENSMLEG00000044309
papio_anubis ENSPANG00000015388
saimiri_boliviensis_boliviensis ENSSBOG00000026629
callithrix_jacchus ENSCJAG00000016579
aotus_nancymaae ENSANAG00000022881
dasypus_novemcinctus ENSDNOG00000034728
loxodonta_africana ENSLAFG00000002134
procavia_capensis ENSPCAG00000016193
echinops_telfairi ENSETEG00000005627
sarcophilus_harrisii ENSSHAG00000014988
monodelphis_domestica ENSMODG00000012450
notamacropus_eugenii ENSMEUG00000009430
phascolarctos_cinereus ENSPCIG00000010996
ornithorhynchus_anatinus ENSOANG00000012866
anser_brachyrhynchus ENSABRG00000011966
anas_platyrhynchos_platyrhynchos ENSAPLG00000016073
gallus_gallus ENSGALG00000029390
coturnix_japonica ENSCJPG00005019965
