poecilia_reticulata ENSPREG00000005096
cyprinodon_variegatus ENSCVAG00000006731
oryzias_latipes_asm223471v1 ENSORLG00020008771
amphiprion_ocellaris ENSAOCG00000003471
amphiprion_percula ENSAPEG00000017456
maylandia_zebra ENSMZEG00005013888
amphilophus_citrinellus ENSACIG00000006750
mastacembelus_armatus ENSMAMG00000011359
hippocampus_comes ENSHCOG00000019467
takifugu_rubripes ENSTRUG00000004349
danio_rerio ENSDARG00000077072
apteryx_rowi ENSARWG00000018068
apteryx_owenii ENSAOWG00000018337
calidris_pygmaea ENSCPGG00000006523
chelonoidis_abingdonii ENSCABG00000009098
salvator_merianae ENSSMRG00000007735
procavia_capensis ENSPCAG00000004360
echinops_telfairi ENSETEG00000008316
choloepus_hoffmanni ENSCHOG00000009868
equus_asinus_asinus ENSEASG00005019503
pteropus_vampyrus ENSPVAG00000013854
canis_lupus_dingo ENSCAFG00020006390
ursus_maritimus ENSUMAG00000005517
tursiops_truncatus ENSTTRG00000006627
vicugna_pacos ENSVPAG00000005947
sorex_araneus ENSSARG00000003169
erinaceus_europaeus ENSEEUG00000015053
tupaia_belangeri ENSTBEG00000007977
notamacropus_eugenii ENSMEUG00000014671
