poecilia_reticulata ENSPREG00000009510
poecilia_mexicana ENSPMEG00000002019
poecilia_latipinna ENSPLAG00000013671
poecilia_formosa ENSPFOG00000010630
xiphophorus_couchianus ENSXCOG00000016141
xiphophorus_maculatus ENSXMAG00000010846
gambusia_affinis ENSGAFG00000002007
fundulus_heteroclitus ENSFHEG00000001907
cyprinodon_variegatus ENSCVAG00000019608
kryptolebias_marmoratus ENSKMAG00000018091
hippocampus_comes ENSHCOG00000012037
takifugu_rubripes ENSTRUG00000023240
tetraodon_nigroviridis ENSTNIG00000009643
periophthalmus_magnuspinnatus ENSPMGG00000022710
gasterosteus_aculeatus ENSGACG00000007061
labrus_bergylta ENSLBEG00000006340
seriola_dumerili ENSSDUG00000016507
seriola_lalandi_dorsalis ENSSLDG00000022405
scophthalmus_maximus ENSSMAG00000002558
mastacembelus_armatus ENSMAMG00000023991
monopterus_albus ENSMALG00000008122
amphiprion_ocellaris ENSAOCG00000001749
amphiprion_percula ENSAPEG00000019583
acanthochromis_polyacanthus ENSAPOG00000004881
stegastes_partitus ENSSPAG00000013067
astatotilapia_calliptera ENSACLG00000013200
maylandia_zebra ENSMZEG00005025500
pundamilia_nyererei ENSPNYG00000004669
haplochromis_burtoni ENSHBUG00000012259
neolamprologus_brichardi ENSNBRG00000021965
amphilophus_citrinellus ENSACIG00000011101
oryzias_latipes_asm223467v1 ENSORLG00000004647
oryzias_latipes_asm223471v1 ENSORLG00020022623
oryzias_latipes_asm223469v1 ENSORLG00015008036
oryzias_melastigma ENSOMEG00000011732
cynoglossus_semilaevis ENSCSEG00000005024
mola_mola ENSMMOG00000008934
anabas_testudineus ENSATEG00000023882
gadus_morhua ENSGMOG00000004838
esox_lucius ENSELUG00000023304
pygocentrus_nattereri ENSPNAG00000009319
astyanax_mexicanus ENSAMXG00000041931
ictalurus_punctatus ENSIPUG00000009071
danio_rerio ENSDARG00000056903
scleropages_formosus ENSSFOG00015005149
paramormyrops_kingsleyae ENSPKIG00000018874
lepisosteus_oculatus ENSLOCG00000009210
anolis_carolinensis ENSACAG00000009255
pogona_vitticeps ENSPVIG00000018361
notechis_scutatus ENSNSUG00000011194
salvator_merianae ENSSMRG00000021459
sphenodon_punctatus ENSSPUG00000008445
anser_brachyrhynchus ENSABRG00000010204
anas_platyrhynchos_platyrhynchos ENSAPLG00000019065
gallus_gallus ENSGALG00000041863
coturnix_japonica ENSCJPG00005005563
numida_meleagris ENSNMEG00000008232
cyanistes_caeruleus ENSCCEG00000008437
parus_major ENSPMJG00000011255
serinus_canaria ENSSCAG00000007067
lonchura_striata_domestica ENSLSDG00000003470
junco_hyemalis ENSJHYG00000008531
zonotrichia_albicollis ENSZALG00000014460
ficedula_albicollis ENSFALG00000002422
lepidothrix_coronata ENSLCOG00000010233
manacus_vitellinus ENSMVIG00005012647
melopsittacus_undulatus ENSMUNG00000016705
calidris_pugnax ENSCPUG00000007737
calidris_pygmaea ENSCPGG00000008870
apteryx_owenii ENSAOWG00000001263
apteryx_rowi ENSARWG00000002953
apteryx_haastii ENSAHAG00000002130
dromaius_novaehollandiae ENSDNVG00000008443
nothoprocta_perdicaria ENSNPEG00000004221
crocodylus_porosus ENSCPRG00005008591
gopherus_agassizii ENSGAGG00000025331
chelonoidis_abingdonii ENSCABG00000004705
gopherus_agassizii ENSGAGG00000023611
chelonoidis_abingdonii ENSCABG00000006220
chrysemys_picta_bellii ENSCPBG00000015289
pelodiscus_sinensis ENSPSIG00000008016
phascolarctos_cinereus ENSPCIG00000019489
notamacropus_eugenii ENSMEUG00000004590
monodelphis_domestica ENSMODG00000002300
pteropus_vampyrus ENSPVAG00000003719
myotis_lucifugus ENSMLUG00000009756
ursus_maritimus ENSUMAG00000021939
ailuropoda_melanoleuca ENSAMEG00000002225
ursus_americanus ENSUAMG00000009636
canis_lupus_familiaris ENSCAFG00000000940
canis_lupus_dingo ENSCAFG00020005790
vulpes_vulpes ENSVVUG00000016056
neovison_vison ENSNVIG00000005948
mustela_putorius_furo ENSMPUG00000001080
panthera_pardus ENSPPRG00000024807
panthera_tigris_altaica ENSPTIG00000021819
felis_catus ENSFCAG00000001463
erinaceus_europaeus ENSEEUG00000006391
equus_caballus ENSECAG00000021161
bos_taurus ENSBTAG00000006767
bos_mutus ENSBMUG00000023164
bison_bison_bison ENSBBBG00000014966
capra_hircus ENSCHIG00000008412
capra_hircus ENSCHIG00000006914
capra_hircus ENSCHIG00000013190
ovis_aries ENSOARG00000019181
capra_hircus ENSCHIG00000024054
ovis_aries ENSOARG00000017405
tursiops_truncatus ENSTTRG00000005939
vicugna_pacos ENSVPAG00000000774
sus_scrofa ENSSSCG00000005996
castor_canadensis ENSCCNG00000031774
dipodomys_ordii ENSDORG00000016654
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001015700
cricetulus_griseus_crigri_1.0 ENSCGRG00000018038
cricetulus_griseus_crigri-picr ENSCGRG00015007976
mesocricetus_auratus ENSMAUG00000009122
mesocricetus_auratus ENSMAUG00000015546
peromyscus_maniculatus_bairdii ENSPEMG00000016375
microtus_ochrogaster ENSMOCG00000018794
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0020696
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0019799
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000022370
mus_spicilegus ENSMSIG00000004496
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0019809
rattus_norvegicus ENSRNOG00000004401
meriones_unguiculatus ENSMUGG00000024262
nannospalax_galili ENSNGAG00000024334
cavia_aperea ENSCAPG00000006896
cavia_porcellus ENSCPOG00000005791
chinchilla_lanigera ENSCLAG00000005646
octodon_degus ENSODEG00000001950
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000007021
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100016348
fukomys_damarensis ENSFDAG00000006554
jaculus_jaculus ENSJJAG00000019308
urocitellus_parryii ENSUPAG00010017724
spermophilus_dauricus ENSSDAG00000021847
ictidomys_tridecemlineatus ENSSTOG00000014264
oryctolagus_cuniculus ENSOCUG00000016189
ochotona_princeps ENSOPRG00000015721
microcebus_murinus ENSMICG00000014630
propithecus_coquereli ENSPCOG00000016230
prolemur_simus ENSPSMG00000021817
otolemur_garnettii ENSOGAG00000014284
pan_paniscus ENSPPAG00000043579
pan_troglodytes ENSPTRG00000020541
gorilla_gorilla ENSGGOG00000024629
homo_sapiens ENSG00000172172
nomascus_leucogenys ENSNLEG00000028268
cercocebus_atys ENSCATG00000044803
theropithecus_gelada ENSTGEG00000008525
macaca_mulatta ENSMMUG00000002599
macaca_nemestrina ENSMNEG00000034159
macaca_fascicularis ENSMFAG00000009755
mandrillus_leucophaeus ENSMLEG00000009613
papio_anubis ENSPANG00000001115
chlorocebus_sabaeus ENSCSAG00000010722
piliocolobus_tephrosceles ENSPTEG00000033396
colobus_angolensis_palliatus ENSCANG00000041741
rhinopithecus_roxellana ENSRROG00000044613
rhinopithecus_bieti ENSRBIG00000035341
callithrix_jacchus ENSCJAG00000005359
callithrix_jacchus ENSCJAG00000023047
cebus_capucinus_imitator ENSCCAG00000034544
saimiri_boliviensis_boliviensis ENSSBOG00000003037
aotus_nancymaae ENSANAG00000033601
tupaia_belangeri ENSTBEG00000004571
echinops_telfairi ENSETEG00000017682
equus_asinus_asinus ENSEASG00005002544
sorex_araneus ENSSARG00000014236
carlito_syrichta ENSTSYG00000011331
pongo_abelii ENSPPYG00000018847
dasypus_novemcinctus ENSDNOG00000046226
choloepus_hoffmanni ENSCHOG00000006926
procavia_capensis ENSPCAG00000001541
loxodonta_africana ENSLAFG00000012985
ornithorhynchus_anatinus ENSOANG00000000414
latimeria_chalumnae ENSLACG00000015467
petromyzon_marinus ENSPMAG00000007735
eptatretus_burgeri ENSEBUG00000007958
xenopus_tropicalis ENSXETG00000025658
ciona_intestinalis ENSCING00000005447
drosophila_melanogaster FBgn0032720
caenorhabditis_elegans_strain_n2 WBGene00008769
