amphiprion_percula ENSAPEG00000010325
amphiprion_ocellaris ENSAOCG00000018661
acanthochromis_polyacanthus ENSAPOG00000020057
stegastes_partitus ENSSPAG00000002035
seriola_dumerili ENSSDUG00000005530
seriola_lalandi_dorsalis ENSSLDG00000005483
pundamilia_nyererei ENSPNYG00000022036
maylandia_zebra ENSMZEG00005005590
haplochromis_burtoni ENSHBUG00000013231
astatotilapia_calliptera ENSACLG00000027490
neolamprologus_brichardi ENSNBRG00000010533
oreochromis_niloticus ENSONIG00000018300
amphilophus_citrinellus ENSACIG00000008068
monopterus_albus ENSMALG00000004056
monopterus_albus ENSMALG00000016066
mastacembelus_armatus ENSMAMG00000000315
mastacembelus_armatus ENSMAMG00000000306
mastacembelus_armatus ENSMAMG00000021294
