ornithorhynchus_anatinus ENSOANG00000020579
maylandia_zebra ENSMZEG00005009685
pelodiscus_sinensis ENSPSIG00000007352
pelodiscus_sinensis ENSPSIG00000007277
latimeria_chalumnae ENSLACG00000011888
hippocampus_comes ENSHCOG00000002873
hippocampus_comes ENSHCOG00000002897
haplochromis_burtoni ENSHBUG00000000775
haplochromis_burtoni ENSHBUG00000021564
mola_mola ENSMMOG00000018481
labrus_bergylta ENSLBEG00000027326
gasterosteus_aculeatus ENSGACG00000001192
tetraodon_nigroviridis ENSTNIG00000002862
astatotilapia_calliptera ENSACLG00000013639
oreochromis_niloticus ENSONIG00000017919
maylandia_zebra ENSMZEG00005009653
neolamprologus_brichardi ENSNBRG00000003535
amphilophus_citrinellus ENSACIG00000023400
fundulus_heteroclitus ENSFHEG00000000966
cyprinodon_variegatus ENSCVAG00000019447
poecilia_reticulata ENSPREG00000002333
poecilia_mexicana ENSPMEG00000012944
gambusia_affinis ENSGAFG00000008305
xiphophorus_maculatus ENSXMAG00000008573
kryptolebias_marmoratus ENSKMAG00000003563
takifugu_rubripes ENSTRUG00000022405
periophthalmus_magnuspinnatus ENSPMGG00000015854
scophthalmus_maximus ENSSMAG00000003479
amphiprion_percula ENSAPEG00000021120
amphiprion_ocellaris ENSAOCG00000018526
acanthochromis_polyacanthus ENSAPOG00000004444
stegastes_partitus ENSSPAG00000002208
pundamilia_nyererei ENSPNYG00000019529
pundamilia_nyererei ENSPNYG00000019564
poecilia_formosa ENSPFOG00000022926
poecilia_formosa ENSPFOG00000000426
poecilia_latipinna ENSPLAG00000005712
poecilia_latipinna ENSPLAG00000005677
stegastes_partitus ENSSPAG00000002241
seriola_dumerili ENSSDUG00000007928
seriola_lalandi_dorsalis ENSSLDG00000019936
mastacembelus_armatus ENSMAMG00000011531
tetraodon_nigroviridis ENSTNIG00000002216
tetraodon_nigroviridis ENSTNIG00000007205
tetraodon_nigroviridis ENSTNIG00000003819
gadus_morhua ENSGMOG00000010641
esox_lucius ENSELUG00000001780
pygocentrus_nattereri ENSPNAG00000002568
pygocentrus_nattereri ENSPNAG00000002579
astyanax_mexicanus ENSAMXG00000019848
ictalurus_punctatus ENSIPUG00000003405
danio_rerio ENSDARG00000060597
paramormyrops_kingsleyae ENSPKIG00000021676
scleropages_formosus ENSSFOG00015022067
lepisosteus_oculatus ENSLOCG00000013570
