heterocephalus_glaber_hetgla_1.0 ENSHGLG00100009712
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000013435
cavia_aperea ENSCAPG00000007199
homo_sapiens ENSG00000214954
pongo_abelii ENSPPYG00000018739
rhinopithecus_roxellana ENSRROG00000027923
rhinopithecus_bieti ENSRBIG00000034892
tursiops_truncatus ENSTTRG00000004367
vicugna_pacos ENSVPAG00000008091
pteropus_vampyrus ENSPVAG00000001442
canis_lupus_familiaris ENSCAFG00000009049
ochotona_princeps ENSOPRG00000019208
choloepus_hoffmanni ENSCHOG00000002907
procavia_capensis ENSPCAG00000003338
ornithorhynchus_anatinus ENSOANG00000029483
chrysemys_picta_bellii ENSCPBG00000002878
chelonoidis_abingdonii ENSCABG00000017850
pelodiscus_sinensis ENSPSIG00000002439
crocodylus_porosus ENSCPRG00005001765
pogona_vitticeps ENSPVIG00000016958
notechis_scutatus ENSNSUG00000013380
salvator_merianae ENSSMRG00000010522
xenopus_tropicalis ENSXETG00000025913
latimeria_chalumnae ENSLACG00000001411
pygocentrus_nattereri ENSPNAG00000002057
astyanax_mexicanus ENSAMXG00000044068
ictalurus_punctatus ENSIPUG00000012931
mastacembelus_armatus ENSMAMG00000012594
monopterus_albus ENSMALG00000014971
anabas_testudineus ENSATEG00000014729
amphiprion_percula ENSAPEG00000013297
amphiprion_ocellaris ENSAOCG00000003446
stegastes_partitus ENSSPAG00000015641
lepisosteus_oculatus ENSLOCG00000010170
ciona_savignyi ENSCSAVG00000002957
ciona_intestinalis ENSCING00000005096
