mus_musculus_strain_reference_cl57bl6 ENSMUSG00000063522
mus_spicilegus ENSMSIG00000001328
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0020783
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0019885
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0019892
rattus_norvegicus ENSRNOG00000047072
meriones_unguiculatus ENSMUGG00000009580
cricetulus_griseus_crigri-picr ENSCGRG00015017121
cricetulus_griseus_crigri_1.0 ENSCGRG00000000760
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001013038
mesocricetus_auratus ENSMAUG00000003450
peromyscus_maniculatus_bairdii ENSPEMG00000006943
microtus_ochrogaster ENSMOCG00000018758
nannospalax_galili ENSNGAG00000010747
jaculus_jaculus ENSJJAG00000017358
castor_canadensis ENSCCNG00000019656
ictidomys_tridecemlineatus ENSSTOG00000030518
spermophilus_dauricus ENSSDAG00000016434
marmota_marmota_marmota ENSMMMG00000024083
chinchilla_lanigera ENSCLAG00000012302
octodon_degus ENSODEG00000013937
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100004750
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000010720
fukomys_damarensis ENSFDAG00000018766
oryctolagus_cuniculus ENSOCUG00000026231
otolemur_garnettii ENSOGAG00000024570
loxodonta_africana ENSLAFG00000032594
dasypus_novemcinctus ENSDNOG00000037298
sarcophilus_harrisii ENSSHAG00000006535
monodelphis_domestica ENSMODG00000012204
phascolarctos_cinereus ENSPCIG00000023584
