takifugu_rubripes ENSTRUG00000004864
tetraodon_nigroviridis ENSTNIG00000012156
mola_mola ENSMMOG00000017482
gasterosteus_aculeatus ENSGACG00000011647
labrus_bergylta ENSLBEG00000006684
labrus_bergylta ENSLBEG00000000448
seriola_lalandi_dorsalis ENSSLDG00000022131
seriola_dumerili ENSSDUG00000017710
scophthalmus_maximus ENSSMAG00000007428
monopterus_albus ENSMALG00000010716
mastacembelus_armatus ENSMAMG00000005543
anabas_testudineus ENSATEG00000021264
hippocampus_comes ENSHCOG00000011005
cynoglossus_semilaevis ENSCSEG00000014270
xiphophorus_maculatus ENSXMAG00000001073
xiphophorus_couchianus ENSXCOG00000020512
gambusia_affinis ENSGAFG00000021769
poecilia_latipinna ENSPLAG00000018063
poecilia_mexicana ENSPMEG00000006330
poecilia_formosa ENSPFOG00000015454
poecilia_reticulata ENSPREG00000018316
cyprinodon_variegatus ENSCVAG00000006025
fundulus_heteroclitus ENSFHEG00000009162
kryptolebias_marmoratus ENSKMAG00000003910
oryzias_latipes_asm223467v1 ENSORLG00000011478
oryzias_latipes_asm223471v1 ENSORLG00020020893
oryzias_latipes_asm223469v1 ENSORLG00015011388
oryzias_melastigma ENSOMEG00000011341
haplochromis_burtoni ENSHBUG00000013141
maylandia_zebra ENSMZEG00005017875
astatotilapia_calliptera ENSACLG00000027529
astatotilapia_calliptera ENSACLG00000027708
maylandia_zebra ENSMZEG00005028584
pundamilia_nyererei ENSPNYG00000013881
neolamprologus_brichardi ENSNBRG00000004475
oreochromis_niloticus ENSONIG00000014721
amphilophus_citrinellus ENSACIG00000000097
amphiprion_percula ENSAPEG00000007735
amphiprion_ocellaris ENSAOCG00000017505
acanthochromis_polyacanthus ENSAPOG00000009247
stegastes_partitus ENSSPAG00000007525
periophthalmus_magnuspinnatus ENSPMGG00000018049
gadus_morhua ENSGMOG00000008115
esox_lucius ENSELUG00000003078
pygocentrus_nattereri ENSPNAG00000028568
astyanax_mexicanus ENSAMXG00000017170
ictalurus_punctatus ENSIPUG00000004342
danio_rerio ENSDARG00000017562
paramormyrops_kingsleyae ENSPKIG00000014629
scleropages_formosus ENSSFOG00015014735
lepisosteus_oculatus ENSLOCG00000002495
manacus_vitellinus ENSMVIG00005013183
lepidothrix_coronata ENSLCOG00000012333
ficedula_albicollis ENSFALG00000006505
taeniopygia_guttata ENSTGUG00000007690
serinus_canaria ENSSCAG00000007031
lonchura_striata_domestica ENSLSDG00000005808
junco_hyemalis ENSJHYG00000004673
zonotrichia_albicollis ENSZALG00000013956
cyanistes_caeruleus ENSCCEG00000006434
parus_major ENSPMJG00000013884
nothoprocta_perdicaria ENSNPEG00000001511
pogona_vitticeps ENSPVIG00000012134
anolis_carolinensis ENSACAG00000013493
notechis_scutatus ENSNSUG00000009109
salvator_merianae ENSSMRG00000006763
sphenodon_punctatus ENSSPUG00000007524
apteryx_owenii ENSAOWG00000012284
apteryx_haastii ENSAHAG00000007749
apteryx_rowi ENSARWG00000010530
dromaius_novaehollandiae ENSDNVG00000004827
calidris_pygmaea ENSCPGG00000005033
calidris_pugnax ENSCPUG00000009697
melopsittacus_undulatus ENSMUNG00000005563
anser_brachyrhynchus ENSABRG00000021520
anas_platyrhynchos_platyrhynchos ENSAPLG00000007452
gallus_gallus ENSGALG00000005872
meleagris_gallopavo ENSMGAG00000007573
coturnix_japonica ENSCJPG00005014930
numida_meleagris ENSNMEG00000001295
crocodylus_porosus ENSCPRG00005006883
gopherus_agassizii ENSGAGG00000003834
chelonoidis_abingdonii ENSCABG00000004797
chrysemys_picta_bellii ENSCPBG00000023508
pelodiscus_sinensis ENSPSIG00000012262
phascolarctos_cinereus ENSPCIG00000007514
notamacropus_eugenii ENSMEUG00000006481
sarcophilus_harrisii ENSSHAG00000002473
monodelphis_domestica ENSMODG00000004350
ornithorhynchus_anatinus ENSOANG00000003732
latimeria_chalumnae ENSLACG00000015561
xenopus_tropicalis ENSXETG00000016600
pteropus_vampyrus ENSPVAG00000010231
myotis_lucifugus ENSMLUG00000016116
equus_asinus_asinus ENSEASG00005000313
equus_caballus ENSECAG00000000420
ursus_americanus ENSUAMG00000006202
ursus_americanus ENSUAMG00000006206
ursus_maritimus ENSUMAG00000008131
ailuropoda_melanoleuca ENSAMEG00000018194
mustela_putorius_furo ENSMPUG00000008244
neovison_vison ENSNVIG00000008277
canis_lupus_dingo ENSCAFG00020004582
canis_lupus_familiaris ENSCAFG00000019894
vulpes_vulpes ENSVVUG00000003099
vulpes_vulpes ENSVVUG00000024046
panthera_pardus ENSPPRG00000004221
panthera_tigris_altaica ENSPTIG00000009960
felis_catus ENSFCAG00000012044
capra_hircus ENSCHIG00000014438
ovis_aries ENSOARG00000012330
bos_mutus ENSBMUG00000013644
bos_taurus ENSBTAG00000023745
bison_bison_bison ENSBBBG00000015497
tursiops_truncatus ENSTTRG00000001381
sus_scrofa ENSSSCG00000020678
erinaceus_europaeus ENSEEUG00000010348
sorex_araneus ENSSARG00000003020
castor_canadensis ENSCCNG00000014344
dipodomys_ordii ENSDORG00000013728
cricetulus_griseus_crigri_1.0 ENSCGRG00000015762
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001012363
cricetulus_griseus_crigri-picr ENSCGRG00015021754
mesocricetus_auratus ENSMAUG00000008039
peromyscus_maniculatus_bairdii ENSPEMG00000011431
microtus_ochrogaster ENSMOCG00000015773
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0032773
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000025316
mus_spicilegus ENSMSIG00000015888
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0031655
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0023253
rattus_norvegicus ENSRNOG00000019140
meriones_unguiculatus ENSMUGG00000009015
nannospalax_galili ENSNGAG00000022041
jaculus_jaculus ENSJJAG00000006272
urocitellus_parryii ENSUPAG00010015194
spermophilus_dauricus ENSSDAG00000006681
ictidomys_tridecemlineatus ENSSTOG00000009245
marmota_marmota_marmota ENSMMMG00000011037
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100011462
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000009601
fukomys_damarensis ENSFDAG00000009893
octodon_degus ENSODEG00000004574
octodon_degus ENSODEG00000017613
chinchilla_lanigera ENSCLAG00000000895
cavia_porcellus ENSCPOG00000007701
cavia_aperea ENSCAPG00000011057
oryctolagus_cuniculus ENSOCUG00000023597
ochotona_princeps ENSOPRG00000011223
pan_troglodytes ENSPTRG00000048876
pan_paniscus ENSPPAG00000030703
gorilla_gorilla ENSGGOG00000001149
homo_sapiens ENSG00000172530
pongo_abelii ENSPPYG00000007742
pan_troglodytes ENSPTRG00000008454
nomascus_leucogenys ENSNLEG00000030910
nomascus_leucogenys ENSNLEG00000030927
rhinopithecus_bieti ENSRBIG00000034524
rhinopithecus_roxellana ENSRROG00000004589
piliocolobus_tephrosceles ENSPTEG00000037028
cercocebus_atys ENSCATG00000031633
theropithecus_gelada ENSTGEG00000020091
chlorocebus_sabaeus ENSCSAG00000003117
macaca_mulatta ENSMMUG00000009473
macaca_nemestrina ENSMNEG00000032736
papio_anubis ENSPANG00000011256
mandrillus_leucophaeus ENSMLEG00000042886
macaca_fascicularis ENSMFAG00000037628
colobus_angolensis_palliatus ENSCANG00000039132
cebus_capucinus_imitator ENSCCAG00000020397
saimiri_boliviensis_boliviensis ENSSBOG00000018903
callithrix_jacchus ENSCJAG00000044773
aotus_nancymaae ENSANAG00000030439
carlito_syrichta ENSTSYG00000002366
propithecus_coquereli ENSPCOG00000018668
prolemur_simus ENSPSMG00000009267
microcebus_murinus ENSMICG00000006974
otolemur_garnettii ENSOGAG00000031291
dasypus_novemcinctus ENSDNOG00000038981
choloepus_hoffmanni ENSCHOG00000003417
loxodonta_africana ENSLAFG00000005122
procavia_capensis ENSPCAG00000002495
echinops_telfairi ENSETEG00000001141
pongo_abelii ENSPPYG00000007635
eptatretus_burgeri ENSEBUG00000008830
