calidris_pugnax ENSCPUG00000003978
calidris_pygmaea ENSCPGG00000009156
taeniopygia_guttata ENSTGUG00000012825
lonchura_striata_domestica ENSLSDG00000005085
junco_hyemalis ENSJHYG00000011764
zonotrichia_albicollis ENSZALG00000006116
serinus_canaria ENSSCAG00000006654
ficedula_albicollis ENSFALG00000002778
parus_major ENSPMJG00000017328
cyanistes_caeruleus ENSCCEG00000014995
lepidothrix_coronata ENSLCOG00000009259
manacus_vitellinus ENSMVIG00005007603
melopsittacus_undulatus ENSMUNG00000002328
anas_platyrhynchos_platyrhynchos ENSAPLG00000011646
anser_brachyrhynchus ENSABRG00000011621
gallus_gallus ENSGALG00000011391
meleagris_gallopavo ENSMGAG00000017067
coturnix_japonica ENSCJPG00005002800
numida_meleagris ENSNMEG00000012412
apteryx_owenii ENSAOWG00000011143
apteryx_haastii ENSAHAG00000006023
apteryx_rowi ENSARWG00000016121
nothoprocta_perdicaria ENSNPEG00000003551
dromaius_novaehollandiae ENSDNVG00000004880
crocodylus_porosus ENSCPRG00005013401
gopherus_agassizii ENSGAGG00000009464
chelonoidis_abingdonii ENSCABG00000017018
chrysemys_picta_bellii ENSCPBG00000019497
pelodiscus_sinensis ENSPSIG00000014703
anolis_carolinensis ENSACAG00000000207
pogona_vitticeps ENSPVIG00000016139
salvator_merianae ENSSMRG00000002387
sarcophilus_harrisii ENSSHAG00000008188
monodelphis_domestica ENSMODG00000013361
notamacropus_eugenii ENSMEUG00000006918
loxodonta_africana ENSLAFG00000014204
echinops_telfairi ENSETEG00000012451
equus_caballus ENSECAG00000026806
equus_asinus_asinus ENSEASG00005004014
pteropus_vampyrus ENSPVAG00000003799
pteropus_vampyrus ENSPVAG00000006332
capra_hircus ENSCHIG00000008517
ovis_aries ENSOARG00000005195
bos_taurus ENSBTAG00000015750
sus_scrofa ENSSSCG00000002524
ursus_americanus ENSUAMG00000026116
ailuropoda_melanoleuca ENSAMEG00000018206
mustela_putorius_furo ENSMPUG00000002603
canis_lupus_dingo ENSCAFG00020008904
canis_lupus_familiaris ENSCAFG00000018086
felis_catus ENSFCAG00000043416
propithecus_coquereli ENSPCOG00000016828
microcebus_murinus ENSMICG00000027178
prolemur_simus ENSPSMG00000009388
otolemur_garnettii ENSOGAG00000029773
pan_troglodytes ENSPTRG00000006747
pan_paniscus ENSPPAG00000033035
homo_sapiens ENSG00000166126
gorilla_gorilla ENSGGOG00000004279
pongo_abelii ENSPPYG00000006163
colobus_angolensis_palliatus ENSCANG00000025257
piliocolobus_tephrosceles ENSPTEG00000039860
rhinopithecus_bieti ENSRBIG00000036374
cercocebus_atys ENSCATG00000040408
mandrillus_leucophaeus ENSMLEG00000043700
papio_anubis ENSPANG00000016601
theropithecus_gelada ENSTGEG00000009258
macaca_fascicularis ENSMFAG00000039961
macaca_mulatta ENSMMUG00000039505
macaca_nemestrina ENSMNEG00000040096
chlorocebus_sabaeus ENSCSAG00000010135
cebus_capucinus_imitator ENSCCAG00000031091
saimiri_boliviensis_boliviensis ENSSBOG00000035221
callithrix_jacchus ENSCJAG00000003281
aotus_nancymaae ENSANAG00000026321
mus_spicilegus ENSMSIG00000008673
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000021278
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0018977
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0018128
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0029885
rattus_norvegicus ENSRNOG00000009050
meriones_unguiculatus ENSMUGG00000018551
meriones_unguiculatus ENSMUGG00000016525
peromyscus_maniculatus_bairdii ENSPEMG00000006540
microtus_ochrogaster ENSMOCG00000001893
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001010221
cricetulus_griseus_crigri-picr ENSCGRG00015018913
nannospalax_galili ENSNGAG00000023699
jaculus_jaculus ENSJJAG00000018580
castor_canadensis ENSCCNG00000027473
octodon_degus ENSODEG00000002431
cavia_porcellus ENSCPOG00000022870
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000015524
ictidomys_tridecemlineatus ENSSTOG00000021673
urocitellus_parryii ENSUPAG00010017783
ornithorhynchus_anatinus ENSOANG00000014635
xenopus_tropicalis ENSXETG00000012751
latimeria_chalumnae ENSLACG00000008351
mola_mola ENSMMOG00000011016
takifugu_rubripes ENSTRUG00000012116
gasterosteus_aculeatus ENSGACG00000010982
labrus_bergylta ENSLBEG00000022668
cynoglossus_semilaevis ENSCSEG00000010928
scophthalmus_maximus ENSSMAG00000017879
seriola_dumerili ENSSDUG00000012368
seriola_lalandi_dorsalis ENSSLDG00000022264
monopterus_albus ENSMALG00000021826
mastacembelus_armatus ENSMAMG00000021418
anabas_testudineus ENSATEG00000024155
poecilia_formosa ENSPFOG00000020708
poecilia_reticulata ENSPREG00000002826
poecilia_mexicana ENSPMEG00000015776
poecilia_latipinna ENSPLAG00000014251
xiphophorus_couchianus ENSXCOG00000010716
xiphophorus_maculatus ENSXMAG00000019450
gambusia_affinis ENSGAFG00000006764
fundulus_heteroclitus ENSFHEG00000009251
cyprinodon_variegatus ENSCVAG00000012045
kryptolebias_marmoratus ENSKMAG00000011035
oryzias_latipes_asm223471v1 ENSORLG00020000624
oryzias_latipes_asm223467v1 ENSORLG00000007599
