cyprinodon_variegatus ENSCVAG00000000699
fundulus_heteroclitus ENSFHEG00000023018
xiphophorus_maculatus ENSXMAG00000005146
gambusia_affinis ENSGAFG00000013560
poecilia_mexicana ENSPMEG00000010914
poecilia_formosa ENSPFOG00000012346
poecilia_latipinna ENSPLAG00000022842
poecilia_reticulata ENSPREG00000000514
oryzias_latipes_asm223467v1 ENSORLG00000023891
oryzias_latipes_asm223471v1 ENSORLG00020000612
oryzias_latipes_asm223469v1 ENSORLG00015021569
oryzias_melastigma ENSOMEG00000021801
maylandia_zebra ENSMZEG00005015559
haplochromis_burtoni ENSHBUG00000000725
astatotilapia_calliptera ENSACLG00000004554
haplochromis_burtoni ENSHBUG00000021474
maylandia_zebra ENSMZEG00005010047
neolamprologus_brichardi ENSNBRG00000019817
pundamilia_nyererei ENSPNYG00000005966
oreochromis_niloticus ENSONIG00000018896
amphiprion_ocellaris ENSAOCG00000021541
acanthochromis_polyacanthus ENSAPOG00000017633
labrus_bergylta ENSLBEG00000018240
labrus_bergylta ENSLBEG00000016068
labrus_bergylta ENSLBEG00000004786
takifugu_rubripes ENSTRUG00000008682
seriola_dumerili ENSSDUG00000020250
seriola_lalandi_dorsalis ENSSLDG00000008376
mastacembelus_armatus ENSMAMG00000008205
anabas_testudineus ENSATEG00000021881
