oryzias_latipes_asm223467v1 ENSORLG00000028149
oryzias_latipes_asm223471v1 ENSORLG00020003764
oryzias_melastigma ENSOMEG00000022958
cynoglossus_semilaevis ENSCSEG00000017134
hippocampus_comes ENSHCOG00000010009
mastacembelus_armatus ENSMAMG00000023548
monopterus_albus ENSMALG00000011466
seriola_dumerili ENSSDUG00000015970
seriola_lalandi_dorsalis ENSSLDG00000023170
scophthalmus_maximus ENSSMAG00000013118
anabas_testudineus ENSATEG00000003304
amphiprion_percula ENSAPEG00000021848
amphiprion_ocellaris ENSAOCG00000016448
acanthochromis_polyacanthus ENSAPOG00000010848
stegastes_partitus ENSSPAG00000006746
haplochromis_burtoni ENSHBUG00000011860
pundamilia_nyererei ENSPNYG00000014426
maylandia_zebra ENSMZEG00005014625
astatotilapia_calliptera ENSACLG00000002621
neolamprologus_brichardi ENSNBRG00000017301
oreochromis_niloticus ENSONIG00000011911
labrus_bergylta ENSLBEG00000024951
gasterosteus_aculeatus ENSGACG00000019519
takifugu_rubripes ENSTRUG00000003393
tetraodon_nigroviridis ENSTNIG00000005773
mola_mola ENSMMOG00000010050
xiphophorus_maculatus ENSXMAG00000006133
xiphophorus_couchianus ENSXCOG00000015266
gambusia_affinis ENSGAFG00000005063
poecilia_formosa ENSPFOG00000010120
poecilia_mexicana ENSPMEG00000018587
poecilia_latipinna ENSPLAG00000012083
poecilia_reticulata ENSPREG00000014746
fundulus_heteroclitus ENSFHEG00000014709
cyprinodon_variegatus ENSCVAG00000015850
kryptolebias_marmoratus ENSKMAG00000021317
periophthalmus_magnuspinnatus ENSPMGG00000007968
gadus_morhua ENSGMOG00000003625
esox_lucius ENSELUG00000002026
danio_rerio ENSDARG00000018149
pygocentrus_nattereri ENSPNAG00000007135
astyanax_mexicanus ENSAMXG00000031094
ictalurus_punctatus ENSIPUG00000015906
scleropages_formosus ENSSFOG00015023756
paramormyrops_kingsleyae ENSPKIG00000025494
paramormyrops_kingsleyae ENSPKIG00000002099
scleropages_formosus ENSSFOG00015001182
apteryx_haastii ENSAHAG00000004497
apteryx_owenii ENSAOWG00000013325
apteryx_rowi ENSARWG00000007125
nothoprocta_perdicaria ENSNPEG00000004515
dromaius_novaehollandiae ENSDNVG00000008206
calidris_pygmaea ENSCPGG00000019509
calidris_pugnax ENSCPUG00000004961
melopsittacus_undulatus ENSMUNG00000000046
lonchura_striata_domestica ENSLSDG00000016072
taeniopygia_guttata ENSTGUG00000006154
serinus_canaria ENSSCAG00000000293
zonotrichia_albicollis ENSZALG00000009733
junco_hyemalis ENSJHYG00000017244
parus_major ENSPMJG00000011085
cyanistes_caeruleus ENSCCEG00000009706
ficedula_albicollis ENSFALG00000010142
lepidothrix_coronata ENSLCOG00000014490
manacus_vitellinus ENSMVIG00005005619
anser_brachyrhynchus ENSABRG00000004808
anas_platyrhynchos_platyrhynchos ENSAPLG00000008807
gallus_gallus ENSGALG00000009730
meleagris_gallopavo ENSMGAG00000009970
coturnix_japonica ENSCJPG00005013428
numida_meleagris ENSNMEG00000011738
crocodylus_porosus ENSCPRG00005008129
chelonoidis_abingdonii ENSCABG00000006010
gopherus_agassizii ENSGAGG00000021403
chrysemys_picta_bellii ENSCPBG00000015315
pelodiscus_sinensis ENSPSIG00000016916
pogona_vitticeps ENSPVIG00000009721
anolis_carolinensis ENSACAG00000001742
notechis_scutatus ENSNSUG00000006949
salvator_merianae ENSSMRG00000016077
sphenodon_punctatus ENSSPUG00000008337
pan_troglodytes ENSPTRG00000004858
pan_paniscus ENSPPAG00000031819
homo_sapiens ENSG00000139209
gorilla_gorilla ENSGGOG00000012966
pongo_abelii ENSPPYG00000004438
nomascus_leucogenys ENSNLEG00000017911
macaca_mulatta ENSMMUG00000012331
macaca_fascicularis ENSMFAG00000000933
macaca_nemestrina ENSMNEG00000038441
cercocebus_atys ENSCATG00000014279
theropithecus_gelada ENSTGEG00000023292
papio_anubis ENSPANG00000017211
mandrillus_leucophaeus ENSMLEG00000030907
chlorocebus_sabaeus ENSCSAG00000006718
rhinopithecus_roxellana ENSRROG00000040283
rhinopithecus_bieti ENSRBIG00000039513
piliocolobus_tephrosceles ENSPTEG00000015431
colobus_angolensis_palliatus ENSCANG00000032582
cebus_capucinus_imitator ENSCCAG00000029655
saimiri_boliviensis_boliviensis ENSSBOG00000031640
callithrix_jacchus ENSCJAG00000012877
aotus_nancymaae ENSANAG00000026601
carlito_syrichta ENSTSYG00000000633
microcebus_murinus ENSMICG00000037271
prolemur_simus ENSPSMG00000008717
propithecus_coquereli ENSPCOG00000019237
otolemur_garnettii ENSOGAG00000007943
tupaia_belangeri ENSTBEG00000000232
cavia_porcellus ENSCPOG00000010106
cavia_aperea ENSCAPG00000009152
chinchilla_lanigera ENSCLAG00000002757
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100002384
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000009281
